Metric,Value
Overall Accuracy,0.5701
""
Macro Averaged Metrics,
Precision (Macro),0.5889
Recall (Macro),0.4120
F1-Score (Macro),0.3684
""
Weighted Averaged Metrics,
Precision (Weighted),0.6288
Recall (Weighted),0.5701
F1-Score (Weighted),0.4722
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9655,0.1986,0.3294,141
Enrolled,0.2500,0.0375,0.0652,80
Graduate,0.5511,1.0000,0.7106,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,28,9,104
Enrolled,1,3,76
Graduate,0,0,221
