Metric,Value
Overall Accuracy,0.5792
""
Macro Averaged Metrics,
Precision (Macro),0.5584
Recall (Macro),0.4269
F1-Score (Macro),0.3922
""
Weighted Averaged Metrics,
Precision (Weighted),0.6007
Recall (Weighted),0.5792
F1-Score (Weighted),0.4911
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8286,0.2057,0.3295,141
Enrolled,0.2727,0.0750,0.1176,80
Graduate,0.5740,1.0000,0.7294,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,29,16,96
Enrolled,6,6,68
Graduate,0,0,221
