Metric,Value
Overall Accuracy,0.5973
""
Macro Averaged Metrics,
Precision (Macro),0.6571
Recall (Macro),0.4530
F1-Score (Macro),0.4335
""
Weighted Averaged Metrics,
Precision (Weighted),0.6701
Recall (Weighted),0.5973
F1-Score (Weighted),0.5198
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9429,0.2340,0.3750,141
Enrolled,0.4545,0.1250,0.1961,80
Graduate,0.5740,1.0000,0.7294,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,33,12,96
Enrolled,2,10,68
Graduate,0,0,221
