Metric,Value
Overall Accuracy,0.5950
""
Macro Averaged Metrics,
Precision (Macro),0.6703
Recall (Macro),0.4551
F1-Score (Macro),0.4377
""
Weighted Averaged Metrics,
Precision (Weighted),0.6759
Recall (Weighted),0.5950
F1-Score (Weighted),0.5185
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9394,0.2199,0.3563,141
Enrolled,0.5000,0.1500,0.2308,80
Graduate,0.5714,0.9955,0.7261,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,31,11,99
Enrolled,2,12,66
Graduate,0,1,220
