dataset,model,cap,method,seed,dir,K,last_epoch,n_rows,n_sat_logged,first_sat_ep,exc_first,exc_last,exc_min,ce_first,ce_last,lam_first,lam_last,raw_count,raw_excess,flips,n_globsat_logged,count_first,count_last,count_min,count_max,ratio_first,ratio_last,ratio_min,ratio_max,cross,soft_last,softhard_gap_last,acc_first,acc_last,acc_max,Lg_first,Lg_last,sat_epoch_ev,best_sat_ep_ev,min_exc_ep_ev,min_exc_ev,restored_ep,restore_kind
tissuemnist,MobileNetV3,L30_G30,tralo,2,results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_2,51.0,30.0,7,0,,,,,1.096688,0.032971,0.05,0.11,73,44.0,22.0,0.0,254.0,107.0,84.0,254.0,4.980392156862745,2.0980392156862746,1.6470588235294117,4.980392156862745,0.0,105.8,-1.2000000000000028,0.588,0.9893,0.9925,0.284141,5.548628,,,29.0,44.0,29.0,min_excess
tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,4,results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_4,,28.0,29,3,0.0,0.0,280.0,0.0,1.088043,0.04709,0.543874,15.939243,44,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,3,results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_3,,28.0,29,1,23.0,50.0,44.0,0.0,1.07426,0.019214,0.589106,15.221057,20,0.0,31.0,,,,,,,,,,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,1,results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_1,,28.0,29,1,0.0,0.0,186.0,0.0,1.102201,0.025781,0.725705,16.668755,35,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,2,results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_2,,28.0,29,0,,406.0,260.0,9.0,1.096688,0.035172,1.391942,20.279484,55,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
octmnist,MobileNetV3,L30_G30,hounie_rcl,4,results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_4,,28.0,29,0,,111.0,139.0,41.0,0.407532,,0.000732,0.027011,92,33.0,17.0,,,,,,,,,,,,,,,,,,,,,,,
octmnist,MobileNetV3,L30_G30,hounie_rcl,3,results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_3,,28.0,29,0,,321.0,209.0,33.0,0.402271,0.012929,0.001344,0.024806,92,33.0,17.0,,,,,,,,,,,,,,,,,,,,,,,
octmnist,MobileNetV3,L30_G30,hounie_rcl,1,results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_1,,28.0,29,0,,335.0,207.0,5.0,0.410681,,0.001339,0.025465,78,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
octmnist,MobileNetV3,L30_G30,hounie_rcl,2,results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_2,,28.0,29,0,,59.0,123.0,15.0,0.414535,,0.000761,0.022407,83,15.0,8.0,,,,,,,,,,,,,,,,,,,,,,,
octmnist,MobileNetV3,L30_G30,tralo,4,results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_4,75.0,30.0,7,0,,,,,0.407532,0.0,0.05,0.11,73,2.0,2.0,0.0,131.0,94.0,77.0,237.0,1.7466666666666666,1.2533333333333334,1.0266666666666666,3.16,0.0,95.87,1.8700000000000045,0.8363,1.0,1.0,0.146719,0.760135,,,10.0,8.0,,
octmnist,MobileNetV3,L30_G30,tralo,3,results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_3,75.0,30.0,9,2,28.0,,,,0.402271,0.0,0.05,0.1,47,0.0,0.0,2.0,236.0,390.0,47.0,390.0,3.1466666666666665,5.2,0.6266666666666667,5.2,2.0,389.23,-0.7699999999999818,0.8393,1.0,1.0,0.222746,8.784204,28.0,29.0,28.0,0.0,29.0,fully_satisfied
octmnist,MobileNetV3,L30_G30,tralo,1,results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_1,75.0,30.0,8,1,3.0,,,,0.410681,0.019466,0.05,0.05,42,0.0,0.0,1.0,243.0,125.0,42.0,243.0,3.24,1.6666666666666667,0.56,3.24,2.0,131.46,6.460000000000008,0.8354,0.9937,0.9944,0.222351,0.178004,3.0,3.0,3.0,0.0,3.0,fully_satisfied
octmnist,MobileNetV3,L30_G30,tralo,2,results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_2,75.0,30.0,8,1,3.0,,,,0.414535,0.011245,0.05,0.05,55,0.0,0.0,1.0,105.0,213.0,55.0,228.0,1.4,2.84,0.7333333333333333,3.04,2.0,211.64,-1.3600000000000136,0.8377,0.9957,0.9957,0.152073,0.364284,3.0,3.0,3.0,0.0,3.0,fully_satisfied
octmnist,MobileNetV3,L30_G30,fioretto_ldf,4,results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_4,,28.0,29,1,28.0,111.0,0.0,0.0,0.407532,,0.366157,12.819699,42,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
octmnist,MobileNetV3,L30_G30,fioretto_ldf,3,results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_3,,28.0,29,0,,321.0,193.0,53.0,0.402271,0.020758,0.672124,13.152993,102,53.0,27.0,,,,,,,,,,,,,,,,,,,,,,,
octmnist,MobileNetV3,L30_G30,fioretto_ldf,1,results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_1,,28.0,29,0,,335.0,93.0,2.0,0.410681,,0.66953,13.142254,67,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
octmnist,MobileNetV3,L30_G30,fioretto_ldf,2,results/headroom/headroom_b30_lrc0.0001/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_2,,28.0,29,2,27.0,59.0,0.0,0.0,0.414535,,0.380697,9.593503,67,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
