dataset,model,cap,seed,method,arm,warmup,cepochs,lr,lr_c,ce_skip,n_pool,n_true,K,count_raw,count_raw_myargmax,argmax_mismatch,count_adj,sat,ccF1eq,ccF1raw,AP,macroEq,path
octmnist,MobileNetV3,L30_G30,3,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,1000,250,75,92,92,0,75,0,0.4307692307692308,0.4853801169590643,0.7862411549965101,0.6987212623182766,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_3
octmnist,MobileNetV3,L30_G30,4,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,1000,250,75,92,92,0,75,0,0.41846153846153855,0.4736842105263158,0.7294120358207362,0.7115720995194945,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_4
octmnist,MobileNetV3,L30_G30,1,tralo,tralo,1,29,0.0001,0.0001,False,1000,250,75,42,42,0,42,1,0.41846153846153855,0.2808219178082192,0.6368475033504482,0.707501592639383,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_1
octmnist,MobileNetV3,L30_G30,2,tralo,tralo,1,29,0.0001,0.0001,False,1000,250,75,55,55,0,55,1,0.43692307692307697,0.3540983606557377,0.7358534370462742,0.7273981925712103,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_2
octmnist,MobileNetV3,L30_G30,3,tralo,tralo,1,29,0.0001,0.0001,False,1000,250,75,77,77,0,75,0,0.4246153846153846,0.43425076452599387,0.8020762452555875,0.7255519340140391,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_3
octmnist,MobileNetV3,L30_G30,4,tralo,tralo,1,29,0.0001,0.0001,False,1000,250,75,77,77,0,71,0,0.4246153846153846,0.41590214067278286,0.7536424039169495,0.6803470159212821,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_4
tissuemnist,MobileNetV3,L30_G30,1,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2400,171,51,35,35,0,51,0,0.2882882882882883,0.20388349514563103,0.3954645792438441,0.271492375243205,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_1
tissuemnist,MobileNetV3,L30_G30,2,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2400,171,51,55,55,0,51,0,0.23423423423423423,0.23893805309734512,0.34065876423098296,0.3776169236975037,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_2
tissuemnist,MobileNetV3,L30_G30,3,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2400,171,51,20,20,0,51,0,0.19819819819819817,0.1256544502617801,0.25884573543613204,0.37030025242508224,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_3
tissuemnist,MobileNetV3,L30_G30,4,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2400,171,51,44,44,0,51,0,0.26126126126126126,0.2325581395348837,0.38603432935572063,0.4145150712983469,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_4
