campaign,dataset,model,cap,seed,gate_ep,n_off,ratio_off,npts_off,ratio_on,npts_on,last_rise_ep,last_rise_ep_exc,rise_after_gate_soft,rise_after_gate_exc,win_on_mean,win_on_best
lrc1e-4,tissuemnist,RegNetY400MF,L50_G50,2,,0,,,0.030491168721927045,29,28,28,,,,
lrc1e-4,tissuemnist,RegNetY400MF,L50_G50,3,,0,,,0.02876296929974945,29,28,28,,,,
lrc1e-4,tissuemnist,RegNetY400MF,L50_G50,4,,0,,,0.05471890061873558,29,26,26,,,,
lrc5e-5,dermmnist,MobileNetV3,L30_G30,1,16.0,13,1.0,13.0,0.28504643556387654,16,14,14,0.0,0.0,0.20303054044910232,0.34681980726882783
lrc5e-5,dermmnist,MobileNetV3,L30_G30,2,13.0,16,1.0000000000000002,16.0,0.17328240562680508,13,12,12,0.0,0.0,0.17328240562680508,0.17328240562680508
lrc5e-5,dermmnist,MobileNetV3,L30_G30,3,14.0,14,1.0,14.0,0.11243010486206809,14,12,12,0.0,0.0,0.11243010486206809,0.11243010486206809
lrc5e-5,dermmnist,MobileNetV3,L30_G30,4,14.0,15,1.0,15.0,0.21397459268219313,14,11,11,0.0,0.0,0.21397459268219313,0.21397459268219313
lrc5e-5,octmnist,MobileNetV3,L30_G30,1,20.0,9,1.0,9.0,0.021404568147593173,20,19,19,0.0,0.0,0.1536951446561692,0.4387245709214422
lrc5e-5,octmnist,MobileNetV3,L30_G30,2,24.0,5,1.0,5.0,0.003308469974059281,24,22,22,0.0,0.0,0.25667706631516735,0.6226830118833636
lrc5e-5,octmnist,MobileNetV3,L30_G30,3,22.0,7,1.0,7.0,0.03401917468995058,22,21,21,0.0,0.0,0.20151849055844742,0.8744414857607078
lrc5e-5,octmnist,MobileNetV3,L30_G30,4,17.0,10,1.0,10.0,0.016519069507528593,17,15,15,0.0,0.0,0.07524305739805566,0.13111644056269464
lrc5e-5,tissuemnist,MobileNetV3,L30_G30,1,,0,,,0.08590899214763344,29,28,28,,,,
lrc5e-5,tissuemnist,MobileNetV3,L30_G30,2,,0,,,0.11005482657044971,29,27,27,,,,
lrc5e-5,tissuemnist,MobileNetV3,L30_G30,3,,0,,,0.013138794409654861,29,27,27,,,,
lrc5e-5,tissuemnist,MobileNetV3,L30_G30,4,,0,,,0.06709868610601732,29,25,25,,,,
lrc5e-5,dermmnist,MobileNetV3,L50_G50,1,13.0,16,0.992069410844537,16.0,0.3178065404562019,13,14,14,0.43665399999989063,2.0,0.3178065404562019,0.3178065404562019
lrc5e-5,dermmnist,MobileNetV3,L50_G50,2,14.0,13,1.0,13.0,0.283506986233853,14,13,13,0.0,0.0,0.273735272634819,0.30609793080924746
lrc5e-5,dermmnist,MobileNetV3,L50_G50,3,14.0,14,1.0,14.0,0.05357985881621101,14,12,12,0.0,0.0,0.05357985881621101,0.05357985881621101
lrc5e-5,dermmnist,MobileNetV3,L50_G50,4,15.0,12,1.0,12.0,0.01671602976233503,15,13,13,0.0,0.0,0.1361887972181983,0.2158318059952439
lrc5e-5,octmnist,MobileNetV3,L50_G50,1,22.0,7,1.0,7.0,0.035607877954873385,22,19,19,0.0,0.0,0.21401204979897614,0.8745431211113688
lrc5e-5,octmnist,MobileNetV3,L50_G50,2,22.0,7,1.0,7.0,0.0032143016859711654,22,21,21,0.0,0.0,0.17315169126863755,0.4945289296799978
lrc5e-5,octmnist,MobileNetV3,L50_G50,3,22.0,7,1.0,7.0,0.02022808623990649,22,21,21,0.0,0.0,0.24373669021386546,0.46932543920638226
lrc5e-5,octmnist,MobileNetV3,L50_G50,4,18.0,7,1.0,7.0,0.023675838772096617,18,16,16,0.0,0.0,0.14676793404526886,0.42772014061562164
