dataset,model,cap,seed,ep,hard,soft,K,gsat,lsat,lam,ce,acc,Lg,Ll
octmnist,MobileNetV3,L50_G50,2,9.0,112.0,114.66,125.0,1.0,1.0,0.05,0.046335,0.9843,0.0,0.0
octmnist,MobileNetV3,L50_G50,2,10.0,147.0,150.65,125.0,0.0,0.0,0.05,0.042373,0.9859,0.025239,0.083827
octmnist,MobileNetV3,L50_G50,2,15.0,180.0,179.78,125.0,0.0,0.0,0.05,0.02566,0.9915,0.081897,0.256362
octmnist,MobileNetV3,L50_G50,2,20.0,113.0,112.72,125.0,1.0,1.0,0.05,0.016255,0.9944,0.0,0.0
octmnist,MobileNetV3,L50_G50,2,22.0,99.0,103.95,125.0,1.0,1.0,0.05,0.024864,0.9923,0.0,0.0
octmnist,MobileNetV3,L50_G50,2,25.0,121.0,120.54,125.0,1.0,0.0,0.05,0.011776,0.9962,0.0,0.001205
octmnist,MobileNetV3,L50_G50,2,30.0,163.0,163.92,125.0,0.0,0.0,0.05,0.013689,0.9951,0.048433,0.156601
dermmnist,RegNetY400MF,L30_G30,4,2.0,178.0,224.14,67.0,0.0,0.0,0.05,0.450824,0.8442,0.246595,0.723605
dermmnist,RegNetY400MF,L30_G30,4,5.0,116.0,130.47,67.0,0.0,0.0,0.06,0.085131,0.9762,0.419965,1.135083
dermmnist,RegNetY400MF,L30_G30,4,10.0,171.0,177.31,67.0,0.0,0.0,0.07,0.02861,0.992,1.545648,4.550382
dermmnist,RegNetY400MF,L30_G30,4,15.0,171.0,175.04,67.0,0.0,0.0,0.08,0.009821,0.9974,2.658889,7.902806
dermmnist,RegNetY400MF,L30_G30,4,20.0,196.0,201.03,67.0,0.0,0.0,0.09,0.023804,0.9934,4.458534,13.412354
dermmnist,RegNetY400MF,L30_G30,4,25.0,204.0,203.04,67.0,0.0,0.0,0.1,0.017135,0.9953,6.271848,18.696295
dermmnist,RegNetY400MF,L30_G30,4,30.0,90.0,91.46,67.0,0.0,0.0,0.11,0.015794,0.9958,1.233695,4.589068
dermmnist,RegNetY400MF,L30_G30,3,2.0,307.0,315.23,67.0,0.0,0.0,0.05,0.486292,0.833,0.272396,0.810034
