dataset,model,cap,seed,method,arm,warmup,cepochs,lr,lr_c,ce_skip,n_pool,n_true,K,count_raw,count_raw_myargmax,argmax_mismatch,count_adj,sat,ccF1eq,ccF1raw,AP,macroEq,path
octmnist,MobileNetV3,L30_G30,1,danits_lp,danits_lp,30,0,0.0001,5e-06,,1000,250,75,113,113,0,75,0,0.4246153846153846,0.5399449035812672,0.757937944263642,0.7001803158106297,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/danits_lp/seed_1
octmnist,MobileNetV3,L30_G30,2,danits_lp,danits_lp,30,0,0.0001,5e-06,,1000,250,75,191,191,0,75,0,0.43692307692307697,0.6938775510204082,0.8107897747355529,0.7236428338530492,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/danits_lp/seed_2
octmnist,MobileNetV3,L30_G30,3,danits_lp,danits_lp,30,0,0.0001,5e-06,,1000,250,75,188,188,0,75,0,0.4307692307692308,0.7123287671232877,0.8261503261034737,0.7142209714082988,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/danits_lp/seed_3
octmnist,MobileNetV3,L30_G30,4,danits_lp,danits_lp,30,0,0.0001,5e-06,,1000,250,75,149,149,0,75,0,0.4061538461538461,0.5614035087719298,0.7263109716916754,0.7010586682796408,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/danits_lp/seed_4
octmnist,MobileNetV3,L30_G30,1,fioretto_ldf,fioretto_ldf,1,29,0.0001,5e-06,,1000,250,75,163,163,0,75,0,0.443076923076923,0.6537530266343825,0.7768573737872259,0.7295766551051766,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_1
octmnist,MobileNetV3,L30_G30,2,fioretto_ldf,fioretto_ldf,1,29,0.0001,5e-06,,1000,250,75,154,154,0,75,0,0.443076923076923,0.6336633663366337,0.8079371745247843,0.7296898427709966,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_2
octmnist,MobileNetV3,L30_G30,3,fioretto_ldf,fioretto_ldf,1,29,0.0001,5e-06,,1000,250,75,128,128,0,70,0,0.30769230769230765,0.3492063492063492,0.557241638618116,0.5233591821597313,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_3
octmnist,MobileNetV3,L30_G30,4,fioretto_ldf,fioretto_ldf,1,29,0.0001,5e-06,,1000,250,75,144,144,0,74,0,0.23999999999999996,0.2944162436548224,0.43397799894505246,0.4984802508286898,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_4
octmnist,MobileNetV3,L30_G30,1,heuristic,heuristic,30,0,0.0001,5e-06,,1000,250,75,113,113,0,75,0,0.4246153846153846,0.5399449035812672,0.757937944263642,0.7001803158106297,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/heuristic/seed_1
octmnist,MobileNetV3,L30_G30,2,heuristic,heuristic,30,0,0.0001,5e-06,,1000,250,75,191,191,0,75,0,0.43692307692307697,0.6938775510204082,0.8107897747355529,0.7236428338530492,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/heuristic/seed_2
