campaign,dataset,cap,model,seed,method,sweep,arm,warmup,cepochs,lr,lr_c,ce_skip,K,count_raw,count_adj,sat,AP,ccF1adj,ccF1eq,macroAdj,macroEq,path
results/pending_runs/warmup1_probe,dermmnist,L50_G50,MobileNetV3,1,fioretto_ldf,,,1,300,0.0001,5e-06,,112,103,111,0,0.5702961425655411,0.48502994011976047,0.48502994011976047,0.7245519369360649,0.7245519369360649,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L50_G50/w1/fioretto_ldf/seed_1
results/pending_runs/warmup1_probe,dermmnist,L50_G50,MobileNetV3,2,fioretto_ldf,,,1,300,0.0001,5e-06,,112,101,111,0,0.5624284529692483,0.47305389221556887,0.47305389221556887,0.7020846871463242,0.7020846871463242,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L50_G50/w1/fioretto_ldf/seed_2
results/pending_runs/warmup1_probe,dermmnist,L50_G50,MobileNetV3,1,tralo_bounded,,,1,300,0.0001,5e-06,True,112,102,111,0,0.5731964558715297,0.49101796407185627,0.49101796407185627,0.724002421043941,0.724002421043941,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L50_G50/w1/tralo_bounded/seed_1
results/pending_runs/warmup1_probe,dermmnist,L50_G50,MobileNetV3,2,tralo_bounded,,,1,300,0.0001,5e-06,True,112,100,111,0,0.5662031845042498,0.46107784431137727,0.46107784431137727,0.6945168591565689,0.6945168591565689,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L50_G50/w1/tralo_bounded/seed_2
results/pending_runs/warmup1_probe,dermmnist,L50_G50,MobileNetV3,1,heuristic,,,1,300,0.0001,5e-06,,112,79,111,0,0.45167280581571234,0.39520958083832336,0.39520958083832336,0.31390465842636406,0.31390465842636406,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L50_G50/w1/heuristic/seed_1
results/pending_runs/warmup1_probe,dermmnist,L50_G50,MobileNetV3,2,heuristic,,,1,300,0.0001,5e-06,,112,134,111,0,0.49073807944262976,0.4311377245508982,0.4311377245508982,0.35917189261674476,0.35917189261674476,results/pending_runs/warmup1_probe/MobileNetV3/dermmnist/L50_G50/w1/heuristic/seed_2
results/pending_runs/warmup1_probe,tissuemnist,L30_G30,MobileNetV3,1,hounie_rcl,,,1,300,0.0001,5e-06,,51,31,51,0,0.2860958282620883,0.24324324324324326,0.24324324324324326,0.3618457423383707,0.3618457423383707,results/pending_runs/warmup1_probe/MobileNetV3/tissuemnist/L30_G30/w1/hounie_rcl/seed_1
results/pending_runs/warmup1_probe,tissuemnist,L30_G30,MobileNetV3,2,hounie_rcl,,,1,300,0.0001,5e-06,,51,30,51,0,0.2752639543020872,0.24324324324324326,0.24324324324324326,0.3926609437012272,0.3926609437012272,results/pending_runs/warmup1_probe/MobileNetV3/tissuemnist/L30_G30/w1/hounie_rcl/seed_2
results/pending_runs/warmup1_probe,tissuemnist,L30_G30,MobileNetV3,1,tralo,,,1,300,0.0001,5e-06,True,51,48,51,0,0.2932203992926878,0.24324324324324326,0.24324324324324326,0.3893974906129353,0.3893974906129353,results/pending_runs/warmup1_probe/MobileNetV3/tissuemnist/L30_G30/w1/tralo/seed_1
results/pending_runs/warmup1_probe,tissuemnist,L30_G30,MobileNetV3,2,tralo,,,1,300,0.0001,5e-06,True,51,47,51,0,0.3142572757541482,0.24324324324324326,0.24324324324324326,0.3885238879694843,0.3885238879694843,results/pending_runs/warmup1_probe/MobileNetV3/tissuemnist/L30_G30/w1/tralo/seed_2
