campaign,dataset,cap,model,seed,method,sweep,arm,warmup,cepochs,lr,lr_c,ce_skip,K,count_raw,count_adj,sat,AP,ccF1adj,ccF1eq,macroAdj,macroEq,path
results/headroom/headroom_b30,dermmnist,L50_G50,MobileNetV3,1,heuristic,,heuristic,30,0,0.0001,5e-06,,112,184,111,0,0.6994360828307511,0.5808383233532934,0.5808383233532934,0.7234773854630517,0.7234773854630517,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/heuristic/seed_1
results/headroom/headroom_b30,dermmnist,L50_G50,MobileNetV3,2,heuristic,,heuristic,30,0,0.0001,5e-06,,112,198,111,0,0.6850627078056499,0.5329341317365269,0.5329341317365269,0.7306011249175335,0.7306011249175335,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/heuristic/seed_2
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,4,hounie_rcl,,hounie_rcl,1,29,0.0001,5e-06,,86,75,86,0,0.3665665373895031,0.311284046692607,0.3424124513618677,0.31231386961146035,0.32052155518912634,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_4
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,3,hounie_rcl,,hounie_rcl,1,29,0.0001,5e-06,,86,70,86,0,0.35384278086159765,0.3035019455252918,0.3035019455252918,0.3055153001762626,0.3039216854719509,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_3
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,1,hounie_rcl,,hounie_rcl,1,29,0.0001,5e-06,,86,74,86,0,0.31931487639729955,0.28793774319066145,0.28793774319066145,0.3802871878501921,0.37963290064063226,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_1
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,2,hounie_rcl,,hounie_rcl,1,29,0.0001,5e-06,,86,137,86,0,0.3855648910870522,0.32684824902723736,0.35019455252918286,0.3799134889237338,0.38428146604282676,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_2
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,4,tralo,,tralo,1,29,0.0001,5e-06,True,86,74,86,0,0.36257279636828216,0.32684824902723736,0.3424124513618677,0.3143938237080659,0.3215943035067486,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_4
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,3,tralo,,tralo,1,29,0.0001,5e-06,True,86,70,86,0,0.3557233348511057,0.3035019455252918,0.3035019455252918,0.30847792443436584,0.308413780978731,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_3
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,1,tralo,,tralo,1,29,0.0001,5e-06,True,86,69,86,0,0.31831840230482195,0.29571984435797666,0.28793774319066145,0.383335830316597,0.380394023444981,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_1
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,2,tralo,,tralo,1,29,0.0001,5e-06,True,86,128,86,0,0.3866102454582963,0.311284046692607,0.35019455252918286,0.37921944237084715,0.38657072118877783,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_2
