dataset,model,cap,seed,method,hard,soft,soft_minus_hard,n_pool,n_true,pc_mean,pc_max,maxprob_mean,margin_pos_mean,near0.05,near0.10,near0.20
octmnist,RegNetY400MF,L50_G50,1,heuristic,167,170.09074328515584,3.0907432851558383,1000,250,0.17009074328515583,0.99999976,0.94761860627,0.8394227940460733,5,9,20
octmnist,RegNetY400MF,L50_G50,2,heuristic,155,153.76366272497427,-1.2363372750257327,1000,250,0.15376366272497427,0.99999976,0.94238249434,0.8022127597584827,5,8,18
dermmnist,MobileNetV3,L30_G30,4,heuristic,164,163.55055898309683,-0.4494410169031653,2003,223,0.08165280029111174,1.0,0.9610300990913628,0.8164354687717651,3,9,16
dermmnist,MobileNetV3,L30_G30,3,heuristic,167,167.17824409674995,0.17824409674994968,2003,223,0.08346392615913627,1.0,0.9707771170094858,0.8683830320753091,3,4,8
dermmnist,MobileNetV3,L30_G30,1,heuristic,184,181.56954466160087,-2.4304553383991276,2003,223,0.09064879913210229,1.0,0.9731429326160759,0.8679632334869565,3,7,14
dermmnist,MobileNetV3,L30_G30,2,heuristic,198,203.63615800311584,5.636158003115838,2003,223,0.101665580630612,1.0,0.9612250890064903,0.8383909276920244,4,15,23
tissuemnist,MobileNetV3,L30_G30,4,heuristic,157,161.6558017695658,4.655801769565812,2400,171,0.06735658407065243,1.0,0.9278663201500001,0.8379921599378897,3,10,20
tissuemnist,MobileNetV3,L30_G30,3,heuristic,218,216.05142306121405,-1.9485769387859477,2400,171,0.09002142627550586,1.0,0.9187789669791667,0.7768240097739094,8,20,39
tissuemnist,MobileNetV3,L30_G30,1,heuristic,288,285.7911799561548,-2.2088200438452077,2400,171,0.1190796583150645,1.0,0.904028568675,0.7899425067851622,14,21,41
tissuemnist,MobileNetV3,L30_G30,2,heuristic,262,274.83970819083856,12.839708190838564,2400,171,0.11451654507951607,1.0,0.8987851994291668,0.8047100389249706,12,24,51
octmnist,MobileNetV3,L30_G30,4,heuristic,149,148.32816803698506,-0.6718319630149381,1000,250,0.14832816803698506,1.0,0.9491898841299998,0.8097882387591695,6,9,19
octmnist,MobileNetV3,L30_G30,3,heuristic,188,186.25063304860237,-1.7493669513976329,1000,250,0.18625063304860237,1.0,0.95895299486,0.8580025385505236,6,12,22
octmnist,MobileNetV3,L30_G30,1,heuristic,113,110.61967349260337,-2.3803265073966315,1000,250,0.11061967349260336,1.0,0.9572661760599999,0.8202858683500128,5,9,15
octmnist,MobileNetV3,L30_G30,2,heuristic,191,195.64921296841058,4.6492129684105805,1000,250,0.1956492129684106,1.0,0.9530377687,0.8759761762135448,4,7,20
