dataset,model,cap,seed,fioretto_ldf,hounie_rcl,tralo,clip,bestdual,tralo_m_clip,bestdual_m_clip,tralo_m_bestdual,fio_m_clip,hou_m_clip,metric
dermmnist,MobileNetV3,L30_G30,1,0.3931034482758621,0.3310344827586207,0.4,0.42758620689655175,0.3931034482758621,-0.027586206896551724,-0.03448275862068967,0.006896551724137945,-0.03448275862068967,-0.09655172413793106,ccF1eq
dermmnist,MobileNetV3,L30_G30,2,0.3793103448275862,0.33793103448275863,0.4068965517241379,0.3724137931034483,0.3793103448275862,0.03448275862068961,0.006896551724137889,0.027586206896551724,0.006896551724137889,-0.03448275862068967,ccF1eq
dermmnist,MobileNetV3,L30_G30,3,0.3448275862068966,0.3793103448275862,0.4206896551724138,0.4206896551724138,0.3793103448275862,0.0,-0.04137931034482761,0.04137931034482761,-0.07586206896551723,-0.04137931034482761,ccF1eq
dermmnist,MobileNetV3,L30_G30,4,0.3793103448275862,0.31724137931034485,0.3793103448275862,0.4206896551724138,0.3793103448275862,-0.04137931034482761,-0.04137931034482761,0.0,-0.04137931034482761,-0.10344827586206895,ccF1eq
dermmnist,MobileNetV3,L50_G50,1,0.5329341317365269,0.40119760479041916,0.5568862275449101,0.5808383233532934,0.5329341317365269,-0.02395209580838331,-0.04790419161676651,0.0239520958083832,-0.04790419161676651,-0.17964071856287428,ccF1eq
dermmnist,MobileNetV3,L50_G50,2,0.5449101796407185,0.5089820359281437,0.5449101796407185,0.5329341317365269,0.5449101796407185,0.0119760479041916,0.0119760479041916,0.0,0.0119760479041916,-0.0239520958083832,ccF1eq
dermmnist,MobileNetV3,L50_G50,3,0.5029940119760479,0.48502994011976047,0.5508982035928144,0.592814371257485,0.5029940119760479,-0.041916167664670656,-0.08982035928143717,0.04790419161676651,-0.08982035928143717,-0.10778443113772457,ccF1eq
dermmnist,MobileNetV3,L50_G50,4,0.5389221556886228,0.4491017964071856,0.5389221556886228,0.562874251497006,0.5389221556886228,-0.0239520958083832,-0.0239520958083832,0.0,-0.0239520958083832,-0.11377245508982037,ccF1eq
dermmnist,RegNetY400MF,L30_G30,1,0.4,0.3586206896551724,0.43448275862068964,0.4068965517241379,0.4,0.027586206896551724,-0.006896551724137889,0.03448275862068961,-0.006896551724137889,-0.0482758620689655,ccF1eq
dermmnist,RegNetY400MF,L30_G30,2,0.3586206896551724,0.2413793103448276,0.38620689655172413,0.38620689655172413,0.3586206896551724,0.0,-0.027586206896551724,0.027586206896551724,-0.027586206896551724,-0.14482758620689654,ccF1eq
