campaign,dataset,model,cap,method,n_seeds,K,n_pool,n_true_cls,K_frac_pool,clip_raw,clip_raw_min,clip_raw_max,natural_rate,K_over_clip_raw,binds,ccF1eq,AP,macroEq,count_raw,count_adj,sat,n_collapsed,d_vs_bestdual,d_vs_clip,constraint_epochs_run,last_epoch,warmup,cepochs,ce_skip,lr,lr_constraint,stable_thr
headroom_b30,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,4,112,2003,223,0.05591612581128307,178.25,164,198,0.08899151273090364,0.6283309957924264,yes,0.45209580838323354,0.5431387296100406,0.37831229238571057,140.25,111.0,0.0,0,0.004491017964071864,-0.11077844311377245,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,dermmnist,MobileNetV3,L50_G50,heuristic,4,112,2003,223,0.05591612581128307,178.25,164,198,0.08899151273090364,0.6283309957924264,yes,0.5673652694610778,0.6924796780698421,0.7364436294524063,178.25,111.0,0.0,0,0.004491017964071864,-0.11077844311377245,0.0,,30,0,,0.0001,5e-06,
headroom_b30,dermmnist,MobileNetV3,L50_G50,hounie_rcl,4,112,2003,223,0.05591612581128307,178.25,164,198,0.08899151273090364,0.6283309957924264,yes,0.45209580838323354,0.5430063403085668,0.3772914876969174,140.25,111.0,0.0,0,0.004491017964071864,-0.11077844311377245,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,dermmnist,MobileNetV3,L50_G50,tralo,4,112,2003,223,0.05591612581128307,178.25,164,198,0.08899151273090364,0.6283309957924264,yes,0.4565868263473054,0.5520263845220326,0.39380973135903735,136.25,111.0,0.0,0,0.004491017964071864,-0.11077844311377245,29.0,30.0,1,29,True,0.0001,5e-06,
headroom_b30,dermmnist,RegNetY400MF,L30_G30,danits_lp,4,67,2003,223,0.03344982526210684,172.25,153,184,0.08599600599101348,0.3889695210449927,yes,0.4,0.6860054491044878,0.7111632593521608,172.25,67.0,0.0,0,-0.01034482758620689,-0.05172413793103446,0.0,,30,0,,0.0001,5e-06,
headroom_b30,dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,4,67,2003,223,0.03344982526210684,172.25,153,184,0.08599600599101348,0.3889695210449927,yes,0.3586206896551724,0.5462896649105525,0.4648182298338709,136.75,67.0,0.0,0,-0.01034482758620689,-0.05172413793103446,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,dermmnist,RegNetY400MF,L30_G30,heuristic,4,67,2003,223,0.03344982526210684,172.25,153,184,0.08599600599101348,0.3889695210449927,yes,0.4,0.6860054491044878,0.7111632593521608,172.25,67.0,0.0,0,-0.01034482758620689,-0.05172413793103446,0.0,,30,0,,0.0001,5e-06,
headroom_b30,dermmnist,RegNetY400MF,L30_G30,hounie_rcl,4,67,2003,223,0.03344982526210684,172.25,153,184,0.08599600599101348,0.3889695210449927,yes,0.35344827586206895,0.5460325169263871,0.46435728681459765,137.0,67.0,0.0,0,-0.01034482758620689,-0.05172413793103446,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,dermmnist,RegNetY400MF,L30_G30,tralo,4,67,2003,223,0.03344982526210684,172.25,153,184,0.08599600599101348,0.3889695210449927,yes,0.34827586206896555,0.5440094716627424,0.4637144637210292,136.5,67.0,0.0,0,-0.01034482758620689,-0.05172413793103446,29.0,30.0,1,29,True,0.0001,5e-06,
headroom_b30,dermmnist,RegNetY400MF,L50_G50,danits_lp,4,112,2003,223,0.05591612581128307,172.25,153,184,0.08599600599101348,0.6502177068214804,yes,0.5464071856287425,0.6860054491044878,0.7391455083641927,172.25,111.0,0.0,0,-0.00149700598802395,-0.09730538922155689,0.0,,30,0,,0.0001,5e-06,
