dataset,model,cap,seed,ep,hard,soft,K,gsat,lsat,lam,ce,ongrid
tissuemnist,MobileNetV3,L30_G30,1,10.0,196.0,201.14,51.0,0.0,0.0,0.05,0.135622,1
tissuemnist,MobileNetV3,L30_G30,1,15.0,221.0,218.93,51.0,0.0,0.0,0.05,0.05146,1
tissuemnist,MobileNetV3,L30_G30,1,20.0,183.0,187.25,51.0,0.0,0.0,0.05,0.030216,1
tissuemnist,MobileNetV3,L30_G30,1,25.0,247.0,250.63,51.0,0.0,0.0,0.05,0.038748,1
tissuemnist,MobileNetV3,L30_G30,1,30.0,209.0,213.86,51.0,0.0,0.0,0.05,0.027931,1
tissuemnist,MobileNetV3,L30_G30,2,2.0,254.0,329.39,51.0,0.0,0.0,0.05,1.096688,0
tissuemnist,MobileNetV3,L30_G30,2,5.0,84.0,123.69,51.0,0.0,0.0,0.06,0.577025,1
tissuemnist,MobileNetV3,L30_G30,2,10.0,150.0,157.68,51.0,0.0,0.0,0.07,0.104611,1
tissuemnist,MobileNetV3,L30_G30,2,15.0,151.0,154.47,51.0,0.0,0.0,0.08,0.04875,1
tissuemnist,MobileNetV3,L30_G30,2,20.0,119.0,126.15,51.0,0.0,0.0,0.09,0.021427,1
tissuemnist,MobileNetV3,L30_G30,2,25.0,131.0,132.85,51.0,0.0,0.0,0.1,0.022613,1
tissuemnist,MobileNetV3,L30_G30,2,30.0,107.0,105.8,51.0,0.0,0.0,0.11,0.032971,1
tissuemnist,MobileNetV3,L30_G30,3,2.0,76.0,168.82,51.0,0.0,0.0,0.05,1.07426,0
tissuemnist,MobileNetV3,L30_G30,3,5.0,70.0,104.87,51.0,0.0,0.0,0.06,0.559717,1
tissuemnist,MobileNetV3,L30_G30,3,9.0,30.0,34.27,51.0,1.0,1.0,0.06,0.138704,0
tissuemnist,MobileNetV3,L30_G30,3,10.0,203.0,194.27,51.0,0.0,0.0,0.06,0.10892,1
tissuemnist,MobileNetV3,L30_G30,3,15.0,130.0,136.72,51.0,0.0,0.0,0.06,0.049183,1
tissuemnist,MobileNetV3,L30_G30,3,17.0,36.0,42.35,51.0,1.0,1.0,0.06,0.048415,0
tissuemnist,MobileNetV3,L30_G30,3,20.0,124.0,131.07,51.0,0.0,0.0,0.06,0.039119,1
tissuemnist,MobileNetV3,L30_G30,3,25.0,200.0,204.39,51.0,0.0,0.0,0.06,0.033274,1
tissuemnist,MobileNetV3,L30_G30,3,30.0,121.0,123.71,51.0,0.0,0.0,0.06,0.02691,1
tissuemnist,MobileNetV3,L30_G30,4,2.0,25.0,159.77,51.0,1.0,1.0,0.05,1.088043,0
tissuemnist,MobileNetV3,L30_G30,4,4.0,32.0,78.96,51.0,1.0,1.0,0.05,0.767899,0
tissuemnist,MobileNetV3,L30_G30,4,5.0,42.0,76.18,51.0,1.0,1.0,0.05,0.576928,1
