campaign,dataset,cap,model,seed,method,sweep,arm,warmup,cepochs,lr,lr_c,ce_skip,cls,n_pool,n_true,K,K_local_sum,n_groups,count_raw,count_adj,count_eq,deficit,AP,ccF1adj,ccF1eq,macroAdj,macroEq,path
warmup1_probe_s34,dermmnist,L50_G50,MobileNetV3,4,heuristic,,,1,300,0.0001,5e-06,,4,2003,223,112,111,3,60,111,111,1,0.34608857078896377,0.30538922155688625,0.30538922155688625,0.2423234574253034,0.2423234574253034,results/pending_runs/warmup1_probe_s34/MobileNetV3/dermmnist/L50_G50/w1/heuristic/seed_4
warmup1_probe_s34,dermmnist,L50_G50,MobileNetV3,3,hounie_rcl,,,1,300,0.0001,5e-06,,4,2003,223,112,111,3,72,111,111,1,0.5553001696810229,0.46107784431137727,0.46107784431137727,0.7030928611459507,0.7030928611459507,results/pending_runs/warmup1_probe_s34/MobileNetV3/dermmnist/L50_G50/w1/hounie_rcl/seed_3
warmup1_probe_s34,dermmnist,L50_G50,MobileNetV3,4,hounie_rcl,,,1,300,0.0001,5e-06,,4,2003,223,112,111,3,69,111,111,1,0.5274127572585484,0.4491017964071856,0.4491017964071856,0.7024386506005464,0.7024386506005464,results/pending_runs/warmup1_probe_s34/MobileNetV3/dermmnist/L50_G50/w1/hounie_rcl/seed_4
warmup1_probe_s34,dermmnist,L50_G50,MobileNetV3,3,tralo,,,1,300,0.0001,5e-06,True,4,2003,223,112,111,3,110,111,111,1,0.6000868028217591,0.49101796407185627,0.49101796407185627,0.7015390896082422,0.7014371580043485,results/pending_runs/warmup1_probe_s34/MobileNetV3/dermmnist/L50_G50/w1/tralo/seed_3
warmup1_probe_s34,dermmnist,L50_G50,MobileNetV3,4,tralo,,,1,300,0.0001,5e-06,True,4,2003,223,112,111,3,106,111,111,1,0.5680436611424785,0.48502994011976047,0.48502994011976047,0.6948022144820866,0.6948022144820866,results/pending_runs/warmup1_probe_s34/MobileNetV3/dermmnist/L50_G50/w1/tralo/seed_4
warmup1_probe_s34,dermmnist,L50_G50,MobileNetV3,3,tralo_bounded,,,1,300,0.0001,5e-06,True,4,2003,223,112,111,3,93,111,111,1,0.5818419425932521,0.47904191616766467,0.47904191616766467,0.7178040313132922,0.7127309784495681,results/pending_runs/warmup1_probe_s34/MobileNetV3/dermmnist/L50_G50/w1/tralo_bounded/seed_3
warmup1_probe_s34,dermmnist,L50_G50,MobileNetV3,4,tralo_bounded,,,1,300,0.0001,5e-06,True,4,2003,223,112,111,3,94,111,111,1,0.559228236307844,0.47305389221556887,0.47305389221556887,0.6981100085329057,0.6981100085329057,results/pending_runs/warmup1_probe_s34/MobileNetV3/dermmnist/L50_G50/w1/tralo_bounded/seed_4
warmup1_probe_s34,tissuemnist,L30_G30,MobileNetV3,3,danits_lp,,,1,300,0.0001,5e-06,,4,2400,171,51,51,2,249,51,51,0,0.3513048384589492,0.25225225225225223,0.23423423423423423,0.29649609299811375,0.2913807025328383,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L30_G30/w1/danits_lp/seed_3
warmup1_probe_s34,tissuemnist,L30_G30,MobileNetV3,4,danits_lp,,,1,300,0.0001,5e-06,,4,2400,171,51,51,2,145,51,51,0,0.30554255283796516,0.22522522522522523,0.2072072072072072,0.28561469455069466,0.2760418005320797,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L30_G30/w1/danits_lp/seed_4
warmup1_probe_s34,tissuemnist,L30_G30,MobileNetV3,3,fioretto_ldf,,,1,300,0.0001,5e-06,,4,2400,171,51,51,2,36,51,51,0,0.3462178020622813,0.27927927927927926,0.2702702702702703,0.39227790070583135,0.3913618583770985,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L30_G30/w1/fioretto_ldf/seed_3
