dataset,model,cap,seed,method,K,N,ntrue,epochs,last_epoch,ce_skip_cfg,ce_off_ep,n_ce_off,ce_min,first_sat,n_sat,sat_flips,exc0,exc_min,exc_final,exc_trend_all,exc_trend_ce_on,exc_trend_ce_off,raw_count,lam0,lam_max,lam_final,soft0,soft_min,soft_final,n_ep_lam_frozen,cstr_loss_max,u_recursion_maxerr,lam_peak_ep,lam_decaying_eps,u_max,Uloc_max,soft_min_over_K,soft_final_over_K,n_ep_soft_below_K,soft_trend_ce_on,soft_trend_ce_off,soft_at_sat,soft_drop_after_sat
octmnist,RegNetY400MF,L30_G30,4,hounie_rcl,75,1000,250,29,29,UNSET->default True,,0,0.012817,,0,0,225.0,67.0,73.0,-0.10203329108659841,-0.10203329108659841,,94,0.001237,0.028196,0.028196,198.7,112.18899999999992,112.18899999999992,,0.021751,7.900000000000043e-07,29.0,0.0,0.001233,0.0021165327779176964,1.4958533333333324,1.4958533333333324,0.0,-0.18522167487684724,,,
tissuemnist,RegNetY400MF,L30_G30,1,fioretto_ldf,51,2400,171,29,29,UNSET->default True,,0,0.026612,,0,0,188.0,46.0,262.0,0.02217294967512481,0.02217294967512481,,74,0.613606,21.250313,21.250313,173.7212,108.67860000000002,181.50560000000004,0.0,6033.4272,,,,,,,,,,,,
tissuemnist,RegNetY400MF,L30_G30,2,fioretto_ldf,51,2400,171,29,29,UNSET->default True,,0,0.036711,,0,0,316.0,100.0,238.0,0.10395368966644632,0.10395368966644632,,101,0.740919,18.932156,18.932156,199.1838,112.97540000000004,176.84379999999982,0.0,4832.690918,,,,,,,,,,,,
tissuemnist,RegNetY400MF,L30_G30,3,fioretto_ldf,51,2400,171,29,29,UNSET->default True,,0,0.030614,,0,0,214.0,54.0,206.0,0.09954417336287999,0.09954417336287999,,78,0.643885,18.468748,18.468748,179.77700000000002,108.21079999999996,161.35480000000035,0.0,5252.220856,,,,,,,,,,,,
tissuemnist,RegNetY400MF,L30_G30,4,fioretto_ldf,51,2400,171,29,29,UNSET->default True,,0,0.025976,,0,0,328.0,112.0,442.0,0.2266288969031531,0.2266288969031531,,107,0.725146,20.499089,20.499089,196.02919999999997,109.83439999999993,273.5608000000001,0.0,7395.738464,,,,,,,,,,,,
tissuemnist,RegNetY400MF,L30_G30,1,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.023212,,0,0,188.0,104.0,140.0,-0.07539731942832,-0.07539731942832,,103,0.000511,0.016624,0.016624,173.64,110.13359999999997,126.13440000000017,,0.004492,6.400000000000481e-07,29.0,0.0,0.000731,0.0010322979221135727,2.159482352941176,2.473223529411768,0.0,-0.19408866995073887,,,
tissuemnist,RegNetY400MF,L30_G30,2,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.02962,,0,0,316.0,100.0,226.0,-0.07049545925391917,-0.07049545925391917,,101,0.000617,0.015842,0.015842,199.08,125.64479999999985,169.47359999999946,,0.003316,7.499999999999911e-07,29.0,0.0,0.00069,0.0009611971701997462,2.4636235294117617,3.3230117647058717,0.0,-0.083743842364532,,,
tissuemnist,RegNetY400MF,L30_G30,3,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.030624,,0,0,214.0,70.0,210.0,0.37960340231278145,0.37960340231278145,,86,0.000537,0.016514,0.016514,179.88000000000002,115.77119999999992,163.0272000000005,,0.003599,7.800000000000027e-07,29.0,0.0,0.000708,0.0009993678001616823,2.270023529411763,3.1966117647058923,0.0,0.264039408866995,,,
tissuemnist,RegNetY400MF,L30_G30,4,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.022702,,0,0,328.0,108.0,182.0,-0.2891625615763546,-0.2891625615763546,,105,0.000604,0.016056,0.016056,195.96,103.86240000000039,154.17839999999995,,0.003443,7.600000000000402e-07,29.0,0.0,0.000714,0.0009950899456833036,2.0365176470588313,3.02310588235294,0.0,-0.2729064039408866,,,
dermmnist,RegNetY400MF,L50_G50,1,fioretto_ldf,112,2003,223,20,20,UNSET->default True,15.0,6,0.013716,16.0,5,0,221.0,0.0,0.0,-0.6500186532363403,-0.006593406593406593,-0.6546536707079772,91,0.751578,6.337145,6.337145,262.3156,137.69779999999983,,5.0,1882.565689,,,,,,,,,,,,
dermmnist,RegNetY400MF,L50_G50,2,fioretto_ldf,112,2003,223,22,22,UNSET->default True,17.0,6,0.014198,18.0,5,0,121.0,0.0,0.0,-0.5095234049438052,0.2178072701509463,-0.6546536707079772,69,0.565504,5.997639,5.997639,225.1008,123.6302000000001,,5.0,1604.397659,,,,,,,,,,,,
dermmnist,RegNetY400MF,L50_G50,3,fioretto_ldf,112,2003,223,21,21,UNSET->default True,14.0,8,0.014952,17.0,5,0,391.0,0.0,0.0,-0.5864799854106523,0.0934065934065934,-0.8728715609439694,48,1.016131,6.6591,6.6591,315.22619999999995,135.879,,6.0,1789.084244,,,,,,,,,,,,
dermmnist,RegNetY400MF,L50_G50,4,fioretto_ldf,112,2003,223,19,19,UNSET->default True,14.0,6,0.014283,15.0,5,0,133.0,0.0,0.0,-0.6227044905316842,0.0192838197294368,-0.6546536707079772,99,0.560684,4.862887,4.862887,224.1368,145.98940000000002,,5.0,1116.399452,,,,,,,,,,,,
dermmnist,RegNetY400MF,L50_G50,1,hounie_rcl,112,2003,223,24,24,UNSET->default True,15.0,10,0.013935,20.0,5,0,221.0,0.0,0.0,-0.8163440294698289,-0.2332234634606956,-0.937436866561092,42,0.00075,0.007413,0.006312,262.225,49.58451699999997,49.58451699999997,,0.002749,7.600000000000402e-07,18.0,6.0,0.000341,0.0006264311614215883,0.442718901785714,0.442718901785714,6.0,-0.6263736263736264,-0.9999999999999999,92.62698399999995,43.04246699999998
dermmnist,RegNetY400MF,L50_G50,2,hounie_rcl,112,2003,223,29,29,UNSET->default True,19.0,11,0.011407,25.0,5,0,121.0,0.0,0.0,-0.4948775741885809,0.4202375366424356,-0.9534625892455922,34,0.000565,0.008477,0.007298,225.16949999999997,41.476372999999924,41.476372999999924,,0.003238,7.900000000000043e-07,24.0,5.0,0.000393,0.0006761035423661082,0.37032475892857075,0.37032475892857075,5.0,0.023735810113519093,-1.0,95.93193399999986,54.45556099999993
dermmnist,RegNetY400MF,L50_G50,3,hounie_rcl,112,2003,223,26,26,UNSET->default True,17.0,10,0.0114,22.0,5,0,391.0,0.0,0.0,-0.7088740462250711,-0.10882352941176471,-0.937436866561092,28,0.001015,0.007449,0.006131,315.3045,36.1664200000001,36.1664200000001,,0.002734,7.799999999999756e-07,20.0,6.0,0.000344,0.0006269537463003152,0.3229144642857152,0.3229144642857152,6.0,-0.2647058823529412,-0.9999999999999999,90.64000800000002,54.47358799999992
dermmnist,RegNetY400MF,L50_G50,4,hounie_rcl,112,2003,223,26,26,UNSET->default True,18.0,9,0.009483,22.0,5,0,133.0,0.0,0.0,-0.5606486890279604,0.33476401141961765,-0.9128709291752769,16,0.00056,0.007456,0.005995,224.168,25.54050500000008,25.54050500000008,,0.003596,7.59999999999986e-07,20.0,6.0,0.000338,0.0006993647117205728,0.22804022321428644,0.22804022321428644,6.0,0.14460784313725492,-1.0,90.01507199999995,64.47456699999987
octmnist,RegNetY400MF,L50_G50,1,fioretto_ldf,125,1000,250,29,29,UNSET->default True,,0,0.013149,,0,0,34.0,20.0,168.0,-0.04015767552272605,-0.04015767552272605,,134,0.129596,8.872518,8.872518,150.9192,134.22359999999998,201.8889999999999,0.0,2276.979431,,,,,,,,,,,,
octmnist,RegNetY400MF,L50_G50,2,fioretto_ldf,125,1000,250,29,29,UNSET->default True,,0,0.015234,26.0,1,1,116.0,0.0,66.0,-0.09189455809801728,-0.09189455809801728,,81,0.354806,5.80123,5.80123,195.96120000000002,137.76919999999996,151.50560000000013,1.0,1181.393188,,,,,,,,,,,,
octmnist,RegNetY400MF,L50_G50,3,fioretto_ldf,125,1000,250,29,29,UNSET->default True,,0,0.015086,3.0,4,2,182.0,0.0,154.0,0.3728108200364357,0.3728108200364357,,116,0.455563,6.372962,6.372962,216.1126,125.28040000000003,204.78199999999998,5.0,1603.411102,,,,,,,,,,,,
octmnist,RegNetY400MF,L50_G50,4,fioretto_ldf,125,1000,250,29,29,UNSET->default True,,0,0.013447,15.0,2,2,126.0,0.0,56.0,-0.15672747098169204,-0.15672747098169204,,110,0.368642,6.31548,6.31548,198.72840000000002,135.95500000000004,160.43800000000007,2.0,1451.813477,,,,,,,,,,,,
octmnist,RegNetY400MF,L50_G50,1,hounie_rcl,125,1000,250,29,29,UNSET->default True,,0,0.016233,,0,0,34.0,20.0,114.0,0.09662314694942768,0.09662314694942768,,135,0.000259,0.015889,0.015889,150.9,134.46099999999993,181.55700000000004,,0.011167,7.300000000000015e-07,29.0,0.0,0.000685,0.0011961500741963778,1.0756879999999993,1.4524560000000004,0.0,0.07192118226600984,,,
octmnist,RegNetY400MF,L50_G50,2,hounie_rcl,125,1000,250,29,29,UNSET->default True,,0,0.009724,3.0,5,5,116.0,0.0,76.0,-0.16273668732049643,-0.16273668732049643,,111,0.00071,0.008697,0.008697,196.0,82.45500000000001,162.17800000000003,,0.005432,6.999999999999628e-07,29.0,4.0,0.000389,0.0006761035423661082,0.6596400000000001,1.2974240000000001,4.0,-0.2576354679802955,,132.718,-29.460000000000036
octmnist,RegNetY400MF,L50_G50,3,hounie_rcl,125,1000,250,29,29,UNSET->default True,,0,0.018624,3.0,2,2,182.0,0.0,158.0,0.231176876906351,0.231176876906351,,115,0.000911,0.013855,0.013855,216.1,117.95899999999999,210.84499999999997,,0.011297,6.999999999999899e-07,29.0,2.0,0.000575,0.0009845684333757607,0.943672,1.6867599999999998,2.0,0.21280788177339893,,131.317,-79.52799999999996
octmnist,RegNetY400MF,L50_G50,4,hounie_rcl,125,1000,250,29,29,UNSET->default True,,0,0.016525,,0,0,126.0,2.0,9.0,-0.06798866907094592,-0.06798866907094592,,99,0.000737,0.011981,0.011948,198.7,111.03999999999995,122.22099999999999,,0.008322,7.900000000000246e-07,28.0,2.0,0.000537,0.0009547936949938452,0.8883199999999996,0.977768,2.0,-0.16108374384236449,,,
tissuemnist,RegNetY400MF,L50_G50,1,fioretto_ldf,86,2400,171,29,29,UNSET->default True,,0,0.023788,5.0,1,1,118.0,0.0,156.0,-0.027343269082880428,-0.027343269082880428,,74,0.438606,15.469774,15.469774,173.7212,108.67860000000006,156.51159999999967,0.0,3795.842361,,,,,,,,,,,,
tissuemnist,RegNetY400MF,L50_G50,2,fioretto_ldf,86,2400,171,29,29,UNSET->default True,,0,0.028214,,0,0,246.0,30.0,290.0,0.3054154660633144,0.3054154660633144,,101,0.565919,15.134693,15.134693,199.1838,112.97540000000006,229.38300000000004,0.0,4310.193481,,,,,,,,,,,,
tissuemnist,RegNetY400MF,L50_G50,3,fioretto_ldf,86,2400,171,29,29,UNSET->default True,,0,0.02831,3.0,1,1,144.0,0.0,398.0,0.3073891625615763,0.3073891625615763,,78,0.468885,13.275712,13.275712,179.777,103.97879999999994,282.0902000000001,0.0,4686.971237,,,,,,,,,,,,
tissuemnist,RegNetY400MF,L50_G50,4,fioretto_ldf,86,2400,171,29,29,UNSET->default True,,0,0.024129,,0,0,258.0,42.0,158.0,0.08769552967122012,0.08769552967122012,,107,0.550146,14.240368,14.240368,196.0292,109.83440000000006,168.56240000000014,0.0,3729.423462,,,,,,,,,,,,
tissuemnist,RegNetY400MF,L50_G50,1,hounie_rcl,86,2400,171,29,29,UNSET->default True,,0,0.033242,,0,0,118.0,3.0,192.0,0.007883715440044379,0.007883715440044379,,81,0.000366,0.01144,0.01144,173.84,94.69519999999997,192.47600000000006,,0.003083,8.200000000000091e-07,29.0,0.0,0.000486,0.000695539359058853,1.1011069767441857,2.2380930232558147,0.0,-0.04088669950738915,,,
tissuemnist,RegNetY400MF,L50_G50,2,hounie_rcl,86,2400,171,29,29,UNSET->default True,,0,0.024033,,0,0,246.0,30.0,286.0,0.41857601664485616,0.41857601664485616,,101,0.000472,0.01376,0.01376,199.28,129.06320000000005,239.4727999999998,,0.003598,8.000000000000194e-07,29.0,0.0,0.000576,0.0008174496926416941,1.500734883720931,2.784567441860463,0.0,0.42906403940886684,,,
tissuemnist,RegNetY400MF,L50_G50,3,hounie_rcl,86,2400,171,29,29,UNSET->default True,,0,0.028663,,0,0,144.0,14.0,266.0,0.3644652980847839,0.3644652980847839,,93,0.000391,0.011929,0.011929,179.84,116.50639999999999,221.31680000000011,,0.002616,8.600000000000155e-07,29.0,0.0,0.000505,0.0007382242206809527,1.3547255813953487,2.573451162790699,0.0,0.3142857142857142,,,
tissuemnist,RegNetY400MF,L50_G50,4,hounie_rcl,86,2400,171,29,29,UNSET->default True,,0,0.027941,,0,0,258.0,32.0,58.0,0.09583641581803946,0.09583641581803946,,102,0.000458,0.011583,0.011583,195.92000000000002,116.91680000000002,117.17600000000003,,0.003174,7.499999999999911e-07,29.0,0.0,0.000508,0.0007361630254230377,1.359497674418605,1.362511627906977,0.0,0.0014778325123152706,,,
