path,dataset,cap,model,seed,method,warmup,K,cls,count_raw,AP,precAtK,recAtK,n_uniq_score,frac_score_below_1e6,max_score,sat_epoch_raw,restored_from_raw,restore_kind,min_excess_raw,min_total_excess,last_c,eval_c,n_active_total,n_sat_total,dose_active,dose_sat,dose_frac,n_transitions,first_sat_c,peak_lambda,restored,unspent,is_tralo,traj_min_over_K,traj_max_over_K,traj_range_K,cum_excess_K,campaign,lr_c,AP_ce,precAtK_ce,dAP,dPrecK,over_unspent,abs_unspent
results/headroom/headroom_b30/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_3,dermmnist,L30_G30,MobileNetV3,3,tralo,1,67,4,126,0.5163201087274673,0.7313432835820896,0.21973094170403587,2002,0.0,0.9178479,,2.0,min_excess,2.0,118.0,29,1,29,0,1,0,1.0,0,,0.11,1,-0.8805970149253731,1,1.8805970149253732,1.8805970149253732,0.0,0.8805970149253731,b30_lrc5e-06,5e-06,0.7056520413443165,0.8852611940298507,-0.18933193261684922,-0.15391791044776115,0.0,0.8805970149253731
results/headroom/headroom_b30/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_4,dermmnist,L30_G30,MobileNetV3,4,tralo,1,67,4,140,0.5607380501310859,0.8059701492537313,0.242152466367713,2001,0.00199700449326011,0.91312516,,6.0,min_excess,6.0,146.0,29,5,29,0,5,0,1.0,0,,0.11,1,-1.0895522388059702,1,2.253731343283582,2.373134328358209,0.11940298507462686,2.626865671641791,b30_lrc5e-06,5e-06,0.679767880298651,0.8600079957356077,-0.11902983016756508,-0.05403784648187637,0.0,1.0895522388059702
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_1,octmnist,L30_G30,MobileNetV3,1,fioretto_ldf,1,75,2,163,0.776908110856301,0.96,0.288,982,0.013,0.99998283,,28.0,min_excess,28.0,175.0,29,28,29,0,28,0,1.0,0,,16.293639,1,-1.1733333333333333,0,,4.213333333333333,0.88,74.53333333333333,b30_lrc5e-06,5e-06,0.7580042313731934,0.88,0.018903879483107566,0.07999999999999996,0.0,1.1733333333333333
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_2,octmnist,L30_G30,MobileNetV3,2,fioretto_ldf,1,75,2,154,0.8079728106236416,0.96,0.288,981,0.0,0.9772643,,8.0,min_excess,8.0,157.0,29,8,29,0,8,0,1.0,0,,15.423522,1,-1.0533333333333332,0,,3.7866666666666666,0.6933333333333334,20.213333333333335,b30_lrc5e-06,5e-06,0.8108231951833579,0.9199999999999999,-0.0028503845597163124,0.040000000000000036,0.0,1.0533333333333332
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_3,octmnist,L30_G30,MobileNetV3,3,fioretto_ldf,1,75,2,128,0.5573885508163413,0.6666666666666666,0.2,983,0.0,0.85383695,,1.0,min_excess,1.0,105.0,29,1,29,0,1,0,1.0,0,,16.423434,1,-0.7066666666666667,0,,2.4,0.0,1.4,b30_lrc5e-06,5e-06,0.8262172810605988,0.9293333333333333,-0.26882873024425746,-0.2626666666666667,0.0,0.7066666666666667
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_4,octmnist,L30_G30,MobileNetV3,4,fioretto_ldf,1,75,2,144,0.43410640570626075,0.5333333333333333,0.16,985,0.0,0.8481337,,1.0,min_excess,1.0,137.0,29,1,29,0,1,0,1.0,0,,16.03065,1,-0.92,0,,2.8266666666666667,0.0,1.8266666666666667,b30_lrc5e-06,5e-06,0.72638479977456,0.8280000000000001,-0.2922783940682993,-0.29466666666666674,0.0,0.92
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_1,octmnist,L30_G30,MobileNetV3,1,hounie_rcl,1,75,2,162,0.7746305718941882,0.96,0.288,980,0.013,0.99997973,,28.0,min_excess,28.0,173.0,29,28,29,0,28,0,1.0,0,,0.032396,1,-1.16,0,,4.1866666666666665,0.88,74.53333333333333,b30_lrc5e-06,5e-06,0.7580042313731934,0.88,0.016626340520994765,0.07999999999999996,0.0,1.16
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_2,octmnist,L30_G30,MobileNetV3,2,hounie_rcl,1,75,2,153,0.8098639554244973,0.96,0.288,981,0.0,0.9774311,,8.0,min_excess,8.0,155.0,29,8,29,0,8,0,1.0,0,,0.030585,1,-1.04,0,,3.7866666666666666,0.72,20.133333333333333,b30_lrc5e-06,5e-06,0.8108231951833579,0.9199999999999999,-0.0009592397588605861,0.040000000000000036,0.0,1.04
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_3,octmnist,L30_G30,MobileNetV3,3,hounie_rcl,1,75,2,128,0.5573885508163413,0.6666666666666666,0.2,983,0.0,0.85383695,,1.0,min_excess,1.0,105.0,29,1,29,0,1,0,1.0,0,,0.032582,1,-0.7066666666666667,0,,2.4,0.0,1.4,b30_lrc5e-06,5e-06,0.8262172810605988,0.9293333333333333,-0.26882873024425746,-0.2626666666666667,0.0,0.7066666666666667
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_4,octmnist,L30_G30,MobileNetV3,4,hounie_rcl,1,75,2,144,0.43410640570626075,0.5333333333333333,0.16,985,0.0,0.8481337,,1.0,min_excess,1.0,137.0,29,1,29,0,1,0,1.0,0,,0.031821,1,-0.92,0,,2.8266666666666667,0.0,1.8266666666666667,b30_lrc5e-06,5e-06,0.72638479977456,0.8280000000000001,-0.2922783940682993,-0.29466666666666674,0.0,0.92
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_1,octmnist,L30_G30,MobileNetV3,1,tralo,1,75,2,164,0.7928169505600959,0.96,0.288,984,0.0,0.99607795,,13.0,min_excess,13.0,177.0,29,12,29,0,12,0,1.0,0,,0.11,1,-1.1866666666666668,1,2.2266666666666666,2.453333333333333,0.22666666666666666,3.92,b30_lrc5e-06,5e-06,0.7580042313731934,0.88,0.03481271918690254,0.07999999999999996,0.0,1.1866666666666668
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_2,octmnist,L30_G30,MobileNetV3,2,tralo,1,75,2,150,0.8082468508908333,0.96,0.288,982,0.0,0.9769533,,9.0,min_excess,9.0,149.0,29,8,29,0,8,0,1.0,0,,0.11,1,-1.0,1,2.2266666666666666,2.4,0.17333333333333334,2.6266666666666665,b30_lrc5e-06,5e-06,0.8108231951833579,0.9199999999999999,-0.002576344292524624,0.040000000000000036,0.0,1.0
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_3,octmnist,L30_G30,MobileNetV3,3,tralo,1,75,2,128,0.5573885508163413,0.6666666666666666,0.2,983,0.0,0.85383695,,2.0,min_excess,2.0,105.0,29,1,29,0,1,0,1.0,0,,0.11,1,-0.7066666666666667,1,1.7066666666666668,1.7066666666666668,0.0,0.7066666666666667,b30_lrc5e-06,5e-06,0.8262172810605988,0.9293333333333333,-0.26882873024425746,-0.2626666666666667,0.0,0.7066666666666667
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_4,octmnist,L30_G30,MobileNetV3,4,tralo,1,75,2,144,0.43410640570626075,0.5333333333333333,0.16,985,0.0,0.8481337,,2.0,min_excess,2.0,137.0,29,1,29,0,1,0,1.0,0,,0.11,1,-0.92,1,1.92,1.92,0.0,0.92,b30_lrc5e-06,5e-06,0.72638479977456,0.8280000000000001,-0.2922783940682993,-0.29466666666666674,0.0,0.92
results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_1,tissuemnist,L30_G30,MobileNetV3,1,fioretto_ldf,1,51,4,47,0.3189120253961178,0.47058823529411764,0.14035087719298245,2400,0.0,0.28809506,2.0,2.0,fully_satisfied,2.0,0.0,29,2,28,1,1,1,0.5,2,2.0,16.964057,1,0.0784313725490196,0,,1.2745098039215685,0.27450980392156865,0.27450980392156865,b30_lrc5e-06,5e-06,0.39853999493550796,0.5557455540355678,-0.07962796953939016,-0.08515731874145016,0.0784313725490196,0.0784313725490196
results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_2,tissuemnist,L30_G30,MobileNetV3,2,fioretto_ldf,1,51,4,137,0.3866093652910375,0.5686274509803921,0.1695906432748538,2400,0.0004166666666666667,0.6431206,,5.0,min_excess,5.0,172.0,29,5,29,0,5,0,1.0,0,,18.988213,1,-1.6862745098039216,0,,8.882352941176471,4.509803921568627,22.470588235294116,b30_lrc5e-06,5e-06,0.38482688231431644,0.6065891472868217,0.001782482976721067,-0.03796169630642954,0.0,1.6862745098039216
results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_3,tissuemnist,L30_G30,MobileNetV3,3,fioretto_ldf,1,51,4,70,0.3557233348511057,0.5098039215686274,0.15204678362573099,2400,0.0,0.434227,,1.0,min_excess,1.0,38.0,29,1,29,0,1,0,1.0,0,,16.039544,1,-0.37254901960784315,0,,1.7450980392156863,0.0,0.7450980392156863,b30_lrc5e-06,5e-06,0.411828463207173,0.5691974464204286,-0.05610512835606729,-0.05939352485180116,0.0,0.37254901960784315
results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_4,tissuemnist,L30_G30,MobileNetV3,4,fioretto_ldf,1,51,4,72,0.34822169970324196,0.5294117647058824,0.15789473684210525,2400,0.0,0.34939274,,1.0,min_excess,1.0,42.0,29,1,29,0,1,0,1.0,0,,15.797173,1,-0.4117647058823529,0,,1.8235294117647058,0.0,0.8235294117647058,b30_lrc5e-06,5e-06,0.38274006452985887,0.4990880072959416,-0.03451836482661691,0.030323757409940755,0.0,0.4117647058823529
results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_1,tissuemnist,L30_G30,MobileNetV3,1,hounie_rcl,1,51,4,47,0.3189120253961178,0.47058823529411764,0.14035087719298245,2400,0.0,0.28809506,2.0,2.0,fully_satisfied,2.0,0.0,29,2,28,1,1,1,0.5,2,2.0,0.014171,1,0.0784313725490196,0,,1.2745098039215685,0.27450980392156865,0.27450980392156865,b30_lrc5e-06,5e-06,0.39853999493550796,0.5557455540355678,-0.07962796953939016,-0.08515731874145016,0.0784313725490196,0.0784313725490196
results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_2,tissuemnist,L30_G30,MobileNetV3,2,hounie_rcl,1,51,4,132,0.3871030355733324,0.5686274509803921,0.1695906432748538,2398,0.0004166666666666667,0.6453735,,5.0,min_excess,5.0,162.0,29,5,29,0,5,0,1.0,0,,0.015907,1,-1.588235294117647,0,,8.882352941176471,4.705882352941177,22.274509803921568,b30_lrc5e-06,5e-06,0.38482688231431644,0.6065891472868217,0.0022761532590159783,-0.03796169630642954,0.0,1.588235294117647
results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_3,tissuemnist,L30_G30,MobileNetV3,3,hounie_rcl,1,51,4,70,0.3557233348511057,0.5098039215686274,0.15204678362573099,2400,0.0,0.434227,,1.0,min_excess,1.0,38.0,29,1,29,0,1,0,1.0,0,,0.013341,1,-0.37254901960784315,0,,1.7450980392156863,0.0,0.7450980392156863,b30_lrc5e-06,5e-06,0.411828463207173,0.5691974464204286,-0.05610512835606729,-0.05939352485180116,0.0,0.37254901960784315
results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_4,tissuemnist,L30_G30,MobileNetV3,4,hounie_rcl,1,51,4,72,0.34822169970324196,0.5294117647058824,0.15789473684210525,2400,0.0,0.34939274,,1.0,min_excess,1.0,42.0,29,1,29,0,1,0,1.0,0,,0.013229,1,-0.4117647058823529,0,,1.8235294117647058,0.0,0.8235294117647058,b30_lrc5e-06,5e-06,0.38274006452985887,0.4990880072959416,-0.03451836482661691,0.030323757409940755,0.0,0.4117647058823529
results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_1,tissuemnist,L30_G30,MobileNetV3,1,tralo,1,51,4,48,0.318247173242237,0.47058823529411764,0.14035087719298245,2400,0.0,0.2895816,3.0,3.0,fully_satisfied,3.0,0.0,29,2,28,1,1,1,0.5,2,2.0,0.05,1,0.058823529411764705,1,0.9411764705882353,1.1372549019607843,0.19607843137254902,0.13725490196078433,b30_lrc5e-06,5e-06,0.39853999493550796,0.5557455540355678,-0.08029282169327095,-0.08515731874145016,0.058823529411764705,0.058823529411764705
results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_2,tissuemnist,L30_G30,MobileNetV3,2,tralo,1,51,4,128,0.3873817094017096,0.5686274509803921,0.1695906432748538,2400,0.0004166666666666667,0.6467408,,6.0,min_excess,6.0,154.0,29,5,29,0,5,0,1.0,0,,0.11,1,-1.5098039215686274,1,2.7450980392156863,4.9411764705882355,2.196078431372549,5.686274509803922,b30_lrc5e-06,5e-06,0.38482688231431644,0.6065891472868217,0.00255482708739313,-0.03796169630642954,0.0,1.5098039215686274
results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_3,tissuemnist,L30_G30,MobileNetV3,3,tralo,1,51,4,70,0.3557233348511057,0.5098039215686274,0.15204678362573099,2400,0.0,0.434227,,2.0,min_excess,2.0,38.0,29,1,29,0,1,0,1.0,0,,0.11,1,-0.37254901960784315,1,1.3725490196078431,1.3725490196078431,0.0,0.37254901960784315,b30_lrc5e-06,5e-06,0.411828463207173,0.5691974464204286,-0.05610512835606729,-0.05939352485180116,0.0,0.37254901960784315
results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_4,tissuemnist,L30_G30,MobileNetV3,4,tralo,1,51,4,72,0.34822169970324196,0.5294117647058824,0.15789473684210525,2400,0.0,0.34939274,,2.0,min_excess,2.0,42.0,29,1,29,0,1,0,1.0,0,,0.11,1,-0.4117647058823529,1,1.411764705882353,1.411764705882353,0.0,0.4117647058823529,b30_lrc5e-06,5e-06,0.38274006452985887,0.4990880072959416,-0.03451836482661691,0.030323757409940755,0.0,0.4117647058823529
