campaign,dataset,cap,model,seed,method,sweep,arm,warmup,cepochs,lr,lr_c,ce_skip,cls,n_pool,n_true,K,K_local_sum,n_groups,count_raw,count_adj,count_eq,deficit,AP,ccF1adj,ccF1eq,macroAdj,macroEq,path
headroom_b30_lrc5e-05,octmnist,L30_G30,MobileNetV3,3,fioretto_ldf,,fioretto_ldf,1,29,0.0001,5e-05,,2,1000,250,75,76,3,54,54,75,21,0.7722440816395916,0.34210526315789475,0.4369230769230769,0.6924695701228585,0.7224407668069515,results/headroom/headroom_b30_lrc5e-05/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_3
headroom_b30_lrc5e-05,octmnist,L30_G30,MobileNetV3,4,fioretto_ldf,,fioretto_ldf,1,29,0.0001,5e-05,,2,1000,250,75,76,3,62,62,75,13,0.7869874484499569,0.38461538461538464,0.4492307692307692,0.71379614950082,0.7345373726392828,results/headroom/headroom_b30_lrc5e-05/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_4
headroom_b30_lrc5e-05,octmnist,L30_G30,MobileNetV3,1,hounie_rcl,,hounie_rcl,1,29,0.0001,5e-05,,2,1000,250,75,76,3,9,9,75,66,0.6449057924860467,0.0694980694980695,0.38153846153846155,0.5989676025836984,0.690562873785359,results/headroom/headroom_b30_lrc5e-05/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_1
headroom_b30_lrc5e-05,octmnist,L30_G30,MobileNetV3,2,hounie_rcl,,hounie_rcl,1,29,0.0001,5e-05,,2,1000,250,75,76,3,37,37,75,38,0.7660729968037757,0.2508710801393728,0.4430769230769231,0.6514642162387371,0.7112166997177289,results/headroom/headroom_b30_lrc5e-05/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_2
headroom_b30_lrc5e-05,octmnist,L30_G30,MobileNetV3,3,hounie_rcl,,hounie_rcl,1,29,0.0001,5e-05,,2,1000,250,75,76,3,9,9,75,66,0.6225184022993497,0.0694980694980695,0.38153846153846155,0.5806477346873363,0.6727612910597763,results/headroom/headroom_b30_lrc5e-05/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_3
headroom_b30_lrc5e-05,octmnist,L30_G30,MobileNetV3,4,hounie_rcl,,hounie_rcl,1,29,0.0001,5e-05,,2,1000,250,75,76,3,7,7,75,68,0.7232789808339614,0.054474708171206226,0.4246153846153846,0.5595814178785677,0.6737280088260569,results/headroom/headroom_b30_lrc5e-05/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_4
headroom_b30_lrc5e-05,octmnist,L30_G30,MobileNetV3,1,tralo,,tralo,1,29,0.0001,5e-05,True,2,1000,250,75,76,3,41,41,75,34,0.7703629035879024,0.27491408934707906,0.41846153846153844,0.6647133958492896,0.7077628339645675,results/headroom/headroom_b30_lrc5e-05/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_1
headroom_b30_lrc5e-05,octmnist,L30_G30,MobileNetV3,2,tralo,,tralo,1,29,0.0001,5e-05,True,2,1000,250,75,76,3,61,61,75,14,0.776197021568174,0.37942122186495175,0.4492307692307692,0.7064506336360593,0.7287476033750662,results/headroom/headroom_b30_lrc5e-05/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_2
headroom_b30_lrc5e-05,octmnist,L30_G30,MobileNetV3,3,tralo,,tralo,1,29,0.0001,5e-05,True,2,1000,250,75,76,3,40,40,75,35,0.7668064497263221,0.2620689655172414,0.41846153846153844,0.6514381075959781,0.700591170244688,results/headroom/headroom_b30_lrc5e-05/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_3
headroom_b30_lrc5e-05,octmnist,L30_G30,MobileNetV3,4,tralo,,tralo,1,29,0.0001,5e-05,True,2,1000,250,75,76,3,43,43,75,32,0.521733807672501,0.27303754266211605,0.3569230769230769,0.6112962631408648,0.6310323366473058,results/headroom/headroom_b30_lrc5e-05/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_4
