path,dataset,model,cap,method,seed,K,count_raw,count_adj,ratio,ccF1eq,AP,macroEq,epochs_run,rows_logged,inferred_tail,n_sat,frac_sat,first_sat,n_down,n_up,held_tail,early_stop,ex_first,ex_min,ex_last,ex_rises,final_excess,final_sat,flips,sat_epoch_csv,min_excess_epoch,min_total_excess,restored_from,restore_kind,ce_skip_e,ce_skip_cfg,n_local_groups,klass,d_ccF1eq,d_AP,d_macroEq,max_run_sat,cnt_min,cnt_max,cnt_first,cnt_last,coll,rb,adjK,k3,k5,k7,cestop
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_3,dermmnist,MobileNetV3,L30_G30,tralo,3,67,49,67,0.7313432835820896,0.4206896551724138,0.6341374072393323,0.7118167297646911,29,8,False,1,0.0344827586206896,12.0,1,1,False,False,402.0,0.0,68.0,2,0.0,1.0,18.0,13.0,13.0,0.0,13.0,fully_satisfied,,False,3.0,SAT_THEN_DRIFT,0.0482758620689655,0.08730687455165698,0.037629349514319066,1,49.0,268.0,268.0,101.0,False,0.60-0.85,1.0,SAT_THEN_DRIFT,SAT_THEN_DRIFT,SAT_THEN_DRIFT,False
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_4,dermmnist,MobileNetV3,L30_G30,tralo,4,67,72,67,1.0746268656716418,0.3793103448275862,0.525257397427119,0.64123665417043,29,7,False,0,0.0,,0,0,False,False,214.0,13.0,84.0,2,13.0,0.0,11.0,,10.0,13.0,10.0,min_excess,,False,3.0,NEVER_SAT,0.006896551724137889,-0.021573135260556375,-0.032950726079942094,0,72.0,174.0,174.0,109.0,False,1.00-1.25,1.0,NEVER_SAT,NEVER_SAT,NEVER_SAT,False
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_1,octmnist,MobileNetV3,L30_G30,fioretto_ldf,1,75,67,65,0.8933333333333333,0.4553846153846154,0.7996058204591205,0.7156206108573397,29,29,False,0,0.0,,0,0,False,False,335.0,2.0,93.0,11,2.0,0.0,2.0,,17.0,2.0,17.0,min_excess,29.0,ABSENT(default True),,NEVER_SAT,0.02256410256410263,0.0455389404443417,0.004308001321355781,0,,,,,False,0.85-1.00,0.8666666666666667,NEVER_SAT,NEVER_SAT,NEVER_SAT,True
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_2,octmnist,MobileNetV3,L30_G30,fioretto_ldf,2,75,67,67,0.8933333333333333,0.4492307692307692,0.8113992231442291,0.7123050810234628,29,29,False,2,0.0689655172413793,28.0,0,1,False,False,59.0,0.0,0.0,11,0.0,1.0,0.0,28.0,28.0,0.0,,,26.0,ABSENT(default True),,SAT_THEN_DRIFT,0.016410256410256452,0.057332343129450236,0.0009924714874788299,2,,,,,False,0.85-1.00,0.8933333333333333,SAT_THEN_DRIFT,SAT_THEN_DRIFT,SAT_THEN_DRIFT,True
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_3,octmnist,MobileNetV3,L30_G30,fioretto_ldf,3,75,102,75,1.36,0.4369230769230769,0.768791431185973,0.721318402795267,29,29,False,0,0.0,,0,0,False,False,321.0,53.0,193.0,14,53.0,0.0,27.0,,19.0,53.0,19.0,min_excess,,ABSENT(default True),,NEVER_SAT,0.004102564102564155,0.0147245511711942,0.01000579325928308,0,,,,,False,>1.25,1.0,NEVER_SAT,NEVER_SAT,NEVER_SAT,False
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_4,octmnist,MobileNetV3,L30_G30,fioretto_ldf,4,75,42,42,0.56,0.4369230769230769,0.7812688709961337,0.6872786123162394,29,29,False,1,0.0344827586206896,29.0,0,1,False,False,111.0,0.0,0.0,14,0.0,1.0,0.0,29.0,29.0,0.0,,,25.0,ABSENT(default True),,SAT_THEN_DRIFT,0.004102564102564155,0.027201990981354895,-0.02403399721974453,1,,,,,False,0.33-0.60,0.56,SAT_THEN_DRIFT,SAT_THEN_DRIFT,SAT_THEN_DRIFT,True
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_1,octmnist,MobileNetV3,L30_G30,hounie_rcl,1,75,78,74,1.04,0.4184615384615384,0.6724310077809804,0.7203785202255159,29,29,False,0,0.0,,0,0,False,False,335.0,5.0,207.0,15,5.0,0.0,4.0,,2.0,5.0,2.0,min_excess,29.0,ABSENT(default True),,NEVER_SAT,-0.014358974358974375,-0.08163587223379842,0.009065910689531886,0,,,,,False,1.00-1.25,0.9866666666666667,NEVER_SAT,NEVER_SAT,NEVER_SAT,True
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_2,octmnist,MobileNetV3,L30_G30,hounie_rcl,2,75,83,75,1.106666666666667,0.4430769230769231,0.7709434517479001,0.7277579902302982,29,29,False,0,0.0,,0,0,False,False,59.0,15.0,123.0,15,15.0,0.0,8.0,,2.0,15.0,2.0,min_excess,29.0,ABSENT(default True),,NEVER_SAT,0.010256410256410331,0.016876571733121293,0.016445380694314227,0,,,,,False,1.00-1.25,1.0,NEVER_SAT,NEVER_SAT,NEVER_SAT,True
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_3,octmnist,MobileNetV3,L30_G30,hounie_rcl,3,75,92,75,1.2266666666666666,0.4307692307692308,0.7862795066722891,0.6987212623182766,29,29,False,0,0.0,,0,0,False,False,321.0,33.0,209.0,13,33.0,0.0,17.0,,11.0,33.0,11.0,min_excess,,ABSENT(default True),,NEVER_SAT,-0.0020512820512819663,0.032212626657510235,-0.012591347217707383,0,,,,,False,1.00-1.25,1.0,NEVER_SAT,NEVER_SAT,NEVER_SAT,False
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_4,octmnist,MobileNetV3,L30_G30,hounie_rcl,4,75,92,75,1.2266666666666666,0.4184615384615384,0.7294685944169343,0.7115720995194944,29,29,False,0,0.0,,0,0,False,False,111.0,41.0,139.0,14,33.0,0.0,17.0,,4.0,41.0,,,28.0,ABSENT(default True),,NEVER_SAT,-0.014358974358974375,-0.024598285597844494,0.0002594899835104414,0,,,,,False,1.00-1.25,1.0,NEVER_SAT,NEVER_SAT,NEVER_SAT,True
