dataset,cap,model,seed,method,warmup,cepochs,K,count,count_raw,sat,AP,ccF1eq,macroEq,cls,n_pool,n_true_cls,last_epoch,ce_skip,lr,lr_constraint,stable_thr,campaign,collapsed,constraint_epochs_run
tissuemnist,L50_G50,MobileNetV3,1,danits_lp,30,0,86,86,288,0,0.39853999493550796,0.35019455252918286,0.42422868333714003,4,2400,171,,,0.0001,5e-06,,headroom_b30,False,0.0
tissuemnist,L50_G50,MobileNetV3,2,danits_lp,30,0,86,86,262,0,0.38482688231431644,0.35019455252918286,0.41322398914316827,4,2400,171,,,0.0001,5e-06,,headroom_b30,False,0.0
tissuemnist,L50_G50,MobileNetV3,4,fioretto_ldf,1,29,86,86,74,0,0.36295045079549143,0.3346303501945525,0.31957032679786634,4,2400,171,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
tissuemnist,L50_G50,MobileNetV3,3,fioretto_ldf,1,29,86,86,70,0,0.3557233348511057,0.3035019455252918,0.308413780978731,4,2400,171,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
tissuemnist,L50_G50,MobileNetV3,1,fioretto_ldf,1,29,86,86,72,0,0.31524172067446754,0.28793774319066145,0.38041955887019535,4,2400,171,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
tissuemnist,L50_G50,MobileNetV3,2,fioretto_ldf,1,29,86,86,137,0,0.3866093652910375,0.35019455252918286,0.38756704944644405,4,2400,171,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
tissuemnist,L50_G50,MobileNetV3,4,heuristic,30,0,86,86,157,0,0.38274006452985887,0.311284046692607,0.3683546409143605,4,2400,171,,,0.0001,5e-06,,headroom_b30,False,0.0
tissuemnist,L50_G50,MobileNetV3,3,heuristic,30,0,86,86,218,0,0.411828463207173,0.3657587548638132,0.4391614076110588,4,2400,171,,,0.0001,5e-06,,headroom_b30,False,0.0
tissuemnist,L50_G50,MobileNetV3,1,heuristic,30,0,86,86,288,0,0.39853999493550796,0.35019455252918286,0.42422868333714003,4,2400,171,,,0.0001,5e-06,,headroom_b30,False,0.0
tissuemnist,L50_G50,MobileNetV3,2,heuristic,30,0,86,86,262,0,0.38482688231431644,0.35019455252918286,0.41322398914316827,4,2400,171,,,0.0001,5e-06,,headroom_b30,False,0.0
