path,dataset,cap,model,seed,method,warmup,K,cls,count_raw,AP,precAtK,recAtK,n_uniq_score,frac_score_below_1e6,max_score,sat_epoch_raw,restored_from_raw,restore_kind,min_excess_raw,min_total_excess,last_c,eval_c,n_active_total,n_sat_total,dose_active,dose_sat,dose_frac,n_transitions,first_sat_c,peak_lambda,restored,unspent,is_tralo,traj_min_over_K,traj_max_over_K,traj_range_K,cum_excess_K,AP_ce,precAtK_ce,recAtK_ce,count_raw_ce,n_uniq_score_ce,dAP,dPrecK
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_3,dermmnist,L30_G30,MobileNetV3,3,tralo,1,67,4,49,0.6341374072393323,0.8805970149253731,0.2645739910313901,696,0.7503744383424863,0.9999999,13.0,13.0,fully_satisfied,13.0,0.0,29,12,28,1,11,1,0.9166666666666666,2,12.0,0.07,1,0.26865671641791045,1,0.7313432835820896,4.0,3.2686567164179103,4.7611940298507465,0.7056520413443165,0.8852611940298507,0.3542600896860987,167.0,804.0,-0.07151463410498415,-0.004664179104477584
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_4,dermmnist,L30_G30,MobileNetV3,4,tralo,1,67,4,72,0.525257397427119,0.8059701492537313,0.242152466367713,985,0.6275586620069895,0.99999964,,10.0,min_excess,10.0,13.0,29,9,29,0,9,0,1.0,0,,0.11,1,-0.07462686567164178,1,1.0746268656716418,2.5970149253731343,1.5223880597014925,2.343283582089552,0.679767880298651,0.8600079957356077,0.33856502242152464,164.0,898.0,-0.15451048287153202,-0.05403784648187637
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_1,octmnist,L30_G30,MobileNetV3,1,fioretto_ldf,1,75,2,67,0.7996058204591205,0.9866666666666667,0.296,624,0.498,0.9999994,,17.0,min_excess,17.0,2.0,29,17,29,0,17,0,1.0,0,,13.142254,1,0.10666666666666667,0,,5.546666666666667,4.52,40.0,0.7580042313731934,0.88,0.348,113.0,492.0,0.04160158908592715,0.10666666666666669
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_2,octmnist,L30_G30,MobileNetV3,2,fioretto_ldf,1,75,2,67,0.8113992231442291,0.9733333333333334,0.292,574,0.561,1.0,28.0,,nan,28.0,0.0,29,29,27,2,27,2,0.9310344827586207,1,28.0,9.593503,0,0.10666666666666667,0,,5.8133333333333335,4.8133333333333335,47.373333333333335,0.8108231951833579,0.9199999999999999,0.364,191.0,697.0,0.0005760279608711949,0.053333333333333455
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_3,octmnist,L30_G30,MobileNetV3,3,fioretto_ldf,1,75,2,102,0.768791431185973,0.9466666666666667,0.284,566,0.56,0.9999999,,19.0,min_excess,19.0,53.0,29,19,29,0,19,0,1.0,0,,13.152993,1,-0.36,0,,5.28,3.5733333333333333,49.986666666666665,0.8262172810605988,0.9293333333333333,0.37,188.0,656.0,-0.057425849874625734,0.01733333333333331
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_4,octmnist,L30_G30,MobileNetV3,4,fioretto_ldf,1,75,2,42,0.7812688709961337,0.92,0.276,287,0.786,0.99999976,29.0,,nan,29.0,0.0,29,29,28,1,28,1,0.9655172413793104,1,29.0,12.819699,0,0.44,0,,6.1866666666666665,5.1866666666666665,66.05333333333333,0.72638479977456,0.8280000000000001,0.326,149.0,574.0,0.05488407122157368,0.09199999999999997
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_1,octmnist,L30_G30,MobileNetV3,1,hounie_rcl,1,75,2,78,0.6724310077809804,0.8933333333333333,0.268,983,0.001,0.94817674,,2.0,min_excess,2.0,5.0,29,2,29,0,2,0,1.0,0,,0.025465,1,-0.04,0,,5.466666666666667,4.4,4.533333333333333,0.7580042313731934,0.88,0.348,113.0,492.0,-0.08557322359221298,0.013333333333333308
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_2,octmnist,L30_G30,MobileNetV3,2,hounie_rcl,1,75,2,83,0.7709434517479001,0.96,0.288,985,0.001,0.97591454,,2.0,min_excess,2.0,15.0,29,2,29,0,2,0,1.0,0,,0.022407,1,-0.10666666666666667,0,,1.7866666666666666,0.5866666666666667,0.9866666666666667,0.8108231951833579,0.9199999999999999,0.364,191.0,697.0,-0.03987974343545775,0.040000000000000036
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_3,octmnist,L30_G30,MobileNetV3,3,hounie_rcl,1,75,2,92,0.7862795066722891,0.9333333333333333,0.28,753,0.398,0.9999999,,11.0,min_excess,11.0,33.0,29,11,29,0,11,0,1.0,0,,0.024806,1,-0.22666666666666666,0,,6.026666666666666,4.586666666666667,27.85333333333333,0.8262172810605988,0.9293333333333333,0.37,188.0,656.0,-0.0399377743883097,0.0040000000000000036
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_4,octmnist,L30_G30,MobileNetV3,4,hounie_rcl,1,75,2,92,0.7294685944169343,0.9066666666666666,0.272,567,0.529,1.0,,,nan,4.0,41.0,29,29,29,0,29,0,1.0,0,,0.027011,0,-0.22666666666666666,0,,5.386666666666667,3.84,69.82666666666667,0.72638479977456,0.8280000000000001,0.326,149.0,574.0,0.0030837946423742935,0.07866666666666655
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_1,octmnist,L30_G30,MobileNetV3,1,tralo,1,75,2,42,0.6369146177540105,0.8933333333333333,0.268,984,0.004,0.9016115,3.0,3.0,fully_satisfied,3.0,0.0,29,2,28,1,1,1,0.5,2,2.0,0.05,1,0.44,1,0.56,3.24,2.68,2.24,0.7580042313731934,0.88,0.348,113.0,492.0,-0.12108961361918291,0.013333333333333308
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_2,octmnist,L30_G30,MobileNetV3,2,tralo,1,75,2,55,0.7359002455600738,0.9466666666666667,0.284,982,0.001,0.9748001,3.0,3.0,fully_satisfied,3.0,0.0,29,2,28,1,1,1,0.5,2,2.0,0.05,1,0.26666666666666666,1,0.7333333333333333,1.4,0.6666666666666666,0.4,0.8108231951833579,0.9199999999999999,0.364,191.0,697.0,-0.07492294962328405,0.026666666666666727
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_3,octmnist,L30_G30,MobileNetV3,3,tralo,1,75,2,77,0.8021110309994195,0.92,0.276,720,0.43,0.99999976,,12.0,min_excess,12.0,4.0,29,11,29,0,11,0,1.0,0,,0.11,1,-0.02666666666666667,1,1.9866666666666666,3.1466666666666665,1.16,4.72,0.8262172810605988,0.9293333333333333,0.37,188.0,656.0,-0.02410625006117928,-0.009333333333333305
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_4,octmnist,L30_G30,MobileNetV3,4,tralo,1,75,2,77,0.7536887594602821,0.8933333333333333,0.268,593,0.514,0.99992526,,10.0,min_excess,10.0,8.0,29,9,29,0,9,0,1.0,0,,0.11,1,-0.02666666666666667,1,1.0266666666666666,1.7466666666666666,0.72,1.2133333333333334,0.72638479977456,0.8280000000000001,0.326,149.0,574.0,0.02730395968572208,0.06533333333333324
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_1,tissuemnist,L30_G30,MobileNetV3,1,fioretto_ldf,1,51,4,35,0.3954645792438441,0.6470588235294118,0.19298245614035087,2400,0.0,0.4245388,1.0,1.0,fully_satisfied,1.0,0.0,29,1,28,1,0,1,0.0,1,1.0,16.668755,1,0.3137254901960784,0,,1.0,0.0,0.0,0.39853999493550796,0.5557455540355678,0.21929824561403508,288.0,1728.0,-0.003075415691663863,0.091313269493844
