E,hard,soft,lam,sat,cep,dataset,model,cap,seed
2,131,148.23,0.05,0,1,octmnist,MobileNetV3,L30_G30,4
5,108,119.16,0.06,0,4,octmnist,MobileNetV3,L30_G30,4
10,77,78.02,0.07,0,9,octmnist,MobileNetV3,L30_G30,4
15,237,233.37,0.08,0,14,octmnist,MobileNetV3,L30_G30,4
20,168,173.31,0.09,0,19,octmnist,MobileNetV3,L30_G30,4
25,203,201.39,0.1,0,24,octmnist,MobileNetV3,L30_G30,4
30,131,131.86,0.11,0,29,octmnist,MobileNetV3,L30_G30,4
2,236,209.42,0.05,0,1,octmnist,MobileNetV3,L30_G30,3
5,149,155.12,0.06,0,4,octmnist,MobileNetV3,L30_G30,3
10,194,193.86,0.07,0,9,octmnist,MobileNetV3,L30_G30,3
15,133,136.72,0.08,0,14,octmnist,MobileNetV3,L30_G30,3
20,170,168.26,0.09,0,19,octmnist,MobileNetV3,L30_G30,3
25,150,155.41,0.1,0,24,octmnist,MobileNetV3,L30_G30,3
30,135,137.95,0.11,0,29,octmnist,MobileNetV3,L30_G30,3
2,243,208.91,0.05,0,1,octmnist,MobileNetV3,L30_G30,1
3,42,80.74,0.05,1,2,octmnist,MobileNetV3,L30_G30,1
5,169,177.33,0.05,0,4,octmnist,MobileNetV3,L30_G30,1
10,205,204.23,0.05,0,9,octmnist,MobileNetV3,L30_G30,1
15,155,154.44,0.05,0,14,octmnist,MobileNetV3,L30_G30,1
20,142,142.47,0.05,0,19,octmnist,MobileNetV3,L30_G30,1
25,161,159.82,0.05,0,24,octmnist,MobileNetV3,L30_G30,1
30,125,131.46,0.05,0,29,octmnist,MobileNetV3,L30_G30,1
2,105,151.14,0.05,0,1,octmnist,MobileNetV3,L30_G30,2
3,55,89.43,0.05,1,2,octmnist,MobileNetV3,L30_G30,2
5,154,149.09,0.05,0,4,octmnist,MobileNetV3,L30_G30,2
10,118,113.62,0.05,0,9,octmnist,MobileNetV3,L30_G30,2
15,199,197.9,0.05,0,14,octmnist,MobileNetV3,L30_G30,2
20,147,145.88,0.05,0,19,octmnist,MobileNetV3,L30_G30,2
25,228,224.47,0.05,0,24,octmnist,MobileNetV3,L30_G30,2
30,213,211.64,0.05,0,29,octmnist,MobileNetV3,L30_G30,2
