E,hard,soft,lam,sat,cep,dataset,model,cap,seed
15,123,126.34,0.05,0,14,dermmnist,MobileNetV3,L50_G50,2
16,74,76.08,0.05,1,15,dermmnist,MobileNetV3,L50_G50,2
19,93,96.46,0.05,1,18,dermmnist,MobileNetV3,L50_G50,2
20,262,260.53,0.05,0,19,dermmnist,MobileNetV3,L50_G50,2
23,97,100.64,0.05,1,22,dermmnist,MobileNetV3,L50_G50,2
25,134,136.01,0.05,0,24,dermmnist,MobileNetV3,L50_G50,2
26,106,112.04,0.05,1,25,dermmnist,MobileNetV3,L50_G50,2
27,102,101.93,0.05,1,26,dermmnist,MobileNetV3,L50_G50,2
30,86,83.39,0.05,1,29,dermmnist,MobileNetV3,L50_G50,2
2,25,159.77,0.05,1,1,tissuemnist,MobileNetV3,L50_G50,4
3,58,128.97,0.05,1,2,tissuemnist,MobileNetV3,L50_G50,4
4,47,101.95,0.05,1,3,tissuemnist,MobileNetV3,L50_G50,4
5,58,86.58,0.05,1,4,tissuemnist,MobileNetV3,L50_G50,4
10,101,109.86,0.05,0,9,tissuemnist,MobileNetV3,L50_G50,4
15,68,71.41,0.05,1,14,tissuemnist,MobileNetV3,L50_G50,4
20,116,121.44,0.05,0,19,tissuemnist,MobileNetV3,L50_G50,4
25,123,130.43,0.05,0,24,tissuemnist,MobileNetV3,L50_G50,4
30,103,111.44,0.05,0,29,tissuemnist,MobileNetV3,L50_G50,4
2,76,168.82,0.05,1,1,tissuemnist,MobileNetV3,L50_G50,3
3,72,118.29,0.05,1,2,tissuemnist,MobileNetV3,L50_G50,3
4,63,98.54,0.05,1,3,tissuemnist,MobileNetV3,L50_G50,3
5,50,98.0,0.05,1,4,tissuemnist,MobileNetV3,L50_G50,3
2,35,196.14,0.05,1,1,tissuemnist,MobileNetV3,L50_G50,1
5,46,94.07,0.05,1,4,tissuemnist,MobileNetV3,L50_G50,1
10,206,205.19,0.05,0,9,tissuemnist,MobileNetV3,L50_G50,1
15,139,138.96,0.05,0,14,tissuemnist,MobileNetV3,L50_G50,1
20,255,257.27,0.05,0,19,tissuemnist,MobileNetV3,L50_G50,1
25,257,250.98,0.05,0,24,tissuemnist,MobileNetV3,L50_G50,1
30,102,106.41,0.05,0,29,tissuemnist,MobileNetV3,L50_G50,1
2,254,329.39,0.05,0,1,tissuemnist,MobileNetV3,L50_G50,2
5,72,98.11,0.06,1,4,tissuemnist,MobileNetV3,L50_G50,2
10,119,135.03,0.06,0,9,tissuemnist,MobileNetV3,L50_G50,2
15,149,158.82,0.06,0,14,tissuemnist,MobileNetV3,L50_G50,2
20,300,304.61,0.06,0,19,tissuemnist,MobileNetV3,L50_G50,2
25,144,149.96,0.06,0,24,tissuemnist,MobileNetV3,L50_G50,2
28,58,59.67,0.06,1,27,tissuemnist,MobileNetV3,L50_G50,2
30,95,97.96,0.06,0,29,tissuemnist,MobileNetV3,L50_G50,2
2,131,148.23,0.05,0,1,octmnist,MobileNetV3,L50_G50,4
5,76,86.47,0.06,1,4,octmnist,MobileNetV3,L50_G50,4
10,157,157.3,0.06,0,9,octmnist,MobileNetV3,L50_G50,4
11,87,85.9,0.06,1,10,octmnist,MobileNetV3,L50_G50,4
14,122,119.07,0.06,1,13,octmnist,MobileNetV3,L50_G50,4
15,280,282.94,0.06,0,14,octmnist,MobileNetV3,L50_G50,4
20,144,147.99,0.06,0,19,octmnist,MobileNetV3,L50_G50,4
25,163,162.21,0.06,0,24,octmnist,MobileNetV3,L50_G50,4
30,168,169.97,0.06,0,29,octmnist,MobileNetV3,L50_G50,4
2,236,209.42,0.05,0,1,octmnist,MobileNetV3,L50_G50,3
5,176,177.31,0.06,0,4,octmnist,MobileNetV3,L50_G50,3
8,113,110.2,0.06,1,7,octmnist,MobileNetV3,L50_G50,3
10,168,166.45,0.06,0,9,octmnist,MobileNetV3,L50_G50,3
15,107,107.66,0.06,1,14,octmnist,MobileNetV3,L50_G50,3
19,111,108.36,0.06,1,18,octmnist,MobileNetV3,L50_G50,3
20,214,214.67,0.06,0,19,octmnist,MobileNetV3,L50_G50,3
24,112,112.48,0.06,1,23,octmnist,MobileNetV3,L50_G50,3
25,205,202.48,0.06,0,24,octmnist,MobileNetV3,L50_G50,3
26,108,112.85,0.06,1,25,octmnist,MobileNetV3,L50_G50,3
30,143,137.74,0.06,0,29,octmnist,MobileNetV3,L50_G50,3
2,243,208.91,0.05,0,1,octmnist,MobileNetV3,L50_G50,1
3,53,86.88,0.05,1,2,octmnist,MobileNetV3,L50_G50,1
5,145,152.98,0.05,0,4,octmnist,MobileNetV3,L50_G50,1
10,161,158.94,0.05,0,9,octmnist,MobileNetV3,L50_G50,1
15,134,136.28,0.05,0,14,octmnist,MobileNetV3,L50_G50,1
19,102,105.49,0.05,1,18,octmnist,MobileNetV3,L50_G50,1
20,136,136.63,0.05,0,19,octmnist,MobileNetV3,L50_G50,1
23,118,119.13,0.05,1,22,octmnist,MobileNetV3,L50_G50,1
25,161,160.19,0.05,0,24,octmnist,MobileNetV3,L50_G50,1
28,98,97.41,0.05,1,27,octmnist,MobileNetV3,L50_G50,1
30,120,123.07,0.05,1,29,octmnist,MobileNetV3,L50_G50,1
2,105,151.14,0.05,1,1,octmnist,MobileNetV3,L50_G50,2
3,47,88.22,0.05,1,2,octmnist,MobileNetV3,L50_G50,2
4,111,127.0,0.05,1,3,octmnist,MobileNetV3,L50_G50,2
5,116,123.96,0.05,1,4,octmnist,MobileNetV3,L50_G50,2
8,105,107.84,0.05,1,7,octmnist,MobileNetV3,L50_G50,2
9,112,114.66,0.05,1,8,octmnist,MobileNetV3,L50_G50,2
10,147,150.65,0.05,0,9,octmnist,MobileNetV3,L50_G50,2
15,180,179.78,0.05,0,14,octmnist,MobileNetV3,L50_G50,2
20,113,112.72,0.05,1,19,octmnist,MobileNetV3,L50_G50,2
22,99,103.95,0.05,1,21,octmnist,MobileNetV3,L50_G50,2
25,121,120.54,0.05,1,24,octmnist,MobileNetV3,L50_G50,2
30,163,163.92,0.05,0,29,octmnist,MobileNetV3,L50_G50,2
