path,dataset,model,cap,method,seed,K,count_raw,count_adj,ratio,ccF1eq,AP,macroEq,epochs_run,rows_logged,inferred_tail,n_sat,frac_sat,first_sat,n_down,n_up,held_tail,early_stop,ex_first,ex_min,ex_last,ex_rises,final_excess,final_sat,flips,sat_epoch_csv,min_excess_epoch,min_total_excess,restored_from,restore_kind,ce_skip_e,ce_skip_cfg,n_local_groups,klass
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_2,octmnist,MobileNetV3,L30_G30,fioretto_ldf,2,75,67,67,0.8933333333333333,0.4492307692307692,0.8113992231442291,0.7123050810234628,29,29,False,2,0.06896551724137931,28.0,0,1,False,False,59.0,0.0,0.0,11,0.0,1.0,0.0,28.0,28.0,0.0,,,26.0,ABSENT(default True),,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_3,octmnist,MobileNetV3,L30_G30,fioretto_ldf,3,75,102,75,1.36,0.4369230769230769,0.768791431185973,0.721318402795267,29,29,False,0,0.0,,0,0,False,False,321.0,53.0,193.0,14,53.0,0.0,27.0,,19.0,53.0,19.0,min_excess,,ABSENT(default True),,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_4,octmnist,MobileNetV3,L30_G30,fioretto_ldf,4,75,42,42,0.56,0.4369230769230769,0.7812688709961337,0.6872786123162394,29,29,False,1,0.034482758620689655,29.0,0,1,False,False,111.0,0.0,0.0,14,0.0,1.0,0.0,29.0,29.0,0.0,,,25.0,ABSENT(default True),,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_1,octmnist,MobileNetV3,L30_G30,hounie_rcl,1,75,78,74,1.04,0.41846153846153844,0.6724310077809804,0.7203785202255159,29,29,False,0,0.0,,0,0,False,False,335.0,5.0,207.0,15,5.0,0.0,4.0,,2.0,5.0,2.0,min_excess,29.0,ABSENT(default True),,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_2,octmnist,MobileNetV3,L30_G30,hounie_rcl,2,75,83,75,1.1066666666666667,0.4430769230769231,0.7709434517479001,0.7277579902302982,29,29,False,0,0.0,,0,0,False,False,59.0,15.0,123.0,15,15.0,0.0,8.0,,2.0,15.0,2.0,min_excess,29.0,ABSENT(default True),,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_3,octmnist,MobileNetV3,L30_G30,hounie_rcl,3,75,92,75,1.2266666666666666,0.4307692307692308,0.7862795066722891,0.6987212623182766,29,29,False,0,0.0,,0,0,False,False,321.0,33.0,209.0,13,33.0,0.0,17.0,,11.0,33.0,11.0,min_excess,,ABSENT(default True),,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_4,octmnist,MobileNetV3,L30_G30,hounie_rcl,4,75,92,75,1.2266666666666666,0.41846153846153844,0.7294685944169343,0.7115720995194944,29,29,False,0,0.0,,0,0,False,False,111.0,41.0,139.0,14,33.0,0.0,17.0,,4.0,41.0,,,28.0,ABSENT(default True),,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_1,octmnist,MobileNetV3,L30_G30,tralo,1,75,42,42,0.56,0.41846153846153844,0.6369146177540105,0.7075015926393828,29,8,False,1,0.034482758620689655,2.0,1,1,False,False,335.0,0.0,99.0,3,0.0,1.0,0.0,3.0,3.0,0.0,3.0,fully_satisfied,,False,3.0,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_2,octmnist,MobileNetV3,L30_G30,tralo,2,75,55,55,0.7333333333333333,0.4369230769230769,0.7359002455600738,0.7273981925712102,29,8,False,1,0.034482758620689655,2.0,1,1,False,False,59.0,0.0,275.0,3,0.0,1.0,0.0,3.0,3.0,0.0,3.0,fully_satisfied,,False,3.0,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_3,octmnist,MobileNetV3,L30_G30,tralo,3,75,77,75,1.0266666666666666,0.4246153846153846,0.8021110309994195,0.7255519340140391,29,7,False,0,0.0,,0,0,False,False,321.0,115.0,119.0,2,4.0,0.0,2.0,,12.0,4.0,12.0,min_excess,,False,3.0,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_4,octmnist,MobileNetV3,L30_G30,tralo,4,75,77,71,1.0266666666666666,0.4246153846153846,0.7536887594602821,0.6803470159212821,29,7,False,0,0.0,,0,0,False,False,111.0,8.0,111.0,2,8.0,0.0,6.0,,10.0,8.0,10.0,min_excess,,False,3.0,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_1,tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,1,51,35,51,0.6862745098039216,0.2882882882882883,0.3954645792438441,0.271492375243205,29,29,False,1,0.034482758620689655,1.0,1,0,False,False,0.0,0.0,186.0,15,0.0,1.0,16.0,1.0,1.0,0.0,1.0,fully_satisfied,,ABSENT(default True),,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_2,tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,2,51,55,51,1.0784313725490196,0.23423423423423423,0.3406587642309829,0.37761692369750366,29,29,False,0,0.0,,0,0,False,False,406.0,9.0,260.0,15,9.0,0.0,10.0,,11.0,9.0,11.0,min_excess,,ABSENT(default True),,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_3,tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,3,51,20,51,0.39215686274509803,0.1981981981981982,0.25884573543613204,0.37030025242508224,29,29,False,1,0.034482758620689655,24.0,1,1,False,False,50.0,0.0,44.0,14,0.0,1.0,31.0,24.0,24.0,0.0,24.0,fully_satisfied,,ABSENT(default True),,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_4,tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,4,51,44,51,0.8627450980392157,0.26126126126126126,0.3860343293557206,0.41451507129834697,29,29,False,3,0.10344827586206896,1.0,1,0,False,False,0.0,0.0,280.0,15,0.0,1.0,7.0,1.0,1.0,0.0,3.0,fully_satisfied,,ABSENT(default True),,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_1,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,1,51,35,51,0.6862745098039216,0.2882882882882883,0.3954645792438441,0.271492375243205,29,29,False,1,0.034482758620689655,1.0,1,0,False,False,0.0,0.0,226.0,15,0.0,1.0,16.0,1.0,1.0,0.0,1.0,fully_satisfied,,ABSENT(default True),,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_2,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,2,51,80,51,1.5686274509803921,0.25225225225225223,0.36162257750423865,0.4047882685544954,29,29,False,0,0.0,,0,0,False,False,406.0,58.0,184.0,18,58.0,0.0,29.0,,17.0,58.0,17.0,min_excess,,ABSENT(default True),,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_3,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,3,51,53,51,1.0392156862745099,0.2702702702702703,0.37836715294566153,0.3676691044795339,29,29,False,0,0.0,,0,0,False,False,50.0,4.0,168.0,15,4.0,0.0,4.0,,3.0,4.0,3.0,min_excess,,ABSENT(default True),,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_4,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,4,51,47,51,0.9215686274509803,0.2702702702702703,0.3808957268250199,0.36949761740680337,29,29,False,2,0.06896551724137931,1.0,1,0,False,False,0.0,0.0,122.0,17,0.0,1.0,4.0,1.0,1.0,0.0,2.0,fully_satisfied,,ABSENT(default True),,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_1,tissuemnist,MobileNetV3,L30_G30,tralo,1,51,35,51,0.6862745098039216,0.2882882882882883,0.3954645792438441,0.271492375243205,29,7,False,1,0.034482758620689655,1.0,1,0,False,False,0.0,0.0,316.0,4,0.0,1.0,16.0,2.0,2.0,0.0,2.0,fully_satisfied,,False,2.0,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_2,tissuemnist,MobileNetV3,L30_G30,tralo,2,51,73,51,1.4313725490196079,0.32432432432432434,0.444779157439954,0.3874301069042014,29,7,False,0,0.0,,0,0,False,False,406.0,66.0,112.0,3,44.0,0.0,22.0,,29.0,44.0,29.0,min_excess,,False,2.0,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_3,tissuemnist,MobileNetV3,L30_G30,tralo,3,51,36,51,0.7058823529411765,0.26126126126126126,0.3267056656925248,0.3985405801876154,29,9,False,2,0.06896551724137931,8.0,2,2,False,False,50.0,0.0,140.0,3,0.0,1.0,15.0,9.0,9.0,0.0,17.0,fully_satisfied,,False,2.0,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_4,tissuemnist,MobileNetV3,L30_G30,tralo,4,51,42,51,0.8235294117647058,0.2882882882882883,0.42230281926866087,0.4375330829037124,29,8,False,3,0.10344827586206896,1.0,2,1,False,False,0.0,0.0,180.0,3,0.0,1.0,9.0,2.0,2.0,0.0,5.0,fully_satisfied,,False,2.0,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_1,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,1,112,78,111,0.6964285714285714,0.5329341317365269,0.6420835526670444,0.7261095197055006,24,24,False,6,0.25,14.0,1,2,True,True,69.0,0.0,0.0,9,0.0,1.0,33.0,14.0,14.0,0.0,,,20.0,ABSENT(default True),,OSC_THEN_LOCK
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_2,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,2,112,110,111,0.9821428571428571,0.5449101796407185,0.6517579261994727,0.740374871845398,29,29,False,0,0.0,,0,0,False,False,57.0,1.0,1.0,7,1.0,0.0,3.0,,16.0,1.0,,,15.0,ABSENT(default True),,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_3,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,3,112,76,111,0.6785714285714286,0.5029940119760479,0.6254235776780518,0.6990448327160275,20,20,False,5,0.25,16.0,0,1,True,True,313.0,0.0,0.0,6,0.0,1.0,35.0,16.0,16.0,0.0,,,15.0,ABSENT(default True),,LOCK_AND_HOLD
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_4,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,4,112,97,111,0.8660714285714286,0.5389221556886228,0.635610149084322,0.7095523572121492,21,21,False,5,0.23809523809523808,17.0,0,1,True,True,125.0,0.0,0.0,7,0.0,1.0,14.0,17.0,17.0,0.0,,,17.0,ABSENT(default True),,LOCK_AND_HOLD
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_1,dermmnist,MobileNetV3,L50_G50,hounie_rcl,1,112,54,111,0.48214285714285715,0.40119760479041916,0.48416291677517437,0.6167989363569445,29,29,False,3,0.10344827586206896,27.0,0,1,False,False,69.0,0.0,0.0,8,0.0,1.0,57.0,27.0,27.0,0.0,,,12.0,ABSENT(default True),,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_2,dermmnist,MobileNetV3,L50_G50,hounie_rcl,2,112,71,111,0.6339285714285714,0.5089820359281437,0.6082769508687245,0.7112030763810243,29,29,False,4,0.13793103448275862,26.0,0,1,False,False,57.0,0.0,0.0,11,0.0,1.0,40.0,26.0,26.0,0.0,,,23.0,ABSENT(default True),,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_3,dermmnist,MobileNetV3,L50_G50,hounie_rcl,3,112,38,111,0.3392857142857143,0.48502994011976047,0.564949066665863,0.6918938892402204,25,25,False,5,0.2,21.0,0,1,True,True,313.0,0.0,0.0,5,0.0,1.0,73.0,21.0,21.0,0.0,,,15.0,ABSENT(default True),,LOCK_AND_HOLD
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_4,dermmnist,MobileNetV3,L50_G50,hounie_rcl,4,112,52,111,0.4642857142857143,0.4491017964071856,0.5235007484841816,0.6120485289437388,28,28,False,6,0.21428571428571427,8.0,1,2,True,True,125.0,0.0,0.0,6,0.0,1.0,59.0,8.0,8.0,0.0,,,14.0,ABSENT(default True),,OSC_THEN_LOCK
