campaign,dataset,model,cap,seed,K,gated,gate_ep,n_off,n_rows,satisfied,first_sat,n_sat,exc_final,exc_min,soft_final,soft_min,raw_count,lam_peak_ep,lam_max,lam_final,lam_still_rising,overshoot_final,undercount_raw,tail4,tail5,tail7,tail9,tail11,tail13,ratio_after_lampeak,npts_after_lampeak,ratio_before_lampeak
lrc5e-5,tissuemnist,RegNetY400MF,L30_G30,2,51,0,,0,29,0,,0,274.0,166.0,188.19119999999987,147.52799999999976,134,28,0.016363,0.016363,1,-2.690023529411762,-1.6274509803921569,0.13420316868592472,0.6112462403556924,0.45104741442453017,0.15970251953511602,0.09557099275921577,0.07040781831033553,,,0.0019341030811668627
lrc5e-5,tissuemnist,RegNetY400MF,L30_G30,3,51,0,,0,29,0,,0,244.0,110.0,180.11280000000005,142.95119999999997,106,28,0.016949,0.016949,1,-2.5316235294117657,-1.0784313725490196,0.022442194347891003,0.28285986856052403,0.5205662024909251,0.029153544072475862,0.04887269003117528,0.014620303921367591,,,0.035020940001188564
lrc5e-5,tissuemnist,RegNetY400MF,L30_G30,4,51,0,,0,29,0,,0,266.0,72.0,194.92799999999977,91.2936,87,28,0.013727,0.013727,1,-2.822117647058819,-0.7058823529411765,1.0,1.0,0.21574976068472254,0.1470719381688455,0.04982114751752727,0.19281111094021433,,,0.01661750245821012
lrc5e-5,dermmnist,RegNetY400MF,L50_G50,1,112,1,12.0,12,24,1,19.0,5,0.0,0.0,49.40825299999994,49.40825299999994,40,18,0.007695,0.006689,0,0.558854883928572,0.6428571428571429,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,1.0,6.0,0.32652468225697073
lrc5e-5,dermmnist,RegNetY400MF,L50_G50,2,112,1,14.0,14,28,1,23.0,5,0.0,0.0,44.02018300000009,44.02018300000009,33,21,0.007861,0.006642,0,0.6069626517857135,0.7053571428571429,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,7.0,0.19255267900155232
lrc5e-5,dermmnist,RegNetY400MF,L50_G50,3,112,1,15.0,10,25,1,20.0,5,0.0,0.0,56.160365999999975,56.160365999999975,47,18,0.006953,0.005999,0,0.49856816071428595,0.5803571428571429,1.0,1.0,1.0,1.0,1.0,0.8400010455739524,1.0,7.0,0.3620295803004491
lrc5e-5,dermmnist,RegNetY400MF,L50_G50,4,112,1,12.0,12,24,1,19.0,5,0.0,0.0,53.82486800000003,53.82486800000003,43,18,0.005598,0.004665,0,0.5194208214285712,0.6160714285714286,1.0,1.0,1.0,1.0,0.9999999999999999,0.9994204998189066,1.0,6.0,0.39803839361715687
lrc5e-5,octmnist,RegNetY400MF,L50_G50,1,125,1,25.0,4,29,1,28.0,1,0.0,0.0,102.94099999999995,102.94099999999995,86,26,0.011627,0.011337,0,0.17647200000000043,0.312,1.0,1.0,0.34568360620880095,0.40192455795066195,0.4560335548049432,0.38237099866818997,1.0,3.0,0.08197910817012187
lrc5e-5,octmnist,RegNetY400MF,L50_G50,2,125,1,21.0,8,29,1,24.0,5,0.0,0.0,45.53000000000007,45.53000000000007,32,21,0.007608,0.004839,0,0.6357599999999994,0.744,1.0,1.0,1.0,1.0,0.4446582278481015,0.5844343407328166,1.0,8.0,0.1264390145020568
lrc5e-5,octmnist,RegNetY400MF,L50_G50,3,125,0,,0,29,0,,0,190.0,4.0,220.62000000000006,117.80999999999999,121,28,0.01302,0.01302,1,-0.7649600000000005,0.032,0.3432892940081589,0.030794043263528015,0.2804783494316319,0.30377284113884645,0.09978868782648821,0.21250320234828612,,,0.04576490830683459
lrc5e-5,octmnist,RegNetY400MF,L50_G50,4,125,1,25.0,4,29,1,25.0,4,0.0,0.0,57.224999999999966,57.224999999999966,41,24,0.009495,0.007844,0,0.5422000000000002,0.672,1.0,1.0,0.8657497339257676,0.5707211869186102,0.5561950133880451,0.4025599139260109,1.0,5.0,0.0877994796635547
lrc5e-5,tissuemnist,RegNetY400MF,L50_G50,1,86,0,,0,29,0,,0,176.0,32.0,176.6672,116.97920000000009,102,28,0.011812,0.011812,1,-1.0542697674418606,-0.18604651162790697,0.29645571322886466,0.06507175711700933,0.00738031311205383,0.16685174298343128,0.1710012513757598,0.1497238330488619,,,0.008961848274756577
lrc5e-5,tissuemnist,RegNetY400MF,L50_G50,2,86,0,,0,29,0,,0,192.0,72.0,184.3399999999998,140.3144,122,28,0.011696,0.011696,1,-1.143488372093021,-0.4186046511627907,0.26838932681363314,0.3624864933579091,0.21821529962403163,0.08083751447317535,0.09734242292381885,0.05324777352141631,,,0.004061448728667836
lrc5e-5,tissuemnist,RegNetY400MF,L50_G50,3,86,0,,0,29,0,,0,126.0,48.0,157.49119999999996,150.8216,110,28,0.011663,0.011663,1,-0.8312930232558136,-0.27906976744186046,0.04393317876463563,0.22678974950719147,0.32466295548220675,0.1151384453752471,0.21552527084661038,0.26283898890372476,,,0.005539891556932577
lrc5e-5,tissuemnist,RegNetY400MF,L50_G50,4,86,0,,0,29,0,,0,146.0,70.0,163.39520000000013,129.0056000000002,121,28,0.010919,0.010919,1,-0.8999441860465132,-0.4069767441860465,0.30663349251574995,0.5963084112149547,0.05806931921581765,0.044833156049323065,0.12092288676783641,0.00041060714701551424,,,0.021893999543195108
