Epoch,hard,soft,lam,sat,lg,cep,dataset,model,cap,seed
25,87,86.22,0.1,0,0.608111,24,dermmnist,MobileNetV3,L30_G30,1
30,95,92.43,0.11,0,1.319855,29,dermmnist,MobileNetV3,L30_G30,1
2,140,194.07,0.05,0,0.228351,1,dermmnist,MobileNetV3,L30_G30,2
5,124,132.57,0.06,0,0.433935,4,dermmnist,MobileNetV3,L30_G30,2
6,63,66.52,0.06,1,0.0,5,dermmnist,MobileNetV3,L30_G30,2
10,123,121.68,0.06,0,0.445789,9,dermmnist,MobileNetV3,L30_G30,2
15,93,95.6,0.06,0,0.179184,14,dermmnist,MobileNetV3,L30_G30,2
20,150,153.61,0.06,0,0.689612,19,dermmnist,MobileNetV3,L30_G30,2
25,88,89.1,0.06,0,0.117437,24,dermmnist,MobileNetV3,L30_G30,2
30,92,100.96,0.06,0,0.234104,29,dermmnist,MobileNetV3,L30_G30,2
2,25,159.77,0.05,1,0.238987,1,tissuemnist,MobileNetV3,L30_G30,4
4,32,78.96,0.05,1,0.075481,3,tissuemnist,MobileNetV3,L30_G30,4
5,42,76.18,0.05,1,0.065511,4,tissuemnist,MobileNetV3,L30_G30,4
10,79,86.78,0.05,0,0.103093,9,tissuemnist,MobileNetV3,L30_G30,4
15,74,74.62,0.05,0,0.059995,14,tissuemnist,MobileNetV3,L30_G30,4
20,202,208.6,0.05,0,0.264078,19,tissuemnist,MobileNetV3,L30_G30,4
25,96,100.73,0.05,0,0.146543,24,tissuemnist,MobileNetV3,L30_G30,4
30,141,146.23,0.05,0,0.226839,29,tissuemnist,MobileNetV3,L30_G30,4
2,76,168.82,0.05,0,0.245445,1,tissuemnist,MobileNetV3,L30_G30,3
5,70,104.87,0.06,0,0.449991,4,tissuemnist,MobileNetV3,L30_G30,3
9,30,34.27,0.06,1,0.0,8,tissuemnist,MobileNetV3,L30_G30,3
10,203,194.27,0.06,0,1.582682,9,tissuemnist,MobileNetV3,L30_G30,3
15,130,136.72,0.06,0,1.317848,14,tissuemnist,MobileNetV3,L30_G30,3
17,36,42.35,0.06,1,0.0,16,tissuemnist,MobileNetV3,L30_G30,3
20,124,131.07,0.06,0,1.269769,19,tissuemnist,MobileNetV3,L30_G30,3
25,200,204.39,0.06,0,1.605872,24,tissuemnist,MobileNetV3,L30_G30,3
30,121,123.71,0.06,0,1.197136,29,tissuemnist,MobileNetV3,L30_G30,3
2,35,196.14,0.05,1,0.259524,1,tissuemnist,MobileNetV3,L30_G30,1
5,54,101.42,0.05,0,0.14842,4,tissuemnist,MobileNetV3,L30_G30,1
10,196,201.14,0.05,0,0.26146,9,tissuemnist,MobileNetV3,L30_G30,1
15,221,218.93,0.05,0,0.267241,14,tissuemnist,MobileNetV3,L30_G30,1
20,183,187.25,0.05,0,0.255658,19,tissuemnist,MobileNetV3,L30_G30,1
25,247,250.63,0.05,0,0.274509,24,tissuemnist,MobileNetV3,L30_G30,1
30,209,213.86,0.05,0,0.26575,29,tissuemnist,MobileNetV3,L30_G30,1
2,254,329.39,0.05,0,0.284141,1,tissuemnist,MobileNetV3,L30_G30,2
5,84,123.69,0.06,0,0.589346,4,tissuemnist,MobileNetV3,L30_G30,2
10,150,157.68,0.07,0,1.721177,9,tissuemnist,MobileNetV3,L30_G30,2
15,151,154.47,0.08,0,2.960571,14,tissuemnist,MobileNetV3,L30_G30,2
20,119,126.15,0.09,0,3.817742,19,tissuemnist,MobileNetV3,L30_G30,2
25,131,132.85,0.1,0,5.615342,24,tissuemnist,MobileNetV3,L30_G30,2
30,107,105.8,0.11,0,5.548628,29,tissuemnist,MobileNetV3,L30_G30,2
2,131,148.23,0.05,0,0.146719,1,octmnist,MobileNetV3,L30_G30,4
5,108,119.16,0.06,0,0.234534,4,octmnist,MobileNetV3,L30_G30,4
10,77,78.02,0.07,0,0.0059,9,octmnist,MobileNetV3,L30_G30,4
15,237,233.37,0.08,0,3.005616,14,octmnist,MobileNetV3,L30_G30,4
20,168,173.31,0.09,0,3.526014,19,octmnist,MobileNetV3,L30_G30,4
25,203,201.39,0.1,0,5.764781,24,octmnist,MobileNetV3,L30_G30,4
30,131,131.86,0.11,0,3.787772,29,octmnist,MobileNetV3,L30_G30,4
2,236,209.42,0.05,0,0.222746,1,octmnist,MobileNetV3,L30_G30,3
5,149,155.12,0.06,0,0.471465,4,octmnist,MobileNetV3,L30_G30,3
10,194,193.86,0.07,0,1.513573,9,octmnist,MobileNetV3,L30_G30,3
15,133,136.72,0.08,0,1.494588,14,octmnist,MobileNetV3,L30_G30,3
20,170,168.26,0.09,0,3.388225,19,octmnist,MobileNetV3,L30_G30,3
25,150,155.41,0.1,0,4.174198,24,octmnist,MobileNetV3,L30_G30,3
30,135,137.95,0.11,0,4.286192,29,octmnist,MobileNetV3,L30_G30,3
2,243,208.91,0.05,0,0.222351,1,octmnist,MobileNetV3,L30_G30,1
3,42,80.74,0.05,1,0.006206,2,octmnist,MobileNetV3,L30_G30,1
5,169,177.33,0.05,0,0.309973,4,octmnist,MobileNetV3,L30_G30,1
10,205,204.23,0.05,0,0.35482,9,octmnist,MobileNetV3,L30_G30,1
15,155,154.44,0.05,0,0.254287,14,octmnist,MobileNetV3,L30_G30,1
20,142,142.47,0.05,0,0.217109,19,octmnist,MobileNetV3,L30_G30,1
25,161,159.82,0.05,0,0.269104,24,octmnist,MobileNetV3,L30_G30,1
30,125,131.46,0.05,0,0.178004,29,octmnist,MobileNetV3,L30_G30,1
2,105,151.14,0.05,0,0.152073,1,octmnist,MobileNetV3,L30_G30,2
3,55,89.43,0.05,1,0.023752,2,octmnist,MobileNetV3,L30_G30,2
5,154,149.09,0.05,0,0.238375,4,octmnist,MobileNetV3,L30_G30,2
10,118,113.62,0.05,0,0.107872,9,octmnist,MobileNetV3,L30_G30,2
15,199,197.9,0.05,0,0.345865,14,octmnist,MobileNetV3,L30_G30,2
20,147,145.88,0.05,0,0.228292,19,octmnist,MobileNetV3,L30_G30,2
25,228,224.47,0.05,0,0.378416,24,octmnist,MobileNetV3,L30_G30,2
30,213,211.64,0.05,0,0.364284,29,octmnist,MobileNetV3,L30_G30,2
