dataset,model,cap,method,seed,nrows,max_ep0,ce_skip_in_cfg,path,epochs_run,dense,n_ce_off,ce_off_ep,nan_suffix,frac_ce_off,first_sat,train_acc_max,train_acc_final,tralo_would_gate
tissuemnist,RegNetY400MF,L30_G30,hounie_rcl,4,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/hounie_rcl/seed_4,29,True,0,,False,0.0,,,,
tissuemnist,RegNetY400MF,L30_G30,tralo,1,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_1,30,False,0,,False,0.0,,0.9894,0.9878,False
tissuemnist,RegNetY400MF,L30_G30,tralo,2,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_2,30,False,0,,False,0.0,,0.989,0.9861,False
tissuemnist,RegNetY400MF,L30_G30,tralo,3,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_3,30,False,0,,False,0.0,,0.9889,0.9889,False
tissuemnist,RegNetY400MF,L30_G30,tralo,4,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_4,30,False,0,,False,0.0,,0.9925,0.9854,False
dermmnist,RegNetY400MF,L50_G50,fioretto_ldf,1,20,19,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/fioretto_ldf/seed_1,20,True,6,15.0,True,0.3,16.0,,,
dermmnist,RegNetY400MF,L50_G50,fioretto_ldf,2,22,21,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/fioretto_ldf/seed_2,22,True,6,17.0,True,0.2727272727272727,18.0,,,
dermmnist,RegNetY400MF,L50_G50,fioretto_ldf,3,21,20,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/fioretto_ldf/seed_3,21,True,8,14.0,True,0.38095238095238093,17.0,,,
dermmnist,RegNetY400MF,L50_G50,fioretto_ldf,4,19,18,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/fioretto_ldf/seed_4,19,True,6,14.0,True,0.3157894736842105,15.0,,,
dermmnist,RegNetY400MF,L50_G50,hounie_rcl,1,24,23,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/hounie_rcl/seed_1,24,True,10,15.0,True,0.4166666666666667,20.0,,,
dermmnist,RegNetY400MF,L50_G50,hounie_rcl,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/hounie_rcl/seed_2,29,True,11,19.0,True,0.3793103448275862,25.0,,,
dermmnist,RegNetY400MF,L50_G50,hounie_rcl,3,26,25,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/hounie_rcl/seed_3,26,True,10,17.0,True,0.38461538461538464,22.0,,,
dermmnist,RegNetY400MF,L50_G50,hounie_rcl,4,26,25,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/hounie_rcl/seed_4,26,True,9,18.0,True,0.34615384615384615,22.0,,,
dermmnist,RegNetY400MF,L50_G50,tralo,1,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_1,30,False,0,,False,0.0,,0.9975,0.9975,True
dermmnist,RegNetY400MF,L50_G50,tralo,2,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_2,30,False,0,,False,0.0,,0.9979,0.9946,True
dermmnist,RegNetY400MF,L50_G50,tralo,3,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_3,30,False,0,,False,0.0,,0.9988,0.9988,True
dermmnist,RegNetY400MF,L50_G50,tralo,4,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_4,30,False,0,,False,0.0,,0.9974,0.9974,True
octmnist,RegNetY400MF,L50_G50,fioretto_ldf,1,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/fioretto_ldf/seed_1,29,True,0,,False,0.0,,,,
octmnist,RegNetY400MF,L50_G50,fioretto_ldf,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/fioretto_ldf/seed_2,29,True,0,,False,0.0,26.0,,,
octmnist,RegNetY400MF,L50_G50,fioretto_ldf,3,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/fioretto_ldf/seed_3,29,True,0,,False,0.0,3.0,,,
octmnist,RegNetY400MF,L50_G50,fioretto_ldf,4,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/fioretto_ldf/seed_4,29,True,0,,False,0.0,15.0,,,
octmnist,RegNetY400MF,L50_G50,hounie_rcl,1,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/hounie_rcl/seed_1,29,True,0,,False,0.0,,,,
octmnist,RegNetY400MF,L50_G50,hounie_rcl,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/hounie_rcl/seed_2,29,True,0,,False,0.0,3.0,,,
octmnist,RegNetY400MF,L50_G50,hounie_rcl,3,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/hounie_rcl/seed_3,29,True,0,,False,0.0,3.0,,,
octmnist,RegNetY400MF,L50_G50,hounie_rcl,4,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/hounie_rcl/seed_4,29,True,0,,False,0.0,,,,
octmnist,RegNetY400MF,L50_G50,tralo,1,8,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/tralo/seed_1,30,False,0,,False,0.0,16.0,0.9958,0.9958,True
octmnist,RegNetY400MF,L50_G50,tralo,2,9,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/tralo/seed_2,30,False,0,,False,0.0,7.0,0.9941,0.9928,False
octmnist,RegNetY400MF,L50_G50,tralo,3,8,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/tralo/seed_3,30,False,0,,False,0.0,4.0,0.9939,0.9939,False
octmnist,RegNetY400MF,L50_G50,tralo,4,9,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/tralo/seed_4,30,False,0,,False,0.0,8.0,0.9937,0.9937,False
tissuemnist,RegNetY400MF,L50_G50,fioretto_ldf,1,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/fioretto_ldf/seed_1,29,True,0,,False,0.0,5.0,,,
tissuemnist,RegNetY400MF,L50_G50,fioretto_ldf,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/fioretto_ldf/seed_2,29,True,0,,False,0.0,,,,
tissuemnist,RegNetY400MF,L50_G50,fioretto_ldf,3,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/fioretto_ldf/seed_3,29,True,0,,False,0.0,3.0,,,
tissuemnist,RegNetY400MF,L50_G50,fioretto_ldf,4,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/fioretto_ldf/seed_4,29,True,0,,False,0.0,,,,
tissuemnist,RegNetY400MF,L50_G50,hounie_rcl,1,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/hounie_rcl/seed_1,29,True,0,,False,0.0,,,,
tissuemnist,RegNetY400MF,L50_G50,hounie_rcl,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/hounie_rcl/seed_2,29,True,0,,False,0.0,,,,
tissuemnist,RegNetY400MF,L50_G50,hounie_rcl,3,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/hounie_rcl/seed_3,29,True,0,,False,0.0,,,,
tissuemnist,RegNetY400MF,L50_G50,hounie_rcl,4,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/hounie_rcl/seed_4,29,True,0,,False,0.0,,,,
tissuemnist,RegNetY400MF,L50_G50,tralo,1,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/tralo/seed_1,30,False,0,,False,0.0,,0.9884,0.9875,False
tissuemnist,RegNetY400MF,L50_G50,tralo,2,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/tralo/seed_2,30,False,0,,False,0.0,,0.9872,0.9864,False
tissuemnist,RegNetY400MF,L50_G50,tralo,3,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/tralo/seed_3,30,False,0,,False,0.0,,0.987,0.987,False
tissuemnist,RegNetY400MF,L50_G50,tralo,4,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/tralo/seed_4,30,False,0,,False,0.0,,0.9884,0.9884,False
