dataset,model,cap,method,seed,nrows,max_ep0,ce_skip_in_cfg,path,epochs_run,dense,n_ce_off,ce_off_ep,nan_suffix,frac_ce_off,first_sat,train_acc_max,train_acc_final,tralo_would_gate
octmnist,MobileNetV3,L30_G30,tralo,1,8,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_1,30,False,0,,False,0.0,3.0,0.9944,0.9937,False
octmnist,MobileNetV3,L30_G30,tralo,2,8,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_2,30,False,0,,False,0.0,3.0,0.9957,0.9957,True
octmnist,MobileNetV3,L30_G30,tralo,3,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_3,30,False,0,,False,0.0,,0.995,0.9945,True
octmnist,MobileNetV3,L30_G30,tralo,4,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_4,30,False,0,,False,0.0,,0.994,0.9928,False
tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,1,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_1,29,True,0,,False,0.0,1.0,,,
tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_2,29,True,0,,False,0.0,,,,
tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,3,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_3,29,True,0,,False,0.0,24.0,,,
tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,4,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_4,29,True,0,,False,0.0,1.0,,,
tissuemnist,MobileNetV3,L30_G30,hounie_rcl,1,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_1,29,True,0,,False,0.0,1.0,,,
tissuemnist,MobileNetV3,L30_G30,hounie_rcl,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_2,29,True,0,,False,0.0,,,,
tissuemnist,MobileNetV3,L30_G30,hounie_rcl,3,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_3,29,True,0,,False,0.0,,,,
tissuemnist,MobileNetV3,L30_G30,hounie_rcl,4,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_4,29,True,0,,False,0.0,1.0,,,
tissuemnist,MobileNetV3,L30_G30,tralo,1,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_1,30,False,0,,False,0.0,2.0,0.9905,0.9905,False
tissuemnist,MobileNetV3,L30_G30,tralo,2,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_2,30,False,0,,False,0.0,,0.9925,0.9893,False
tissuemnist,MobileNetV3,L30_G30,tralo,3,9,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_3,30,False,0,,False,0.0,9.0,0.9914,0.9914,False
tissuemnist,MobileNetV3,L30_G30,tralo,4,8,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_4,30,False,0,,False,0.0,2.0,0.9953,0.9953,True
dermmnist,MobileNetV3,L50_G50,fioretto_ldf,1,24,23,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_1,24,True,5,20.0,True,0.20833333333333334,14.0,,,
dermmnist,MobileNetV3,L50_G50,fioretto_ldf,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_2,29,True,15,15.0,True,0.5172413793103449,,,,
dermmnist,MobileNetV3,L50_G50,fioretto_ldf,3,20,19,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_3,20,True,6,15.0,True,0.3,16.0,,,
dermmnist,MobileNetV3,L50_G50,fioretto_ldf,4,21,20,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_4,21,True,5,17.0,True,0.23809523809523808,17.0,,,
dermmnist,MobileNetV3,L50_G50,hounie_rcl,1,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_1,29,True,18,12.0,True,0.6206896551724138,27.0,,,
dermmnist,MobileNetV3,L50_G50,hounie_rcl,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_2,29,True,7,23.0,True,0.2413793103448276,26.0,,,
dermmnist,MobileNetV3,L50_G50,hounie_rcl,3,25,24,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_3,25,True,11,15.0,True,0.44,21.0,,,
dermmnist,MobileNetV3,L50_G50,hounie_rcl,4,28,27,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_4,28,True,15,14.0,True,0.5357142857142857,8.0,,,
dermmnist,MobileNetV3,L50_G50,tralo,1,13,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_1,30,False,0,,False,0.0,4.0,0.9988,0.9988,True
dermmnist,MobileNetV3,L50_G50,tralo,2,16,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_2,30,False,0,,False,0.0,3.0,0.9989,0.9989,True
dermmnist,MobileNetV3,L50_G50,tralo,3,11,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_3,30,False,0,,False,0.0,10.0,0.999,0.9951,True
dermmnist,MobileNetV3,L50_G50,tralo,4,14,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_4,30,False,0,,False,0.0,4.0,0.9981,0.9979,True
octmnist,MobileNetV3,L50_G50,fioretto_ldf,1,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_1,29,True,0,,False,0.0,2.0,,,
octmnist,MobileNetV3,L50_G50,fioretto_ldf,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_2,29,True,4,26.0,True,0.13793103448275862,2.0,,,
octmnist,MobileNetV3,L50_G50,fioretto_ldf,3,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_3,29,True,0,,False,0.0,26.0,,,
octmnist,MobileNetV3,L50_G50,fioretto_ldf,4,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_4,29,True,4,26.0,True,0.13793103448275862,5.0,,,
