dataset,model,cap,seed,method,K,N,ntrue,epochs,last_epoch,ce_skip_cfg,ce_off_ep,n_ce_off,ce_min,first_sat,n_sat,sat_flips,exc0,exc_min,exc_final,exc_trend_all,exc_trend_ce_on,exc_trend_ce_off,raw_count,u_recursion_maxerr,lam0,lam_max,lam_final,lam_peak_ep,lam_decaying_eps,u_max,Uloc_max,soft0,soft_min,soft_final,soft_min_over_K,soft_final_over_K,n_ep_soft_below_K,soft_trend_ce_on,soft_trend_ce_off,soft_at_sat,soft_drop_after_sat,cstr_loss_max
dermmnist,MobileNetV3,L30_G30,1,hounie_rcl,67,2003,223,28,28,UNSET->default True,14.0,15,0.014467,24.0,5,0,158.0,0.0,0.0,-0.846167916091372,0.21978021978021978,-0.9819805060619657,16,6.800000000000003e-07,0.000592,0.009394,0.008383,21,7,0.000444,0.0008415200532369981,185.5776,21.013123000000036,21.013123000000036,0.31362870149253785,0.31362870149253785,7,0.016483516483516484,-1.0,44.44221400000019,23.429091000000156,0.003354
dermmnist,MobileNetV3,L30_G30,2,hounie_rcl,67,2003,223,29,29,UNSET->default True,19.0,11,0.009493,25.0,5,0,146.0,0.0,0.0,-0.7593555591965501,-0.20237483337080436,-0.9534625892455922,28,8.499999999999936e-07,0.000634,0.011174,0.010493,23,6,0.000531,0.0010136646388229195,193.99020000000002,30.407193000000213,30.407193000000213,0.45383870149254046,0.45383870149254046,6,-0.43859649122807015,-1.0,55.010041999999835,24.602848999999622,0.004445
dermmnist,MobileNetV3,L30_G30,3,hounie_rcl,67,2003,223,22,22,UNSET->default True,11.0,12,0.01185,18.0,5,0,402.0,0.0,0.0,-0.9670797606342508,-0.709090909090909,-0.9644013324700096,18,8.100000000000007e-07,0.00109,0.008803,0.008004,16,6,0.00041,0.0007994992182610312,285.327,23.354630000000007,23.354630000000007,0.34857656716417923,0.34857656716417923,6,-0.7939393939393938,-1.0,52.564379000000066,29.20974900000006,0.002744
dermmnist,MobileNetV3,L30_G30,4,hounie_rcl,67,2003,223,27,27,UNSET->default True,15.0,13,0.014885,23.0,5,0,214.0,0.0,0.0,-0.6638117463831124,-0.06380641924868087,-0.9721393650372074,25,7.60000000000013e-07,0.000722,0.01171,0.011174,22,5,0.000553,0.0010958060959859641,211.6166,30.847852999999915,30.847852999999915,0.4604157164179092,0.4604157164179092,5,-0.27472527472527475,-1.0,64.42814799999987,33.58029499999995,0.004767
octmnist,MobileNetV3,L30_G30,1,hounie_rcl,75,1000,250,29,29,UNSET->default True,29.0,1,0.010153,,0,0,335.0,5.0,207.0,0.10746860221926138,0.07559575271835975,,78,7.300000000000015e-07,0.001339,0.025465,0.025465,29,0,0.00109,0.0018740064034042147,208.89999999999998,108.81300000000002,180.04400000000027,1.4508400000000001,2.4005866666666704,0,0.04980842911877395,,,,0.017408
octmnist,MobileNetV3,L30_G30,2,hounie_rcl,75,1000,250,29,29,UNSET->default True,29.0,1,0.006107,,0,0,59.0,15.0,123.0,0.10247567512142575,0.12645408630805277,,83,8.300000000000039e-07,0.000761,0.022407,0.022407,29,0,0.000981,0.0016845293111133447,151.1,103.37799999999974,141.7459999999999,1.37837333333333,1.8899466666666653,0,0.0240831964969896,,,,0.013575
octmnist,MobileNetV3,L30_G30,3,hounie_rcl,75,1000,250,29,29,UNSET->default True,,0,0.012929,,0,0,321.0,33.0,209.0,-0.13747228798577382,-0.13747228798577382,,92,8.000000000000194e-07,0.001344,0.024806,0.024806,29,0,0.001087,0.001875748117418754,209.4,91.94299999999996,182.6490000000001,1.225906666666666,2.4353200000000013,0,-0.16059113300492608,,,,0.018011
octmnist,MobileNetV3,L30_G30,4,hounie_rcl,75,1000,250,29,29,UNSET->default True,28.0,2,0.008975,,0,0,111.0,41.0,139.0,0.2808227635539072,0.33155243860563016,,92,7.199999999999524e-07,0.000732,0.027011,0.027011,29,0,0.001155,0.0019662082799133973,148.2,106.43799999999983,144.2060000000001,1.4191733333333312,1.922746666666668,0,0.21855921855921853,,,,0.019859
tissuemnist,MobileNetV3,L30_G30,1,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.017452,1.0,1,1,0.0,0.0,226.0,0.3039408866995073,0.3039408866995073,,35,4.39999999999989e-07,0.000605,0.018077,0.018077,29,0,0.000787,0.001131649680775813,196.2,83.24399999999991,163.4591999999999,1.6322352941176455,3.2050823529411745,0,0.05763546798029554,,196.2,32.74080000000009,0.00556
tissuemnist,MobileNetV3,L30_G30,2,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.017067,,0,0,406.0,58.0,184.0,-0.3308289223271028,-0.3308289223271028,,80,7.699999999999808e-07,0.00116,0.017967,0.017967,29,0,0.000806,0.0011620516339646877,329.4,78.69839999999999,146.47920000000033,1.543105882352941,2.8721411764705946,0,-0.42167487684729055,,,,0.005656
tissuemnist,MobileNetV3,L30_G30,3,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.019409,,0,0,50.0,4.0,168.0,0.20492610837438419,0.20492610837438419,,53,8.100000000000075e-07,0.000491,0.012733,0.012733,29,0,0.000564,0.0008257747876994066,168.83999999999997,64.41599999999976,132.23039999999997,1.263058823529407,2.59275294117647,0,-0.05517241379310344,,,,0.002923
