dataset,model,cap,seed,dir,K,budget,warm,cep,last_ep,n_rows,truncated,n_sat,n_gsat,ever_sat,first_sat,last_sat,r_last,r_min,r_max,r_first,cnt_last,cnt_min,cross,cross_grid,swing_all,swing_grid,above_all,above_grid,n_grid,lam_last,lam_first,ce_last,ce_first,soft_last,raw_cnt,sat_ep_ev,best_sat_ep,min_exc_ep,min_exc,restored_ep,restore_kind,raw_exc,flips,raw_all_sat,unspent
octmnist,MobileNetV3,L50_G50,1,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_1,125.0,30,1,29,30.0,11,0,4,5,1,3.0,28.0,0.96,0.424,1.944,1.944,120.0,53.0,7,1,0.42960000000000004,0.1776,0.5454545454545454,0.8333333333333334,6,0.05,0.05,0.029405,0.410681,123.07,103,3.0,28.0,3.0,0.0,,nan,0.0,22.0,1.0,22.0
octmnist,MobileNetV3,L50_G50,2,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_2,125.0,30,1,29,30.0,12,0,7,9,1,3.0,22.0,1.304,0.376,1.44,0.84,163.0,47.0,3,3,0.26036363636363635,0.2896,0.25,0.5,6,0.05,0.05,0.013689,0.414535,163.92,99,3.0,22.0,3.0,0.0,22.0,fully_satisfied,0.0,26.0,1.0,26.0
octmnist,MobileNetV3,L50_G50,3,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_3,125.0,30,1,29,30.0,11,0,5,5,1,8.0,26.0,1.144,0.856,1.888,1.888,143.0,107.0,8,2,0.5384,0.3952,0.5454545454545454,0.8333333333333334,6,0.06,0.05,0.00991,0.402271,137.74,108,8.0,26.0,8.0,0.0,26.0,fully_satisfied,0.0,17.0,1.0,17.0
octmnist,MobileNetV3,L50_G50,4,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_4,125.0,30,1,29,30.0,9,0,3,3,1,5.0,14.0,1.344,0.608,2.24,1.048,168.0,76.0,4,1,0.559,0.5824,0.6666666666666666,0.8333333333333334,6,0.06,0.05,0.016336,0.407532,169.97,122,5.0,14.0,5.0,0.0,14.0,fully_satisfied,0.0,3.0,1.0,3.0
tissuemnist,MobileNetV3,L50_G50,1,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_1,86.0,30,1,29,30.0,7,0,2,2,1,2.0,5.0,1.186046511627907,0.4069767441860465,2.988372093023256,0.4069767441860465,102.0,35.0,1,1,0.9903100775193799,1.1627906976744187,0.7142857142857143,0.8333333333333334,6,0.05,0.05,0.01362,1.102201,106.41,46,2.0,5.0,2.0,0.0,5.0,fully_satisfied,0.0,40.0,1.0,40.0
tissuemnist,MobileNetV3,L50_G50,2,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_2,86.0,30,1,29,30.0,8,0,2,2,1,5.0,28.0,1.1046511627906976,0.6744186046511628,3.488372093023256,2.953488372093023,95.0,58.0,4,1,1.1445182724252492,1.0069767441860464,0.75,0.8333333333333334,6,0.06,0.05,0.020682,1.096688,97.96,58,5.0,28.0,5.0,0.0,28.0,fully_satisfied,0.0,28.0,1.0,28.0
tissuemnist,MobileNetV3,L50_G50,3,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_3,86.0,30,1,29,5.0,4,1,4,4,1,2.0,5.0,0.5813953488372093,0.5813953488372093,0.8837209302325582,0.8837209302325582,50.0,50.0,0,0,0.10077519379844961,,0.0,0.0,1,0.05,0.05,0.577662,1.07426,98.0,63,2.0,6.0,2.0,0.0,,nan,0.0,23.0,1.0,23.0
tissuemnist,MobileNetV3,L50_G50,4,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_4,86.0,30,1,29,30.0,9,0,5,5,1,2.0,15.0,1.197674418604651,0.29069767441860467,1.430232558139535,0.29069767441860467,103.0,25.0,3,3,0.29941860465116277,0.3511627906976744,0.4444444444444444,0.6666666666666666,6,0.05,0.05,0.018242,1.088043,111.44,68,2.0,15.0,2.0,0.0,15.0,fully_satisfied,0.0,18.0,1.0,18.0
dermmnist,RegNetY400MF,L30_G30,1,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_1,67.0,30,1,29,30.0,7,0,0,0,0,,,2.253731343283582,2.253731343283582,3.3582089552238807,3.3134328358208953,151.0,151.0,0,0,0.3706467661691542,0.3582089552238806,1.0,1.0,6,0.11,0.05,0.004035,0.469585,156.51,124,,,7.0,156.0,,nan,114.0,57.0,0.0,-57.0
dermmnist,RegNetY400MF,L30_G30,2,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_2,67.0,30,1,29,30.0,7,0,0,0,0,,,2.8805970149253732,2.2686567164179103,3.253731343283582,2.5671641791044775,193.0,152.0,0,0,0.27611940298507465,0.2716417910447761,1.0,1.0,6,0.11,0.05,0.007726,0.497525,199.7,152,,,5.0,170.0,5.0,min_excess,170.0,85.0,0.0,-85.0
dermmnist,RegNetY400MF,L30_G30,3,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_3,67.0,30,1,29,30.0,7,0,0,0,0,,,2.791044776119403,2.1343283582089554,4.582089552238806,4.582089552238806,187.0,143.0,0,0,0.5422885572139304,0.2865671641791045,1.0,1.0,6,0.11,0.05,0.010555,0.486292,189.88,96,,,4.0,58.0,4.0,min_excess,58.0,31.0,0.0,-29.0
dermmnist,RegNetY400MF,L30_G30,4,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_4,67.0,30,1,29,30.0,7,0,0,0,0,,,1.3432835820895523,1.3432835820895523,3.044776119402985,2.656716417910448,90.0,90.0,0,0,0.6567164179104478,0.6029850746268657,1.0,1.0,6,0.11,0.05,0.015794,0.450824,91.46,90,,,30.0,46.0,,nan,46.0,23.0,0.0,-23.0
octmnist,RegNetY400MF,L30_G30,1,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_1,75.0,30,1,29,30.0,7,0,0,0,0,,,2.12,1.8666666666666667,2.84,1.8933333333333333,159.0,140.0,0,0,0.5844444444444444,0.5226666666666667,1.0,1.0,6,0.11,0.05,0.020307,0.453289,166.75,121,,,24.0,91.0,24.0,min_excess,91.0,46.0,0.0,-46.0
octmnist,RegNetY400MF,L30_G30,2,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_2,75.0,30,1,29,30.0,7,0,0,0,0,,,1.9466666666666668,1.72,3.2133333333333334,2.44,146.0,129.0,0,0,0.54,0.5973333333333333,1.0,1.0,6,0.11,0.05,0.020363,0.451029,147.68,124,,,29.0,97.0,29.0,min_excess,97.0,49.0,0.0,-49.0
