campaign,dataset,cap,model,seed,method,sweep,arm,warmup,cepochs,lr,lr_c,ce_skip,K,count_raw,count_adj,sat,AP,ccF1adj,ccF1eq,macroAdj,macroEq,path
results/pending_runs/paper_backbones,aider,L20_G20,MobileNetV2,4,hounie_rcl,,,50,300,0.0001,5e-06,,20,0,20,0,0.5658821390098887,0.29508196721311475,0.29508196721311475,0.7721868615095587,0.7721868615095587,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/hounie_rcl/seed_4
results/pending_runs/paper_backbones,aider,L20_G20,MobileNetV2,3,hounie_rcl,,,50,300,0.0001,5e-06,,20,1,20,0,0.34068277117187246,0.2459016393442623,0.2459016393442623,0.7660981092877276,0.7660981092877276,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/hounie_rcl/seed_3
results/pending_runs/paper_backbones,aider,L20_G20,MobileNetV2,1,hounie_rcl,,,50,300,0.0001,5e-06,,20,0,20,0,0.22598823113575833,0.16393442622950818,0.16393442622950818,0.7076925642035821,0.7076925642035821,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/hounie_rcl/seed_1
results/pending_runs/paper_backbones,aider,L20_G20,MobileNetV2,2,hounie_rcl,,,50,300,0.0001,5e-06,,20,0,20,0,0.5353603184440169,0.3114754098360656,0.3114754098360656,0.7850832605280457,0.7850832605280457,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/hounie_rcl/seed_2
results/pending_runs/paper_backbones,aider,L20_G20,MobileNetV2,4,tralo,,,50,300,0.0001,5e-06,True,20,18,20,0,0.8919284558614164,0.32786885245901637,0.32786885245901637,0.7896897439663992,0.7896897439663992,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/tralo/seed_4
results/pending_runs/paper_backbones,aider,L20_G20,MobileNetV2,3,tralo,,,50,300,0.0001,5e-06,True,20,14,20,0,0.8179947983893261,0.32786885245901637,0.32786885245901637,0.7944844362202125,0.7944844362202125,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/tralo/seed_3
results/pending_runs/paper_backbones,aider,L20_G20,MobileNetV2,1,tralo,,,50,300,0.0001,5e-06,True,20,18,20,0,0.8079118402931407,0.32786885245901637,0.32786885245901637,0.7741452237259226,0.7741452237259226,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/tralo/seed_1
results/pending_runs/paper_backbones,aider,L20_G20,MobileNetV2,2,tralo,,,50,300,0.0001,5e-06,True,20,17,20,0,0.8478228965682602,0.32786885245901637,0.32786885245901637,0.7942237931108946,0.7942237931108946,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/tralo/seed_2
results/pending_runs/paper_backbones,aider,L20_G20,MobileNetV2,4,danits_lp,,,50,300,0.0001,5e-06,,20,100,20,0,0.9912407856859365,0.32786885245901637,0.32786885245901637,0.7997505028434703,0.7997505028434703,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/danits_lp/seed_4
results/pending_runs/paper_backbones,aider,L20_G20,MobileNetV2,3,danits_lp,,,50,300,0.0001,5e-06,,20,98,20,0,0.9938725234734405,0.32786885245901637,0.32786885245901637,0.7846396999435479,0.7846396999435479,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/danits_lp/seed_3
