path,dataset,model,cap,method,seed,NCE,max_e_logged,rows,E_lit,maxrun_lit,n_sat_lit,E_inf,maxrun_inf,n_sat_inf,inferred_tail,early_stop,first_sat,sat_epoch_csv,final_sat_csv,flips,enable_ce_skip_cfg,n_sat_epochs_logged,sat_epochs_with_CE_off,sat_epochs_with_zero_cstr,sat_epochs_fully_frozen,ce_skip_first_e,cnt_min,cnt_max
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_1,dermmnist,RegNetY400MF,L30_G30,tralo,1,29,29,12,29,4,7,29,4,7,False,False,16.0,17.0,1.0,45.0,True,7,0,7,0,,17.0,449.0
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_2,dermmnist,RegNetY400MF,L30_G30,tralo,2,29,24,11,24,4,6,25,5,7,True,True,16.0,17.0,1.0,30.0,True,6,0,6,0,,13.0,376.0
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_3,dermmnist,RegNetY400MF,L30_G30,tralo,3,29,29,14,29,3,7,29,3,7,False,False,15.0,16.0,1.0,10.0,True,7,0,7,0,,38.0,251.0
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_4,dermmnist,RegNetY400MF,L30_G30,tralo,4,29,26,10,26,4,6,27,5,7,True,True,18.0,19.0,1.0,3.0,True,6,0,6,0,,26.0,182.0
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_1,octmnist,RegNetY400MF,L30_G30,fioretto_ldf,1,29,29,29,29,1,1,29,1,1,False,False,29.0,29.0,1.0,0.0,ABSENT->default True,1,1,1,1,25.0,,
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_2,octmnist,RegNetY400MF,L30_G30,fioretto_ldf,2,29,29,29,29,0,0,29,0,0,False,False,,,0.0,60.0,ABSENT->default True,0,0,0,0,29.0,,
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_3,octmnist,RegNetY400MF,L30_G30,fioretto_ldf,3,29,29,29,29,0,0,29,0,0,False,False,,,0.0,53.0,ABSENT->default True,0,0,0,0,29.0,,
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_4,octmnist,RegNetY400MF,L30_G30,fioretto_ldf,4,29,29,29,29,3,3,29,3,3,False,False,27.0,27.0,1.0,0.0,ABSENT->default True,3,3,3,3,22.0,,
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_1,octmnist,RegNetY400MF,L30_G30,hounie_rcl,1,29,29,29,29,2,2,29,2,2,False,False,28.0,28.0,1.0,0.0,ABSENT->default True,2,2,0,0,23.0,,
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_2,octmnist,RegNetY400MF,L30_G30,hounie_rcl,2,29,29,29,29,0,0,29,0,0,False,False,,,0.0,37.0,ABSENT->default True,0,0,0,0,29.0,,
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_3,octmnist,RegNetY400MF,L30_G30,hounie_rcl,3,29,29,29,29,0,0,29,0,0,False,False,,,0.0,13.0,ABSENT->default True,0,0,0,0,26.0,,
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_4,octmnist,RegNetY400MF,L30_G30,hounie_rcl,4,29,29,29,29,5,5,29,5,5,False,False,25.0,25.0,1.0,0.0,ABSENT->default True,5,5,0,0,21.0,,
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_1,octmnist,RegNetY400MF,L30_G30,tralo,1,29,29,8,29,2,2,29,2,2,False,False,28.0,29.0,1.0,0.0,True,2,0,2,0,,43.0,197.0
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_2,octmnist,RegNetY400MF,L30_G30,tralo,2,29,29,7,29,1,1,29,1,1,False,False,29.0,30.0,1.0,0.0,True,1,0,1,0,,66.0,198.0
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_3,octmnist,RegNetY400MF,L30_G30,tralo,3,29,29,7,29,0,0,29,0,0,False,False,,,0.0,43.0,True,0,0,0,0,,118.0,192.0
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_4,octmnist,RegNetY400MF,L30_G30,tralo,4,29,29,7,29,0,0,29,0,0,False,False,,,0.0,55.0,True,0,0,0,0,,150.0,196.0
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/tissuemnist/L30_G30/fioretto_ldf/seed_1,tissuemnist,RegNetY400MF,L30_G30,fioretto_ldf,1,29,29,29,29,0,0,29,0,0,False,False,,,0.0,71.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/tissuemnist/L30_G30/fioretto_ldf/seed_2,tissuemnist,RegNetY400MF,L30_G30,fioretto_ldf,2,29,29,29,29,0,0,29,0,0,False,False,,,0.0,75.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/tissuemnist/L30_G30/fioretto_ldf/seed_3,tissuemnist,RegNetY400MF,L30_G30,fioretto_ldf,3,29,29,29,29,0,0,29,0,0,False,False,,,0.0,46.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/tissuemnist/L30_G30/fioretto_ldf/seed_4,tissuemnist,RegNetY400MF,L30_G30,fioretto_ldf,4,29,29,29,29,0,0,29,0,0,False,False,,,0.0,56.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/tissuemnist/L30_G30/hounie_rcl/seed_1,tissuemnist,RegNetY400MF,L30_G30,hounie_rcl,1,29,29,29,29,0,0,29,0,0,False,False,,,0.0,42.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/tissuemnist/L30_G30/hounie_rcl/seed_2,tissuemnist,RegNetY400MF,L30_G30,hounie_rcl,2,29,29,29,29,0,0,29,0,0,False,False,,,0.0,83.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/tissuemnist/L30_G30/hounie_rcl/seed_3,tissuemnist,RegNetY400MF,L30_G30,hounie_rcl,3,29,29,29,29,0,0,29,0,0,False,False,,,0.0,55.0,ABSENT->default True,0,0,0,0,,,
