dataset,cap,model,seed,method,ep_max,warmup,cep,K,taken,count_raw,AP,ccF1adj,ccF1eq,macroEq,placeboF1,placeboAcc,path
tissuemnist,L50_G50,MobileNetV3,2,tralo,30.0,1,29,86,86,58,0.42791533550486804,0.38910505836575876,0.38910505836575876,0.4118772349360842,0.43692821962876144,0.566621803499327,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_2
tissuemnist,L50_G50,MobileNetV3,4,fioretto_ldf,28.0,1,29,86,86,77,0.3111756289946287,0.3035019455252918,0.31906614785992216,0.36955405373449907,0.40099028088785005,0.5495737999102737,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_4
tissuemnist,L50_G50,MobileNetV3,3,fioretto_ldf,28.0,1,29,86,86,66,0.34349446917416493,0.3035019455252918,0.311284046692607,0.3775104919125395,0.4129359022575444,0.5406011664423508,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_3
tissuemnist,L50_G50,MobileNetV3,1,fioretto_ldf,28.0,1,29,86,86,61,0.28715025236541913,0.29571984435797666,0.29571984435797666,0.4086211436538096,0.4491876236661749,0.5778375953342306,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_1
tissuemnist,L50_G50,MobileNetV3,2,fioretto_ldf,28.0,1,29,86,86,83,0.3616882355063031,0.3424124513618677,0.3424124513618677,0.38541431936783027,0.40949701602932403,0.4952893674293405,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_2
octmnist,L50_G50,MobileNetV3,4,hounie_rcl,28.0,1,29,125,125,64,0.8223765465515465,0.6186666666666667,0.6186666666666667,0.7865658664129185,0.9179213697453009,0.9173333333333333,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_4
octmnist,L50_G50,MobileNetV3,3,hounie_rcl,28.0,1,29,125,125,86,0.7534063613721464,0.5706666666666667,0.5706666666666667,0.73790534964568,0.8799641554027519,0.88,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_3
octmnist,L50_G50,MobileNetV3,1,hounie_rcl,28.0,1,29,125,125,96,0.7869481365119021,0.5973333333333334,0.5973333333333334,0.7278064789015896,0.8525491182667456,0.8506666666666667,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_1
octmnist,L50_G50,MobileNetV3,2,hounie_rcl,28.0,1,29,125,125,113,0.8264072779293988,0.6133333333333333,0.6133333333333333,0.7766215903763518,0.9085108429871327,0.908,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_2
octmnist,L50_G50,MobileNetV3,4,tralo,30.0,1,29,125,125,122,0.8286873641921993,0.6133333333333333,0.608,0.7851120818260916,0.9251833597371354,0.9253333333333333,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_4
