path,dataset,model,cap,method,seed,warmup,cepochs,sct,ce_skip_cfg,n_rows,n_repeat_hdr,max_e,first_e,E,inferred_tail,n_sat,first_sat,n_down,held_tail,n_local_groups,ex_first,ex_min,sat_epoch_csv,sat_epoch_present,sat_epoch_raw,min_total_excess,min_excess_epoch,best_sat_epoch,restored_from,off_sched_unsat,off_sched_sat,missing_sched,obs_frac
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_2,octmnist,MobileNetV3,L30_G30,tralo,2,1,29,ABSENT(5),False,8,0,29,1,29,False,1,2.0,1,False,3.0,59.0,0.0,3.0,True,3,0.0,3.0,,3.0,0,1,0,0.27586206896551724
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_3,octmnist,MobileNetV3,L30_G30,tralo,3,1,29,ABSENT(5),False,7,0,29,1,29,False,0,,0,False,3.0,321.0,115.0,,True,,4.0,12.0,,12.0,0,0,0,0.2413793103448276
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_4,octmnist,MobileNetV3,L30_G30,tralo,4,1,29,ABSENT(5),False,7,0,29,1,29,False,0,,0,False,3.0,111.0,8.0,,True,,8.0,10.0,,10.0,0,0,0,0.2413793103448276
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_1,tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,1,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,1,1.0,1,False,,0.0,0.0,1.0,True,1,0.0,1.0,,1.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_2,tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,2,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,0,,0,False,,406.0,9.0,,True,,9.0,11.0,,11.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_3,tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,3,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,1,24.0,1,False,,50.0,0.0,24.0,True,24,0.0,24.0,,24.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_4,tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,4,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,3,1.0,1,False,,0.0,0.0,1.0,True,1,0.0,1.0,,3.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_1,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,1,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,1,1.0,1,False,,0.0,0.0,1.0,True,1,0.0,1.0,,1.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_2,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,2,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,0,,0,False,,406.0,58.0,,True,,58.0,17.0,,17.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_3,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,3,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,0,,0,False,,50.0,4.0,,True,,4.0,3.0,,3.0,0,0,0,1.0
