method,dataset,backbone,cap,seed,ce_skip,max_epoch,n_rows,n_nan,first_nan,ce_col,missing
tralo,tissuemnist,RegNetY400MF,L30_G30,3,False,30.0,7,0,,L_CE,False
tralo,tissuemnist,RegNetY400MF,L30_G30,1,False,30.0,7,0,,L_CE,False
tralo,tissuemnist,RegNetY400MF,L30_G30,2,False,30.0,7,0,,L_CE,False
fioretto_ldf,tissuemnist,RegNetY400MF,L30_G30,4,UNSET,28.0,29,0,,ce_loss,False
fioretto_ldf,tissuemnist,RegNetY400MF,L30_G30,3,UNSET,28.0,29,0,,ce_loss,False
fioretto_ldf,tissuemnist,RegNetY400MF,L30_G30,1,UNSET,28.0,29,0,,ce_loss,False
fioretto_ldf,tissuemnist,RegNetY400MF,L30_G30,2,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,octmnist,RegNetY400MF,L30_G30,4,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,octmnist,RegNetY400MF,L30_G30,3,UNSET,28.0,29,1,28.0,ce_loss,False
hounie_rcl,octmnist,RegNetY400MF,L30_G30,1,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,octmnist,RegNetY400MF,L30_G30,2,UNSET,28.0,29,1,28.0,ce_loss,False
tralo,octmnist,RegNetY400MF,L30_G30,4,False,30.0,7,0,,L_CE,False
tralo,octmnist,RegNetY400MF,L30_G30,3,False,30.0,7,0,,L_CE,False
tralo,octmnist,RegNetY400MF,L30_G30,1,False,30.0,7,0,,L_CE,False
tralo,octmnist,RegNetY400MF,L30_G30,2,False,30.0,7,0,,L_CE,False
fioretto_ldf,octmnist,RegNetY400MF,L30_G30,4,UNSET,28.0,29,0,,ce_loss,False
fioretto_ldf,octmnist,RegNetY400MF,L30_G30,3,UNSET,28.0,29,0,,ce_loss,False
fioretto_ldf,octmnist,RegNetY400MF,L30_G30,1,UNSET,28.0,29,0,,ce_loss,False
fioretto_ldf,octmnist,RegNetY400MF,L30_G30,2,UNSET,28.0,29,3,26.0,ce_loss,False
hounie_rcl,dermmnist,RegNetY400MF,L50_G50,4,UNSET,25.0,26,9,17.0,ce_loss,False
