Metric,Value
Overall Accuracy,0.6719
""
Macro Averaged Metrics,
Precision (Macro),0.6425
Recall (Macro),0.5400
F1-Score (Macro),0.5439
""
Weighted Averaged Metrics,
Precision (Weighted),0.6831
Recall (Weighted),0.6719
F1-Score (Weighted),0.6309
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9014,0.4539,0.6038,141
Enrolled,0.3684,0.1750,0.2373,80
Graduate,0.6577,0.9910,0.7906,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,64,22,55
Enrolled,7,14,59
Graduate,0,2,219
