epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lam_g,max_u_g,h_u
0,0.008991,0.0,262,0,0.000649,6e-06,0.0
1,0.003481,0.0003,288,0,0.001367,1.9e-05,0.0
2,nan,0.000619,286,0,0.002082,3.6e-05,0.0
3,nan,0.000934,286,0,0.002794,5.7e-05,0.0
4,nan,0.001245,284,0,0.003502,8e-05,0.0
5,nan,0.001551,280,0,0.004205,0.000106,1e-06
6,nan,0.001846,280,0,0.004902,0.000134,1e-06
7,nan,0.002129,276,0,0.005591,0.000163,1e-06
8,nan,0.002397,276,0,0.006271,0.000193,2e-06
9,nan,0.002654,264,0,0.006939,0.000224,2e-06
10,nan,0.002886,264,0,0.007594,0.000255,3e-06
11,nan,0.003092,254,0,0.008233,0.000286,4e-06
12,nan,0.003275,250,0,0.008855,0.000318,5e-06
13,nan,0.00343,242,0,0.009457,0.000349,6e-06
14,nan,0.003548,236,0,0.010038,0.000379,7e-06
15,nan,0.003644,224,0,0.010596,0.000409,8e-06
16,nan,0.003708,208,0,0.011129,0.000439,9e-06
17,nan,0.003739,194,0,0.011637,0.000467,1e-05
18,nan,0.003743,184,0,0.01212,0.000495,1.1e-05
19,nan,0.003724,182,0,0.012575,0.000522,1.3e-05
20,nan,0.003679,172,0,0.013004,0.000548,1.4e-05
21,nan,0.003629,160,0,0.013407,0.000572,1.5e-05
22,nan,0.003565,152,0,0.013784,0.000596,1.6e-05
23,nan,0.003491,144,0,0.014137,0.000618,1.7e-05
24,nan,0.00342,130,0,0.014465,0.000639,1.9e-05
25,nan,0.003346,126,0,0.01477,0.000659,2e-05
26,nan,0.003271,112,0,0.015053,0.000678,2.1e-05
27,nan,0.003202,112,0,0.015315,0.000695,2.2e-05
28,nan,0.003132,96,0,0.015559,0.000712,2.3e-05
29,nan,0.003057,84,0,0.015783,0.000727,2.4e-05
30,nan,0.002993,78,0,0.015991,0.000742,2.4e-05
31,nan,0.002926,74,0,0.016183,0.000755,2.5e-05
32,nan,0.00286,66,0,0.01636,0.000768,2.6e-05
33,nan,0.002796,60,0,0.016523,0.000779,2.7e-05
34,nan,0.002735,58,0,0.016673,0.00079,2.7e-05
35,nan,0.002676,54,0,0.016812,0.0008,2.8e-05
36,nan,0.002611,52,0,0.016938,0.00081,2.9e-05
37,nan,0.002549,48,0,0.017054,0.000818,2.9e-05
38,nan,0.002487,44,0,0.017158,0.000826,3e-05
39,nan,0.002426,40,0,0.017252,0.000833,3e-05
40,nan,0.002356,38,0,0.017336,0.00084,3.1e-05
41,nan,0.002284,34,0,0.01741,0.000846,3.1e-05
42,nan,0.002206,34,0,0.017474,0.000852,3.1e-05
43,nan,0.002129,26,0,0.017528,0.000857,3.2e-05
44,nan,0.002041,25,0,0.017571,0.000861,3.2e-05
45,nan,0.001955,22,0,0.017604,0.000865,3.2e-05
46,nan,0.001871,14,0,0.017627,0.000868,3.2e-05
47,nan,0.001781,12,0,0.017639,0.000871,3.2e-05
48,nan,0.001698,2,0,0.017641,0.000873,3.2e-05
49,nan,0.001622,2,0,0.017633,0.000875,3.2e-05
50,nan,0.001545,1,0,0.017616,0.000876,3.2e-05
51,nan,0.001474,0,1,0.017589,0.000877,3.2e-05
52,nan,0.00141,0,1,0.017555,0.000877,3.2e-05
53,nan,0.001349,0,1,0.017512,0.000877,3.2e-05
54,nan,0.001293,0,1,0.017462,0.000876,3.2e-05
55,nan,0.001239,0,1,0.017405,0.000875,3.2e-05
