Metric,Value
Overall Accuracy,0.5407
""
Macro Averaged Metrics,
Precision (Macro),0.4746
Recall (Macro),0.3756
F1-Score (Macro),0.3032
""
Weighted Averaged Metrics,
Precision (Weighted),0.5510
Recall (Weighted),0.5407
F1-Score (Weighted),0.4151
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9000,0.1268,0.2222,142
Enrolled,0.0000,0.0000,0.0000,79
Graduate,0.5237,1.0000,0.6874,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,18,0,124
Enrolled,2,0,77
Graduate,0,0,221
