backbone,dataset,constraint_tag,method,n_seeds,macro_f1_mean,macro_f1_std,flips_mean,flips_std,accuracy_mean,satisfied_pct
ResNet18,dermmnist,L70_G70,tralo_bounded,4,0.77125,0.013223,15.25,6.6849,0.864075,100.0
ResNet18,dermmnist,L70_G70,fioretto_ldf,4,0.770175,0.012018,18.0,9.4868,0.864325,100.0
ResNet18,dermmnist,L70_G70,hounie_rcl,4,0.76965,0.011363,17.75,12.696,0.8637,100.0
ResNet18,dermmnist,L70_G70,danits_lp,4,0.736525,0.034882,10.75,8.6422,0.848875,25.0
ResNet18,dermmnist,L70_G70,heuristic,4,0.73815,0.03609,15.5,5.0249,0.8496,25.0
ResNet18,dermmnist,L80_G80,tralo,4,0.769725,0.012195,11.5,8.9861,0.863575,100.0
ResNet18,dermmnist,L80_G80,tralo_bounded,4,0.773025,0.010994,17.25,7.7902,0.864825,100.0
ResNet18,dermmnist,L80_G80,fioretto_ldf,4,0.774475,0.010741,25.5,8.5294,0.8652,100.0
ResNet18,dermmnist,L80_G80,hounie_rcl,4,0.773925,0.010888,18.25,7.8222,0.864825,100.0
ResNet18,dermmnist,L80_G80,danits_lp,4,0.73875,0.03559,2.5,1.8028,0.849475,25.0
ResNet18,dermmnist,L80_G80,heuristic,4,0.74295,0.037068,21.0,9.3541,0.8522,25.0
EfficientNetB0,tissuemnist,L20_G20,tralo,4,0.4045,0.009623,4.25,3.2692,0.530225,100.0
EfficientNetB0,tissuemnist,L20_G20,tralo_bounded,4,0.403825,0.009018,5.75,1.299,0.53105,100.0
EfficientNetB0,tissuemnist,L20_G20,fioretto_ldf,4,0.39805,0.009324,6.5,1.5,0.525225,100.0
EfficientNetB0,tissuemnist,L20_G20,hounie_rcl,4,0.4011,0.01265,10.0,1.5811,0.526575,100.0
EfficientNetB0,tissuemnist,L20_G20,danits_lp,4,0.40945,0.025709,85.75,9.6274,0.5346,0.0
EfficientNetB0,tissuemnist,L20_G20,heuristic,4,0.409175,0.02533,85.75,9.6274,0.534475,0.0
EfficientNetB0,tissuemnist,L30_G30,tralo,4,0.419675,0.011653,5.5,1.118,0.535725,100.0
EfficientNetB0,tissuemnist,L30_G30,tralo_bounded,4,0.421125,0.012156,10.5,2.1794,0.536975,100.0
EfficientNetB0,tissuemnist,L30_G30,fioretto_ldf,4,0.42095,0.011307,11.25,2.3848,0.5356,100.0
EfficientNetB0,tissuemnist,L30_G30,hounie_rcl,4,0.4127,0.011412,11.0,4.3012,0.53065,100.0
EfficientNetB0,tissuemnist,L30_G30,danits_lp,4,0.417675,0.026864,68.75,9.6274,0.536975,0.0
EfficientNetB0,tissuemnist,L30_G30,heuristic,4,0.41755,0.026924,68.75,9.6274,0.53695,0.0
EfficientNetB0,tissuemnist,L50_G50,tralo,4,0.429575,0.020353,3.5,2.5981,0.539475,100.0
EfficientNetB0,tissuemnist,L50_G50,tralo_bounded,4,0.435325,0.014093,11.0,2.9155,0.54075,100.0
EfficientNetB0,tissuemnist,L50_G50,fioretto_ldf,4,0.43615,0.01142,10.0,1.5811,0.5409,100.0
EfficientNetB0,tissuemnist,L50_G50,hounie_rcl,4,0.439725,0.012498,13.75,4.603,0.5448,100.0
EfficientNetB0,tissuemnist,L50_G50,danits_lp,4,0.425975,0.026239,33.75,9.6274,0.53855,0.0
EfficientNetB0,tissuemnist,L50_G50,heuristic,4,0.4277,0.025724,33.75,9.6274,0.53925,0.0
EfficientNetB0,tissuemnist,L70_G70,tralo,4,0.444025,0.016265,13.5,7.3655,0.544875,100.0
EfficientNetB0,tissuemnist,L70_G70,tralo_bounded,4,0.443025,0.013843,13.0,9.434,0.5455,100.0
EfficientNetB0,tissuemnist,L70_G70,fioretto_ldf,4,0.4426,0.011842,14.0,7.3824,0.54395,100.0
EfficientNetB0,tissuemnist,L70_G70,hounie_rcl,4,0.44365,0.014705,11.5,5.7228,0.546875,100.0
EfficientNetB0,tissuemnist,L70_G70,danits_lp,4,0.4306,0.026969,4.25,6.2199,0.539275,50.0
