constrained_class,constraint_tag,method,n_seeds,macro_f1_mean,macro_f1_std,flips_mean,flips_std,accuracy_mean,accuracy_std,satisfied_pct
1,L70_G70,danits_lp,4,0.756900,0.014446,26.2500,9.2150,0.861325,0.004385,0.00
1,L80_G80,tralo,4,0.774750,0.002822,0.5000,0.5774,0.870075,0.001702,100.00
1,L80_G80,tralo_bounded,4,0.773400,0.001774,5.5000,2.3805,0.869825,0.003198,50.00
1,L80_G80,fioretto_ldf,4,0.773725,0.002156,5.5000,3.4157,0.870075,0.002175,50.00
1,L80_G80,hounie_rcl,4,0.771125,0.003171,9.5000,2.6458,0.870075,0.002136,100.00
1,L80_G80,heuristic,4,0.765850,0.013614,16.2500,9.2150,0.863950,0.004093,0.00
1,L80_G80,danits_lp,4,0.765200,0.013130,16.2500,9.2150,0.863700,0.004123,0.00
2,L20_G20,tralo,4,0.678975,0.008360,0.0000,0.0000,0.816925,0.003119,100.00
2,L20_G20,tralo_bounded,4,0.664150,0.015881,0.0000,0.0000,0.810300,0.003742,100.00
2,L20_G20,fioretto_ldf,4,0.661475,0.019245,0.2500,0.5000,0.809050,0.004805,75.00
2,L20_G20,hounie_rcl,4,0.634500,0.009081,0.0000,0.0000,0.799425,0.004423,100.00
2,L20_G20,heuristic,4,0.685475,0.012594,170.0000,26.5832,0.819175,0.005297,0.00
2,L20_G20,danits_lp,4,0.685500,0.012599,170.0000,26.5832,0.819175,0.005297,0.00
2,L30_G30,tralo,4,0.703200,0.011439,5.2500,3.9476,0.830025,0.004615,100.00
2,L30_G30,tralo_bounded,4,0.711675,0.008364,19.2500,1.8930,0.830550,0.002958,100.00
2,L30_G30,fioretto_ldf,4,0.711800,0.008739,16.2500,0.9574,0.831175,0.001315,100.00
2,L30_G30,hounie_rcl,4,0.699275,0.003564,35.0000,2.8284,0.826425,0.003924,100.00
2,L30_G30,heuristic,4,0.706375,0.012755,148.0000,26.5832,0.828800,0.004655,0.00
2,L30_G30,danits_lp,4,0.706275,0.012762,148.0000,26.5832,0.828800,0.004655,0.00
2,L50_G50,tralo,4,0.750850,0.007340,8.0000,11.4018,0.852325,0.003172,75.00
2,L50_G50,tralo_bounded,4,0.748175,0.007920,20.5000,6.5574,0.851200,0.003162,100.00
2,L50_G50,fioretto_ldf,4,0.751075,0.008326,22.7500,1.8930,0.851450,0.003926,100.00
