epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lam_g,max_u_g,h_u
0,0.003731,0.0,224,0,0.000559,6e-06,0.0
1,0.000924,0.00023,282,0,0.001258,1.7e-05,0.0
2,nan,0.000524,282,0,0.001956,3.3e-05,0.0
3,nan,0.000818,282,0,0.002654,5.3e-05,0.0
4,nan,0.001108,278,0,0.003348,7.6e-05,0.0
5,nan,0.001393,278,0,0.004038,0.000101,0.0
6,nan,0.001667,278,0,0.004719,0.000128,1e-06
7,nan,0.001925,276,0,0.00539,0.000156,1e-06
8,nan,0.002165,268,0,0.006047,0.000186,2e-06
9,nan,0.002381,258,0,0.006686,0.000215,2e-06
10,nan,0.002567,250,0,0.007303,0.000245,3e-06
11,nan,0.00272,238,0,0.007896,0.000275,3e-06
12,nan,0.002839,226,0,0.00846,0.000305,4e-06
13,nan,0.002916,208,0,0.008992,0.000334,5e-06
14,nan,0.002955,192,0,0.009491,0.000362,6e-06
15,nan,0.002959,184,0,0.009955,0.000389,7e-06
16,nan,0.002936,170,0,0.010384,0.000415,8e-06
17,nan,0.002886,166,0,0.010776,0.00044,9e-06
18,nan,0.002818,132,0,0.011134,0.000463,1e-05
19,nan,0.002735,126,0,0.011457,0.000485,1e-05
20,nan,0.002643,110,0,0.011747,0.000506,1.1e-05
21,nan,0.002546,94,0,0.012006,0.000525,1.2e-05
22,nan,0.002448,84,0,0.012237,0.000542,1.3e-05
23,nan,0.002347,80,0,0.012442,0.000558,1.4e-05
24,nan,0.002251,72,0,0.012623,0.000573,1.4e-05
25,nan,0.002146,64,0,0.012779,0.000586,1.5e-05
26,nan,0.002036,54,0,0.012912,0.000598,1.6e-05
27,nan,0.00192,44,0,0.013021,0.000608,1.6e-05
28,nan,0.001809,40,0,0.013109,0.000618,1.7e-05
29,nan,0.001696,29,0,0.013176,0.000626,1.7e-05
30,nan,0.001587,23,0,0.013223,0.000633,1.7e-05
31,nan,0.001484,13,0,0.01325,0.000639,1.8e-05
32,nan,0.001384,3,0,0.01326,0.000644,1.8e-05
33,nan,0.001284,3,0,0.013253,0.000648,1.8e-05
34,nan,0.001194,2,0,0.013231,0.00065,1.8e-05
35,nan,0.001115,1,0,0.013197,0.000652,1.8e-05
36,nan,0.001037,1,0,0.013149,0.000653,1.8e-05
37,nan,0.000966,0,1,0.013091,0.000654,1.8e-05
38,nan,0.0009,0,1,0.013021,0.000653,1.8e-05
39,nan,0.000835,0,1,0.012941,0.000652,1.8e-05
40,nan,0.000774,0,1,0.012851,0.00065,1.8e-05
41,nan,0.000716,0,1,0.012752,0.000648,1.8e-05
