Metric,Value
Overall Accuracy,0.5045
""
Macro Averaged Metrics,
Precision (Macro),0.3904
Recall (Macro),0.3380
F1-Score (Macro),0.2328
""
Weighted Averaged Metrics,
Precision (Weighted),0.4665
Recall (Weighted),0.5045
F1-Score (Weighted),0.3442
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.6667,0.0141,0.0276,142
Enrolled,0.0000,0.0000,0.0000,79
Graduate,0.5046,1.0000,0.6707,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,2,1,139
Enrolled,1,0,78
Graduate,0,0,221
