Metric,Value
Overall Accuracy,0.5294
""
Macro Averaged Metrics,
Precision (Macro),0.4816
Recall (Macro),0.3638
F1-Score (Macro),0.2826
""
Weighted Averaged Metrics,
Precision (Weighted),0.5565
Recall (Weighted),0.5294
F1-Score (Weighted),0.3941
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9286,0.0915,0.1667,142
Enrolled,0.0000,0.0000,0.0000,79
Graduate,0.5164,1.0000,0.6810,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,13,0,129
Enrolled,1,0,78
Graduate,0,0,221
