Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Hard_Dropout,Soft_Dropout,Limit_Enrolled,Hard_Enrolled,Soft_Enrolled,Limit_Graduate,Hard_Graduate,Soft_Graduate
1,0.7033,0.881291,0.000000,0.445775,0.50,0.50,1,0,113,103,101.59,63,5,25.64,inf,334,314.77
3,0.7388,0.750058,0.058477,0.464713,0.50,0.50,0,0,113,123,116.93,63,4,34.16,inf,315,290.91
6,0.7242,0.732353,0.000000,0.503602,0.50,0.50,0,0,113,113,109.83,63,0,41.98,inf,329,290.19
9,0.7222,0.720181,0.000000,0.481901,0.50,0.50,1,0,113,110,104.91,63,0,42.26,inf,332,294.83
12,0.7222,0.751111,0.000000,0.496237,0.50,0.50,1,0,113,111,103.41,63,1,30.34,inf,330,308.25
15,0.7262,0.733440,0.000000,0.447527,0.50,0.50,0,0,113,115,111.10,63,0,31.46,inf,327,299.45
18,0.7202,0.743263,0.000000,0.475240,0.50,0.50,1,0,113,109,105.97,63,0,29.81,inf,333,306.22
21,0.7280,0.774264,0.000000,0.498764,0.50,0.50,0,0,113,116,109.61,63,0,29.75,inf,326,302.63
24,0.6985,0.746734,0.000000,0.447582,0.50,0.50,1,0,113,90,89.91,63,1,25.93,inf,351,326.16
27,0.7156,0.723342,0.000000,0.424331,0.50,0.50,1,0,113,106,106.43,63,0,30.97,inf,336,304.60
30,0.6834,0.713980,0.000000,0.407289,0.50,0.50,1,0,113,83,84.42,63,0,24.81,inf,359,332.77
33,0.5045,0.889567,0.000000,0.115973,0.50,0.50,1,1,113,1,31.25,63,0,12.69,inf,441,398.06
