epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lam_g,max_u_g,h_u
0,0.00205,0.0,240,0,0.000601,6e-06,0.0
1,0.002747,0.000308,228,0,0.001182,1.7e-05,0.0
2,nan,0.0006,228,0,0.001761,3.1e-05,0.0
3,nan,0.000895,230,0,0.00234,4.8e-05,0.0
4,nan,0.001194,230,0,0.002917,6.8e-05,0.0
5,nan,0.001477,226,0,0.003492,8.9e-05,0.0
6,nan,0.001765,226,0,0.004065,0.000112,1e-06
7,nan,0.002031,222,0,0.004633,0.000136,1e-06
8,nan,0.002299,220,0,0.005195,0.000161,1e-06
9,nan,0.002549,220,0,0.005752,0.000186,2e-06
10,nan,0.002793,216,0,0.006301,0.000212,2e-06
11,nan,0.003012,216,0,0.006843,0.000238,3e-06
12,nan,0.003246,212,0,0.007375,0.000264,4e-06
13,nan,0.003446,208,0,0.007897,0.00029,5e-06
14,nan,0.003636,202,0,0.008406,0.000316,5e-06
15,nan,0.003812,200,0,0.008903,0.000342,6e-06
16,nan,0.003938,196,0,0.009386,0.000367,7e-06
17,nan,0.004056,192,0,0.009853,0.000393,8e-06
18,nan,0.004132,176,0,0.010304,0.000417,9e-06
19,nan,0.004218,170,0,0.010739,0.000441,1.1e-05
20,nan,0.004264,164,0,0.011156,0.000464,1.2e-05
21,nan,0.004312,160,0,0.011555,0.000487,1.3e-05
22,nan,0.004334,148,0,0.011936,0.000509,1.4e-05
23,nan,0.004344,144,0,0.012299,0.00053,1.5e-05
24,nan,0.004362,132,0,0.012643,0.000551,1.6e-05
25,nan,0.004352,126,0,0.012969,0.00057,1.7e-05
26,nan,0.004317,120,0,0.013278,0.000589,1.8e-05
27,nan,0.004326,114,0,0.01357,0.000607,2e-05
28,nan,0.004259,110,0,0.013847,0.000624,2.1e-05
29,nan,0.004243,108,0,0.014109,0.00064,2.2e-05
30,nan,0.004236,102,0,0.014357,0.000656,2.3e-05
31,nan,0.00423,94,0,0.014592,0.000671,2.4e-05
32,nan,0.004193,92,0,0.014813,0.000685,2.5e-05
33,nan,0.004176,86,0,0.015021,0.000698,2.5e-05
34,nan,0.004148,80,0,0.015218,0.00071,2.6e-05
35,nan,0.004115,78,0,0.015403,0.000722,2.7e-05
36,nan,0.004076,74,0,0.015576,0.000734,2.8e-05
37,nan,0.004022,72,0,0.015738,0.000744,2.9e-05
38,nan,0.003996,70,0,0.015889,0.000754,3e-05
39,nan,0.003939,64,0,0.016029,0.000764,3e-05
40,nan,0.003877,58,0,0.016157,0.000773,3.1e-05
41,nan,0.003818,58,0,0.016275,0.000781,3.2e-05
42,nan,0.003765,48,0,0.016382,0.000788,3.2e-05
43,nan,0.003699,44,0,0.016477,0.000796,3.3e-05
44,nan,0.003617,40,0,0.016562,0.000802,3.3e-05
45,nan,0.003515,34,0,0.016636,0.000808,3.4e-05
46,nan,0.003402,34,0,0.016698,0.000813,3.4e-05
47,nan,0.003292,28,0,0.016748,0.000818,3.5e-05
48,nan,0.003172,24,0,0.016786,0.000822,3.5e-05
49,nan,0.00307,22,0,0.016811,0.000826,3.5e-05
50,nan,0.002941,22,0,0.016824,0.000829,3.5e-05
51,nan,0.002791,7,0,0.016823,0.000831,3.6e-05
52,nan,0.002649,5,0,0.016809,0.000833,3.6e-05
53,nan,0.002525,3,0,0.016782,0.000834,3.6e-05
54,nan,0.002371,3,0,0.016741,0.000835,3.6e-05
55,nan,0.002227,1,0,0.016686,0.000835,3.6e-05
56,nan,0.002044,1,0,0.016617,0.000834,3.5e-05
57,nan,0.001891,1,0,0.016536,0.000833,3.5e-05
58,nan,0.00175,0,1,0.016441,0.00083,3.5e-05
59,nan,0.001649,0,1,0.016333,0.000828,3.5e-05
60,nan,0.001514,0,1,0.016213,0.000824,3.4e-05
61,nan,0.001395,0,1,0.016082,0.00082,3.4e-05
62,nan,0.001332,0,1,0.01594,0.000816,3.3e-05
