path,model,constraint,learning_rate,lambda_strategy,lambda_global,lambda_local,lambda_step,batch_size,warmup_epochs,max_epochs,constraint_threshold,status,converged,final_epoch,global_constraint_satisfied,local_constraint_satisfied,test_accuracy,details
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_linear,BasicNN,0.8_0.2,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,312,True,True,0.5769,"Converged at epoch 312. Global loss: 0.210837, Local loss: 0.000460"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_transfer,BasicNN,0.8_0.2,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,305,True,True,0.5701,"Converged at epoch 305. Global loss: 0.270503, Local loss: 0.003636"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_balanced,BasicNN,0.8_0.2,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,228,True,True,0.5656,"Converged at epoch 228. Global loss: 0.211416, Local loss: 0.005309"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_combined,BasicNN,0.8_0.2,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,166,True,True,0.5656,"Converged at epoch 166. Global loss: 0.366703, Local loss: 0.008195"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_linear,BasicNN,0.8_0.2,0.001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,222,True,True,0.5498,"Converged at epoch 222. Global loss: 0.187815, Local loss: 0.000000"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_transfer,BasicNN,0.8_0.2,0.001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,177,True,True,0.5475,"Converged at epoch 177. Global loss: 0.297325, Local loss: 0.000642"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_balanced,BasicNN,0.8_0.2,5e-05,balanced,0.1,0.1,0.005,64,50,1000,0.02,failed,False,1000,False,False,,"Reached max epochs without both constraints satisfied. Global loss: 0.609820, Local loss: 0.004383"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_combined,BasicNN,0.8_0.2,5e-05,combined,0.1,0.1,0.005,64,50,1000,0.02,failed,False,1000,False,True,,"Reached max epochs without both constraints satisfied. Global loss: 0.566048, Local loss: 0.000591"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_linear,BasicNN,0.8_0.2,5e-05,linear,0.1,0.1,0.005,64,50,1000,0.02,failed,False,1000,False,True,,"Reached max epochs without both constraints satisfied. Global loss: 0.520213, Local loss: 0.003371"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_transfer,BasicNN,0.8_0.2,5e-05,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,985,True,True,0.5747,"Converged at epoch 985. Global loss: 0.347429, Local loss: 0.005036"
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_balanced,BasicNN,0.9_0.8,0.0001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,270,True,True,0.7195,Both constraints satisfied at epoch 270
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_combined,BasicNN,0.9_0.8,0.0001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,174,True,True,0.7262,"Converged at epoch 174. Global loss: 0.000403, Local loss: 0.041899"
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_linear,BasicNN,0.9_0.8,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,277,True,True,0.7217,"Converged at epoch 277. Global loss: 0.003490, Local loss: 0.033454"
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_transfer,BasicNN,0.9_0.8,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,171,True,True,0.7285,"Converged at epoch 171. Global loss: 0.002991, Local loss: 0.050822"
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0005_lambda_balanced,BasicNN,0.9_0.8,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,135,True,True,0.7014,"Converged at epoch 135. Global loss: 0.006518, Local loss: 0.067377"
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0005_lambda_combined,BasicNN,0.9_0.8,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,101,True,True,0.7308,"Converged at epoch 101. Global loss: 0.002738, Local loss: 0.067336"
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0005_lambda_linear,BasicNN,0.9_0.8,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,132,True,True,0.7262,"Converged at epoch 132. Global loss: 0.000714, Local loss: 0.030601"
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0005_lambda_transfer,BasicNN,0.9_0.8,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,121,True,True,0.7172,"Converged at epoch 121. Global loss: 0.000781, Local loss: 0.037114"
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.001_lambda_balanced,BasicNN,0.9_0.8,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,104,True,True,0.7195,"Converged at epoch 104. Global loss: 0.002016, Local loss: 0.041724"
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.001_lambda_combined,BasicNN,0.9_0.8,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,94,True,True,0.7353,"Converged at epoch 94. Global loss: 0.002106, Local loss: 0.057434"
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.001_lambda_linear,BasicNN,0.9_0.8,0.001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,98,True,True,0.7217,"Converged at epoch 98. Global loss: 0.002091, Local loss: 0.054401"
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.001_lambda_transfer,BasicNN,0.9_0.8,0.001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,93,True,True,0.7217,"Converged at epoch 93. Global loss: 0.003682, Local loss: 0.055809"
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_balanced,BasicNN,0.9_0.8,5e-05,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,220,True,True,0.7262,"Converged at epoch 220. Global loss: 0.001610, Local loss: 0.063111"
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_combined,BasicNN,0.9_0.8,5e-05,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,159,True,True,0.7127,Both constraints satisfied at epoch 159
