epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lambda_g
0,0.013257,0.0,256,0,0.666438
1,0.005475,162.614794,220,0,1.218742
2,nan,293.840962,220,0,1.761927
3,nan,414.58949,206,0,2.290153
4,nan,523.99313,200,0,2.79716
5,nan,617.899729,194,0,3.278328
6,nan,692.784735,186,0,3.727026
7,nan,738.32305,162,0,4.141672
8,nan,773.851025,144,0,4.521214
9,nan,784.860874,130,0,4.863468
10,nan,795.994123,118,0,5.16855
11,nan,790.602764,86,0,5.434871
12,nan,780.842577,78,0,5.663332
13,nan,748.828522,66,0,5.853552
14,nan,719.286692,58,0,6.008649
15,nan,677.933064,42,0,6.127809
16,nan,626.850961,38,0,6.213695
17,nan,591.43435,14,0,6.268029
18,nan,547.725869,3,0,6.29333
19,nan,93.151809,0,1,6.29333
20,nan,0.0,0,1,6.29333
21,nan,0.0,0,1,6.29333
22,nan,0.0,0,1,6.29333
23,nan,0.0,0,1,6.29333
