ds,tight,method,seed,F1m,Acc,ECE,Brier,Flips,Sat%,SatEp,Time
aider,L50_G50,heuristic,4,0.9029,0.9529,0.0106,0.0207,50.0,0.0,,0.2783
aider,L50_G50,hounie_rcl,1,0.8735,0.9361,0.0768,0.1574,28.0,1.0,120.0,59.5496
aider,L50_G50,hounie_rcl,2,0.835,0.9202,0.0969,0.1982,43.0,1.0,52.0,29.5762
aider,L50_G50,hounie_rcl,3,0.8819,0.9412,0.0852,0.1698,42.0,1.0,54.0,30.3625
aider,L50_G50,hounie_rcl,4,0.8721,0.9387,0.0773,0.1602,38.0,1.0,89.0,45.8608
aider,L50_G50,tralo,1,0.8811,0.9412,0.0509,0.1026,0.0,1.0,74.0,19.9118
aider,L50_G50,tralo,2,0.8855,0.9437,0.0495,0.1043,0.0,1.0,65.0,18.9775
aider,L50_G50,tralo,3,0.8887,0.9462,0.0466,0.0976,0.0,1.0,64.0,139.9316
aider,L50_G50,tralo,4,0.8915,0.9479,0.0472,0.0956,0.0,1.0,69.0,65.5048
aider,L50_G50,tralo_bounded,1,0.8783,0.9395,0.0569,0.1188,7.0,1.0,74.0,16.1195
aider,L50_G50,tralo_bounded,2,0.8841,0.9429,0.0516,0.1092,5.0,0.0,,38.803
aider,L50_G50,tralo_bounded,3,0.8901,0.9471,0.053,0.1106,14.0,1.0,64.0,11.7946
aider,L50_G50,tralo_bounded,4,0.8922,0.9471,0.0515,0.1061,7.0,0.0,,39.5593
aider,L70_G70,danits_lp,1,0.9311,0.9647,0.0134,0.0309,40.0,0.0,,0.3488
aider,L70_G70,danits_lp,2,0.9337,0.9672,0.0123,0.0225,32.0,0.0,,0.3713
aider,L70_G70,danits_lp,3,0.9337,0.9664,0.0101,0.0206,32.0,0.0,,0.3849
aider,L70_G70,danits_lp,4,0.9441,0.9697,0.0106,0.0207,30.0,0.0,,0.3121
aider,L70_G70,fioretto_ldf,1,0.9249,0.9588,0.0324,0.0742,3.0,1.0,22.0,14.9114
aider,L70_G70,fioretto_ldf,2,0.9261,0.9613,0.0354,0.0743,3.0,1.0,14.0,11.8715
aider,L70_G70,fioretto_ldf,3,0.9348,0.9647,0.0296,0.0602,1.0,1.0,13.0,11.4344
aider,L70_G70,fioretto_ldf,4,0.9349,0.9647,0.0279,0.0634,2.0,1.0,16.0,12.1445
aider,L70_G70,heuristic,1,0.9311,0.9647,0.0134,0.0309,40.0,0.0,,0.3388
aider,L70_G70,heuristic,2,0.9337,0.9672,0.0123,0.0225,32.0,0.0,,0.3596
aider,L70_G70,heuristic,3,0.9337,0.9664,0.0101,0.0206,32.0,0.0,,0.35
aider,L70_G70,heuristic,4,0.9441,0.9697,0.0106,0.0207,30.0,0.0,,0.2955
aider,L70_G70,hounie_rcl,1,0.9205,0.9563,0.055,0.1113,26.0,1.0,145.0,71.0124
aider,L70_G70,hounie_rcl,2,0.9206,0.9563,0.0621,0.1292,33.0,1.0,57.0,32.9848
aider,L70_G70,hounie_rcl,3,0.9299,0.9613,0.0536,0.1153,34.0,1.0,60.0,33.9053
aider,L70_G70,hounie_rcl,4,0.9358,0.9647,0.0503,0.105,29.0,1.0,105.0,53.5027
aider,L70_G70,tralo,1,0.9292,0.9613,0.0333,0.0681,0.0,1.0,72.0,140.3578
aider,L70_G70,tralo,2,0.9261,0.9613,0.0337,0.0733,2.0,1.0,63.0,18.183
aider,L70_G70,tralo,3,0.9362,0.9655,0.0268,0.0597,0.0,1.0,62.0,15.6065
aider,L70_G70,tralo,4,0.9363,0.9655,0.0283,0.0596,0.0,1.0,66.0,18.3371
aider,L70_G70,tralo_bounded,1,0.9249,0.9588,0.0327,0.0708,3.0,0.0,,40.8641
aider,L70_G70,tralo_bounded,2,0.9281,0.9613,0.0381,0.0811,8.0,1.0,63.0,11.4702
aider,L70_G70,tralo_bounded,3,0.9348,0.9647,0.0305,0.0614,2.0,1.0,62.0,11.3244
aider,L70_G70,tralo_bounded,4,0.9349,0.9647,0.0352,0.0735,10.0,1.0,66.0,12.4951
aider,L80_G80,danits_lp,1,0.9522,0.9739,0.0134,0.0309,29.0,0.0,,0.351
aider,L80_G80,danits_lp,2,0.9549,0.9765,0.0123,0.0225,21.0,0.0,,0.3942
aider,L80_G80,danits_lp,3,0.9548,0.9756,0.0101,0.0206,21.0,0.0,,0.3483
aider,L80_G80,danits_lp,4,0.9633,0.979,0.0106,0.0207,19.0,0.0,,0.2927
aider,L80_G80,fioretto_ldf,1,0.9494,0.9706,0.0261,0.0569,6.0,1.0,20.0,13.5734
aider,L80_G80,fioretto_ldf,2,0.9497,0.9714,0.0292,0.0607,7.0,1.0,13.0,10.2509
aider,L80_G80,fioretto_ldf,3,0.9567,0.9756,0.0219,0.0482,3.0,1.0,12.0,9.8627
aider,L80_G80,fioretto_ldf,4,0.9564,0.9748,0.0221,0.0511,5.0,1.0,15.0,11.1833
aider,L80_G80,heuristic,1,0.9522,0.9739,0.0134,0.0309,29.0,0.0,,0.3531
aider,L80_G80,heuristic,2,0.9549,0.9765,0.0123,0.0225,21.0,0.0,,0.3631
aider,L80_G80,heuristic,3,0.9548,0.9756,0.0101,0.0206,21.0,0.0,,0.3521
aider,L80_G80,heuristic,4,0.9633,0.979,0.0106,0.0207,19.0,0.0,,0.2781
aider,L80_G80,hounie_rcl,1,0.948,0.9697,0.0287,0.0621,8.0,1.0,172.0,82.2752
aider,L80_G80,hounie_rcl,2,0.9398,0.9664,0.0431,0.0932,24.0,1.0,65.0,35.0719
aider,L80_G80,hounie_rcl,3,0.9536,0.9731,0.0313,0.0695,16.0,1.0,65.0,35.6106
aider,L80_G80,hounie_rcl,4,0.9479,0.9706,0.0324,0.0707,19.0,1.0,126.0,62.2235
aider,L80_G80,tralo,1,0.9498,0.9714,0.0246,0.0503,1.0,1.0,72.0,22.2363
aider,L80_G80,tralo,2,0.9497,0.9714,0.0266,0.054,0.0,1.0,62.0,17.5994
aider,L80_G80,tralo,3,0.957,0.9765,0.0208,0.0437,0.0,1.0,61.0,15.4663
aider,L80_G80,tralo,4,0.9568,0.9756,0.0211,0.0431,1.0,1.0,66.0,21.9723
aider,L80_G80,tralo_bounded,1,0.9494,0.9706,0.026,0.0564,5.0,0.0,,40.5997
aider,L80_G80,tralo_bounded,2,0.9483,0.9706,0.0278,0.0576,4.0,1.0,62.0,10.2451
aider,L80_G80,tralo_bounded,3,0.9567,0.9756,0.0201,0.0454,1.0,1.0,61.0,9.8071
aider,L80_G80,tralo_bounded,4,0.9564,0.9748,0.0231,0.0492,5.0,1.0,66.0,12.2937
dermmnist,L20_G20,danits_lp,1,0.7142,0.8347,0.1047,0.2319,151.0,0.0,,0.5164
dermmnist,L20_G20,danits_lp,2,0.6876,0.8328,0.108,0.2387,154.0,0.0,,0.5194
dermmnist,L20_G20,danits_lp,3,0.7225,0.8447,0.0908,0.2199,163.0,0.0,,0.5118
dermmnist,L20_G20,danits_lp,4,0.6877,0.8347,0.1012,0.2354,166.0,0.0,,0.3839
dermmnist,L20_G20,fioretto_ldf,1,0.6899,0.8233,0.1485,0.3178,5.0,1.0,21.0,22.5549
dermmnist,L20_G20,fioretto_ldf,2,0.7107,0.8313,0.1483,0.3135,11.0,1.0,21.0,22.6554
dermmnist,L20_G20,fioretto_ldf,3,0.7216,0.8412,0.1379,0.3002,17.0,1.0,20.0,22.0886
dermmnist,L20_G20,fioretto_ldf,4,0.6974,0.8183,0.1701,0.3496,18.0,1.0,21.0,22.512
dermmnist,L20_G20,heuristic,1,0.7142,0.8347,0.1047,0.2319,151.0,0.0,,0.4715
dermmnist,L20_G20,heuristic,2,0.6876,0.8328,0.108,0.2387,154.0,0.0,,0.4726
dermmnist,L20_G20,heuristic,3,0.7225,0.8447,0.0908,0.2199,163.0,0.0,,0.47
dermmnist,L20_G20,heuristic,4,0.6877,0.8347,0.1012,0.2354,166.0,0.0,,0.3471
dermmnist,L20_G20,hounie_rcl,1,0.6811,0.8188,0.1579,0.3375,16.0,1.0,48.0,46.1047
dermmnist,L20_G20,hounie_rcl,2,0.7072,0.8308,0.1523,0.3223,22.0,1.0,52.0,52.1818
dermmnist,L20_G20,hounie_rcl,3,0.7023,0.8367,0.1386,0.2974,12.0,1.0,61.0,59.7356
dermmnist,L20_G20,hounie_rcl,4,0.6949,0.8193,0.167,0.3547,21.0,1.0,68.0,60.2887
dermmnist,L20_G20,tralo,1,0.6905,0.8263,0.1459,0.3108,2.0,1.0,71.0,31.2496
dermmnist,L20_G20,tralo,2,0.7105,0.8308,0.1465,0.309,5.0,1.0,71.0,26.8378
dermmnist,L20_G20,tralo,3,0.7218,0.8402,0.1338,0.2894,0.0,1.0,70.0,54.1603
dermmnist,L20_G20,tralo,4,0.708,0.8318,0.1439,0.3086,3.0,1.0,70.0,235.8791
