ds,tight,method,seed,F1m,Acc,ECE,Brier,Flips,Sat%,SatEp,Time
tissuemnist,L20_G20,heuristic,4,0.3272,0.4758,0.4223,0.9133,47.0,0.0,,0.3383
tissuemnist,L20_G20,hounie_rcl,1,0.3534,0.5079,0.3881,0.8527,14.0,1.0,68.0,71.0571
tissuemnist,L20_G20,hounie_rcl,2,0.358,0.4983,0.3891,0.862,4.0,1.0,79.0,80.9814
tissuemnist,L20_G20,hounie_rcl,3,0.3437,0.4983,0.4065,0.8867,7.0,1.0,59.0,63.1059
tissuemnist,L20_G20,hounie_rcl,4,0.347,0.5075,0.4026,0.8676,5.0,1.0,107.0,105.1543
tissuemnist,L20_G20,tralo,1,0.355,0.5067,0.3857,0.8501,11.0,1.0,71.0,39.1455
tissuemnist,L20_G20,tralo,2,0.3612,0.4958,0.3893,0.8713,0.0,1.0,74.0,46.2751
tissuemnist,L20_G20,tralo,3,0.3414,0.4971,0.4097,0.8834,6.0,1.0,64.0,29.5239
tissuemnist,L20_G20,tralo,4,0.3575,0.5046,0.4089,0.8797,1.0,1.0,70.0,44.5249
tissuemnist,L20_G20,tralo_bounded,1,0.356,0.5092,0.3867,0.851,12.0,1.0,71.0,37.4493
tissuemnist,L20_G20,tralo_bounded,2,0.3568,0.4988,0.3901,0.8587,2.0,1.0,74.0,42.5726
tissuemnist,L20_G20,tralo_bounded,3,0.3437,0.4958,0.4093,0.887,9.0,1.0,64.0,29.9282
tissuemnist,L20_G20,tralo_bounded,4,0.3529,0.5075,0.4033,0.8659,7.0,1.0,70.0,36.7381
tissuemnist,L30_G30,danits_lp,1,0.3383,0.4842,0.405,0.8891,155.0,0.0,,0.6003
tissuemnist,L30_G30,danits_lp,2,0.3807,0.4808,0.4032,0.8881,143.0,0.0,,0.5958
tissuemnist,L30_G30,danits_lp,3,0.3275,0.4646,0.4115,0.9128,72.0,0.0,,0.5872
tissuemnist,L30_G30,danits_lp,4,0.3368,0.4792,0.4223,0.9133,30.0,0.0,,0.3968
tissuemnist,L30_G30,fioretto_ldf,1,0.3598,0.5071,0.3835,0.8447,11.0,1.0,18.0,47.8332
tissuemnist,L30_G30,fioretto_ldf,2,0.3697,0.5029,0.3829,0.8509,4.0,1.0,20.0,51.8881
tissuemnist,L30_G30,fioretto_ldf,3,0.3469,0.4971,0.4073,0.883,15.0,1.0,12.0,30.2083
tissuemnist,L30_G30,fioretto_ldf,4,0.3635,0.5092,0.4007,0.8631,10.0,1.0,15.0,33.1445
tissuemnist,L30_G30,heuristic,1,0.3384,0.4842,0.405,0.8891,155.0,0.0,,0.5362
tissuemnist,L30_G30,heuristic,2,0.3817,0.4813,0.4032,0.8881,143.0,0.0,,0.5433
tissuemnist,L30_G30,heuristic,3,0.3275,0.4646,0.4115,0.9128,72.0,0.0,,0.5427
tissuemnist,L30_G30,heuristic,4,0.3368,0.4792,0.4223,0.9133,30.0,0.0,,0.3284
tissuemnist,L30_G30,hounie_rcl,1,0.3617,0.5129,0.3808,0.847,14.0,1.0,62.0,136.2281
tissuemnist,L30_G30,hounie_rcl,2,0.3688,0.4979,0.3835,0.8558,5.0,1.0,74.0,159.6899
tissuemnist,L30_G30,hounie_rcl,3,0.3477,0.4975,0.4059,0.8813,11.0,1.0,51.0,94.189
tissuemnist,L30_G30,hounie_rcl,4,0.3624,0.5088,0.4008,0.8639,12.0,1.0,86.0,161.0324
tissuemnist,L30_G30,tralo,1,0.3669,0.5129,0.3829,0.8455,6.0,1.0,68.0,84.4883
tissuemnist,L30_G30,tralo,2,0.3703,0.5021,0.3865,0.851,2.0,1.0,71.0,186.0629
tissuemnist,L30_G30,tralo,3,0.3508,0.5021,0.4042,0.8723,7.0,1.0,62.0,27.7215
tissuemnist,L30_G30,tralo,4,0.3685,0.5096,0.4022,0.8634,5.0,1.0,63.0,24.1405
tissuemnist,L30_G30,tralo_bounded,1,0.3605,0.5062,0.3859,0.846,12.0,1.0,68.0,58.3217
tissuemnist,L30_G30,tralo_bounded,2,0.3726,0.5038,0.3819,0.8499,4.0,0.0,,226.6495
tissuemnist,L30_G30,tralo_bounded,3,0.3459,0.4963,0.4058,0.8817,12.0,1.0,62.0,31.1695
tissuemnist,L30_G30,tralo_bounded,4,0.3671,0.51,0.4003,0.862,11.0,1.0,63.0,34.6603
tissuemnist,L50_G50,danits_lp,1,0.3482,0.4871,0.405,0.8891,120.0,0.0,,0.5932
tissuemnist,L50_G50,danits_lp,2,0.392,0.4846,0.4032,0.8881,108.0,0.0,,0.6286
tissuemnist,L50_G50,danits_lp,3,0.3339,0.4654,0.4115,0.9128,37.0,0.0,,0.5993
tissuemnist,L50_G50,danits_lp,4,0.3488,0.4838,0.4223,0.9133,1.0,1.0,,0.3891
tissuemnist,L50_G50,fioretto_ldf,1,0.369,0.5075,0.3782,0.8376,5.0,1.0,14.0,39.8583
tissuemnist,L50_G50,fioretto_ldf,2,0.3842,0.5042,0.3781,0.8404,7.0,1.0,14.0,40.8433
tissuemnist,L50_G50,fioretto_ldf,3,0.353,0.4979,0.3997,0.8755,15.0,1.0,6.0,26.5264
tissuemnist,L50_G50,fioretto_ldf,4,0.3734,0.5092,0.3943,0.8542,17.0,1.0,6.0,22.0005
tissuemnist,L50_G50,heuristic,1,0.3483,0.4871,0.405,0.8891,120.0,0.0,,0.5412
tissuemnist,L50_G50,heuristic,2,0.3931,0.485,0.4032,0.8881,108.0,0.0,,0.5386
tissuemnist,L50_G50,heuristic,3,0.3336,0.4654,0.4115,0.9128,37.0,0.0,,0.5396
tissuemnist,L50_G50,heuristic,4,0.3484,0.4838,0.4223,0.9133,9.0,1.0,,0.3335
tissuemnist,L50_G50,hounie_rcl,1,0.3659,0.5062,0.3797,0.8397,14.0,1.0,49.0,111.2918
tissuemnist,L50_G50,hounie_rcl,2,0.3844,0.5038,0.3797,0.8423,7.0,1.0,52.0,117.4083
tissuemnist,L50_G50,hounie_rcl,3,0.3552,0.5008,0.3969,0.8729,8.0,1.0,37.0,91.5233
tissuemnist,L50_G50,hounie_rcl,4,0.3759,0.51,0.3944,0.8536,14.0,1.0,71.0,149.1858
tissuemnist,L50_G50,tralo,1,0.3724,0.5096,0.3796,0.8418,1.0,1.0,64.0,110.9095
tissuemnist,L50_G50,tralo,2,0.3853,0.505,0.3798,0.8431,3.0,1.0,64.0,66.8096
tissuemnist,L50_G50,tralo,3,0.3611,0.5054,0.3948,0.8639,5.0,1.0,55.0,21.922
tissuemnist,L50_G50,tralo,4,0.3705,0.5096,0.3954,0.8482,8.0,1.0,57.0,23.1764
tissuemnist,L50_G50,tralo_bounded,1,0.3658,0.5054,0.3814,0.8394,9.0,1.0,64.0,48.9644
tissuemnist,L50_G50,tralo_bounded,2,0.3778,0.4983,0.3865,0.846,8.0,1.0,64.0,51.9301
tissuemnist,L50_G50,tralo_bounded,3,0.3516,0.4963,0.3998,0.8759,12.0,1.0,55.0,34.4242
tissuemnist,L50_G50,tralo_bounded,4,0.3758,0.5112,0.3922,0.853,15.0,1.0,55.0,31.8297
tissuemnist,L70_G70,danits_lp,1,0.3533,0.4875,0.405,0.8891,86.0,0.0,,0.5861
tissuemnist,L70_G70,danits_lp,2,0.3904,0.4821,0.4032,0.8881,74.0,0.0,,0.5901
tissuemnist,L70_G70,danits_lp,3,0.3415,0.4679,0.4115,0.9128,4.0,0.0,,0.5971
tissuemnist,L70_G70,danits_lp,4,0.3488,0.4838,0.4223,0.9133,1.0,1.0,,0.3963
tissuemnist,L70_G70,fioretto_ldf,1,0.375,0.5075,0.3782,0.8355,14.0,1.0,11.0,18.598
tissuemnist,L70_G70,fioretto_ldf,2,0.3907,0.5025,0.3785,0.8361,10.0,1.0,10.0,17.1302
tissuemnist,L70_G70,fioretto_ldf,3,0.356,0.4975,0.3995,0.8741,28.0,1.0,1.0,8.6526
tissuemnist,L70_G70,fioretto_ldf,4,0.3771,0.51,0.3945,0.8517,39.0,1.0,1.0,9.3019
tissuemnist,L70_G70,heuristic,1,0.3537,0.4879,0.405,0.8891,86.0,0.0,,0.4614
tissuemnist,L70_G70,heuristic,2,0.3916,0.4829,0.4032,0.8881,74.0,0.0,,0.5454
tissuemnist,L70_G70,heuristic,3,0.3431,0.4683,0.4115,0.9128,11.0,0.0,,0.5291
tissuemnist,L70_G70,heuristic,4,0.3538,0.4846,0.4223,0.9133,40.0,1.0,,0.3358
tissuemnist,L70_G70,hounie_rcl,1,0.3745,0.5067,0.3794,0.8363,17.0,1.0,46.0,51.2634
tissuemnist,L70_G70,hounie_rcl,2,0.3917,0.5038,0.3771,0.8368,10.0,1.0,47.0,52.093
tissuemnist,L70_G70,hounie_rcl,3,0.356,0.4975,0.3995,0.8741,28.0,1.0,1.0,9.177
tissuemnist,L70_G70,hounie_rcl,4,0.3771,0.51,0.3945,0.8517,39.0,1.0,1.0,9.0707
tissuemnist,L70_G70,tralo,1,0.3734,0.5075,0.3782,0.8382,4.0,1.0,61.0,25.287
tissuemnist,L70_G70,tralo,2,0.4032,0.5175,0.3665,0.8252,3.0,1.0,60.0,32.2931
tissuemnist,L70_G70,tralo,3,0.3565,0.4942,0.3994,0.8756,8.0,1.0,51.0,12.4923
tissuemnist,L70_G70,tralo,4,0.3868,0.5154,0.3878,0.8451,19.0,1.0,51.0,12.8918
tissuemnist,L70_G70,tralo_bounded,1,0.3753,0.5075,0.3778,0.8376,8.0,1.0,61.0,18.6793
tissuemnist,L70_G70,tralo_bounded,2,0.3925,0.5058,0.3743,0.8354,7.0,1.0,60.0,17.4492
tissuemnist,L70_G70,tralo_bounded,3,0.356,0.4975,0.3995,0.8741,28.0,1.0,51.0,8.5437
tissuemnist,L70_G70,tralo_bounded,4,0.3771,0.51,0.3945,0.8517,39.0,1.0,51.0,9.1281
tissuemnist,L80_G80,danits_lp,1,0.3558,0.4875,0.405,0.8891,69.0,0.0,,0.5799
tissuemnist,L80_G80,danits_lp,2,0.3925,0.4829,0.4032,0.8881,57.0,0.0,,0.5885
tissuemnist,L80_G80,danits_lp,3,0.3414,0.4679,0.4115,0.9128,0.0,1.0,,0.5908
tissuemnist,L80_G80,danits_lp,4,0.3488,0.4838,0.4223,0.9133,1.0,1.0,,0.388
tissuemnist,L80_G80,fioretto_ldf,1,0.3772,0.5071,0.3769,0.835,8.0,1.0,10.0,17.1016
tissuemnist,L80_G80,fioretto_ldf,2,0.3955,0.5046,0.3746,0.8352,5.0,1.0,8.0,14.3829
tissuemnist,L80_G80,fioretto_ldf,3,0.3568,0.4971,0.3995,0.8741,45.0,1.0,1.0,8.9556
tissuemnist,L80_G80,fioretto_ldf,4,0.3787,0.5108,0.3945,0.8517,56.0,1.0,1.0,8.7767
tissuemnist,L80_G80,heuristic,1,0.3542,0.4871,0.405,0.8891,69.0,0.0,,0.5291
tissuemnist,L80_G80,heuristic,2,0.3929,0.4829,0.4032,0.8881,57.0,0.0,,0.526
tissuemnist,L80_G80,heuristic,3,0.3406,0.4671,0.4115,0.9128,16.0,1.0,,0.5326
tissuemnist,L80_G80,heuristic,4,0.3552,0.485,0.4223,0.9133,57.0,1.0,,0.3354
tissuemnist,L80_G80,hounie_rcl,1,0.3775,0.5071,0.3763,0.8354,14.0,1.0,43.0,48.5626
tissuemnist,L80_G80,hounie_rcl,2,0.3925,0.5029,0.3765,0.8359,11.0,1.0,45.0,50.3713
tissuemnist,L80_G80,hounie_rcl,3,0.3568,0.4971,0.3995,0.8741,45.0,1.0,1.0,8.8456
tissuemnist,L80_G80,hounie_rcl,4,0.3787,0.5108,0.3945,0.8517,56.0,1.0,1.0,8.8115
tissuemnist,L80_G80,tralo,1,0.377,0.5062,0.3769,0.8374,4.0,1.0,59.0,29.6663
tissuemnist,L80_G80,tralo,2,0.3937,0.5158,0.374,0.8265,5.0,1.0,57.0,125.8158
tissuemnist,L80_G80,tralo,3,0.3551,0.4913,0.4026,0.8777,20.0,1.0,51.0,12.253
tissuemnist,L80_G80,tralo,4,0.3813,0.5129,0.3895,0.8486,42.0,1.0,51.0,13.1642
tissuemnist,L80_G80,tralo_bounded,1,0.3751,0.5062,0.374,0.8371,12.0,1.0,59.0,16.6208
tissuemnist,L80_G80,tralo_bounded,2,0.3936,0.5054,0.3742,0.8354,9.0,1.0,57.0,15.1113
tissuemnist,L80_G80,tralo_bounded,3,0.3568,0.4971,0.3995,0.8741,45.0,1.0,51.0,8.8641
tissuemnist,L80_G80,tralo_bounded,4,0.3787,0.5108,0.3945,0.8517,56.0,1.0,51.0,8.5717
