ds,model,cls,grp,tight,L,G,method,seed,f1m,f1w,acc,ece,brier,flips,sat,sat_epoch,phase
aider,MobileNetV3,0,synth_group,L30_G30,30,30,danits_lp,4,0.8491,0.9215,0.9361,0.0106,0.0207,70.0,0.0,,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,fioretto_ldf,1,0.8182,0.9039,0.9185,0.0832,0.1681,14.0,1.0,29.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,fioretto_ldf,2,0.8257,0.9082,0.9227,0.0752,0.1552,7.0,1.0,18.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,fioretto_ldf,3,0.8355,0.914,0.9286,0.0621,0.1313,3.0,1.0,17.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,fioretto_ldf,4,0.8408,0.9165,0.9311,0.0676,0.1444,8.0,1.0,21.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,heuristic,1,0.8321,0.9164,0.9311,0.0134,0.0309,80.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L30_G30,30,30,heuristic,2,0.8337,0.9188,0.9336,0.0123,0.0225,72.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L30_G30,30,30,heuristic,3,0.8396,0.9181,0.9328,0.0101,0.0206,72.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L30_G30,30,30,heuristic,4,0.8501,0.9215,0.9361,0.0106,0.0207,70.0,0.0,,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,hounie_rcl,1,0.8149,0.9014,0.916,0.1001,0.2004,23.0,1.0,109.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,hounie_rcl,2,0.7828,0.8863,0.9034,0.1058,0.2185,28.0,1.0,49.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,hounie_rcl,3,0.8256,0.9082,0.9235,0.0934,0.1873,29.0,1.0,51.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,hounie_rcl,4,0.7979,0.8959,0.9134,0.0902,0.1859,26.0,1.0,81.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,tralo,1,0.8409,0.9165,0.9311,0.0649,0.1367,5.0,1.0,77.0,
aider,MobileNetV3,0,synth_group,L30_G30,30,30,tralo,2,0.8271,0.909,0.9235,0.0718,0.1489,3.0,1.0,67.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,tralo,3,0.8373,0.9156,0.9303,0.0586,0.1279,0.0,1.0,67.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,tralo,4,0.8395,0.9157,0.9303,0.0648,0.1337,0.0,1.0,71.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,tralo_bounded,1,0.8178,0.9031,0.9176,0.0823,0.1657,12.0,1.0,79.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,tralo_bounded,2,0.8253,0.9073,0.9218,0.0786,0.1619,11.0,1.0,67.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,tralo_bounded,3,0.837,0.9148,0.9294,0.0635,0.133,6.0,1.0,67.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,tralo_bounded,4,0.8408,0.9165,0.9311,0.0648,0.1359,3.0,1.0,71.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G80,30,80,danits_lp,1,0.8331,0.9164,0.9311,0.0134,0.0309,80.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L30_G80,30,80,danits_lp,2,0.8347,0.9188,0.9336,0.0123,0.0225,72.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L30_G80,30,80,danits_lp,3,0.8396,0.9181,0.9328,0.0101,0.0206,72.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L30_G80,30,80,heuristic,1,0.8321,0.9164,0.9311,0.0134,0.0309,80.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L30_G80,30,80,heuristic,2,0.8337,0.9188,0.9336,0.0123,0.0225,72.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L30_G80,30,80,heuristic,3,0.8396,0.9181,0.9328,0.0101,0.0206,72.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L50_G20,50,20,danits_lp,1,0.7961,0.9003,0.9218,0.0134,0.0309,91.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L50_G20,50,20,danits_lp,2,0.7967,0.9027,0.9244,0.0123,0.0225,83.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L50_G20,50,20,danits_lp,3,0.8036,0.902,0.9235,0.0101,0.0206,83.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L50_G20,50,20,heuristic,1,0.7961,0.9003,0.9218,0.0134,0.0309,91.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L50_G20,50,20,heuristic,2,0.7977,0.9027,0.9244,0.0123,0.0225,83.0,0.0,,expansion_aider_baselines
