ds,tight,method,n,F1m_mean,F1m_std,Acc_mean,Acc_std,ECE_mean,ECE_std,Brier_mean,Brier_std,Flips_mean,Flips_std,Sat%_mean,Sat%_std,SatEp_mean,SatEp_std,Time_mean,Time_std
dermmnist,L20_G20,hounie_rcl,4,0.696375,0.0113694,0.8264,0.00882459,0.15395,0.0118919,0.327975,0.0243035,17.75,4.64579,1,0,57.25,8.99537,54.5777,6.75158
dermmnist,L20_G20,tralo,4,0.7077,0.0129432,0.832275,0.00579964,0.142525,0.00592192,0.30445,0.0100789,2.5,2.08167,1,0,70.5,0.57735,87.0317,99.9517
dermmnist,L20_G20,tralo_bounded,4,0.70455,0.0120639,0.829525,0.00608023,0.148025,0.0103915,0.314525,0.0203726,12.25,4.272,0.75,0.5,70.6667,0.57735,34.3226,21.7117
dermmnist,L30_G30,danits_lp,4,0.722425,0.01681,0.846075,0.00475,0.101175,0.00745313,0.231475,0.00820097,136.5,7.14143,0,0,,,0.485675,0.0631255
dermmnist,L30_G30,fioretto_ldf,4,0.7305,0.011458,0.843075,0.00469707,0.1319,0.00554917,0.285525,0.00737897,11,1.41421,0.5,0.57735,16.5,0.707107,41.8529,25.9056
dermmnist,L30_G30,heuristic,4,0.722375,0.0168603,0.846075,0.00475,0.101175,0.00745313,0.231475,0.00820097,136.5,7.14143,0,0,,,0.443675,0.0686806
dermmnist,L30_G30,hounie_rcl,4,0.7305,0.00701237,0.8432,0.00216025,0.13465,0.00654344,0.292175,0.010981,18.25,9.28709,1,0,50.75,5.67891,47.9379,4.411
dermmnist,L30_G30,tralo,4,0.730075,0.00671336,0.8442,0.00147196,0.130875,0.00521304,0.281725,0.0094975,8,9.76388,1,0,67.25,2.06155,132.797,121.675
dermmnist,L30_G30,tralo_bounded,4,0.734675,0.00976332,0.84545,0.00287228,0.130525,0.00455805,0.279875,0.00802678,8,4.54606,0.5,0.57735,66,1.41421,42.6035,26.4475
dermmnist,L50_G50,danits_lp,4,0.74715,0.0189273,0.858075,0.00688446,0.101175,0.00745313,0.231475,0.00820097,92.5,7.14143,0,0,,,0.488275,0.0638643
dermmnist,L50_G50,fioretto_ldf,4,0.7644,0.00958749,0.86245,0.00275379,0.111375,0.00418201,0.24705,0.00653121,9.75,2.06155,0.75,0.5,11.6667,1.52753,27.1193,22.6264
dermmnist,L50_G50,heuristic,4,0.74715,0.0187884,0.858075,0.00688446,0.101175,0.00745313,0.231475,0.00820097,92.5,7.14143,0,0,,,0.440425,0.0810029
dermmnist,L50_G50,hounie_rcl,4,0.764125,0.012857,0.862575,0.00368273,0.115,0.00534665,0.25295,0.00620457,19.5,3.41565,1,0,44.5,5.91608,43.1259,4.55546
dermmnist,L50_G50,tralo,4,0.76455,0.00460326,0.86245,0.00225462,0.111925,0.00540208,0.244975,0.00695671,4,3.3665,1,0,62,1.41421,112.101,105.893
dermmnist,L50_G50,tralo_bounded,4,0.764125,0.0106635,0.8627,0.00362859,0.1116,0.00523132,0.246175,0.00687332,10,4.96655,0.75,0.5,61.6667,1.52753,27.3417,22.8265
dermmnist,L70_G70,danits_lp,4,0.76415,0.0150502,0.8652,0.00530723,0.101175,0.00745313,0.231475,0.00820097,47.5,7.14143,0,0,,,0.488675,0.0562661
