dataset,sigma,tight,method,n,f1_mean,f1_std,flips_mean,sat_pct,acc_mean
aider,0.30,L50_G50,tralo,2,0.8034,0.0005,0.00,100,0.9025
aider,0.30,L70_G70,danits_lp,2,0.8402,0.0025,35.50,0,0.9164
aider,0.30,L70_G70,fioretto_ldf,2,0.8467,0.0009,3.00,100,0.9184
aider,0.30,L70_G70,heuristic,2,0.8402,0.0025,35.50,0,0.9164
aider,0.30,L70_G70,hounie_rcl,2,0.8265,0.0002,37.00,100,0.9084
aider,0.30,L70_G70,tralo,2,0.8439,0.0024,0.00,100,0.9151
dermmnist,0.00,L20_G20,danits_lp,2,0.7009,0.0133,152.50,0,0.8337
dermmnist,0.00,L20_G20,fioretto_ldf,2,0.7003,0.0104,8.00,100,0.8273
dermmnist,0.00,L20_G20,heuristic,2,0.7009,0.0133,152.50,0,0.8337
dermmnist,0.00,L20_G20,hounie_rcl,2,0.6742,0.0129,30.50,100,0.8213
dermmnist,0.00,L20_G20,tralo,2,0.7005,0.0100,3.50,100,0.8286
dermmnist,0.00,L30_G30,danits_lp,2,0.7217,0.0119,130.50,0,0.8437
dermmnist,0.00,L30_G30,fioretto_ldf,2,0.7218,0.0067,11.50,50,0.8392
dermmnist,0.00,L30_G30,heuristic,2,0.7216,0.0120,130.50,0,0.8437
dermmnist,0.00,L30_G30,hounie_rcl,2,0.7204,0.0086,35.00,100,0.8397
dermmnist,0.00,L30_G30,tralo,2,0.7294,0.0077,10.50,100,0.8435
dermmnist,0.00,L50_G50,danits_lp,2,0.7457,0.0120,86.50,0,0.8552
dermmnist,0.00,L50_G50,fioretto_ldf,2,0.7574,0.0012,9.50,50,0.8602
dermmnist,0.00,L50_G50,heuristic,2,0.7457,0.0120,86.50,0,0.8552
dermmnist,0.00,L50_G50,hounie_rcl,2,0.7575,0.0004,38.00,100,0.8584
dermmnist,0.00,L50_G50,tralo,2,0.7624,0.0025,1.50,100,0.8617
dermmnist,0.00,L70_G70,danits_lp,2,0.7633,0.0134,41.50,0,0.8629
dermmnist,0.00,L70_G70,fioretto_ldf,2,0.7832,0.0005,13.00,100,0.8712
dermmnist,0.00,L70_G70,heuristic,2,0.7632,0.0130,41.50,0,0.8632
dermmnist,0.00,L70_G70,hounie_rcl,2,0.7788,0.0084,29.50,100,0.8695
dermmnist,0.00,L70_G70,tralo,2,0.7842,0.0012,2.00,100,0.8722
dermmnist,0.10,L20_G20,danits_lp,2,0.5825,0.0232,126.50,0,0.7731
dermmnist,0.10,L20_G20,fioretto_ldf,2,0.5763,0.0096,7.00,100,0.7741
dermmnist,0.10,L20_G20,heuristic,2,0.5825,0.0232,126.50,0,0.7731
dermmnist,0.10,L20_G20,hounie_rcl,2,0.5683,0.0152,25.00,100,0.7733
dermmnist,0.10,L20_G20,tralo,2,0.5729,0.0085,0.00,100,0.7733
dermmnist,0.10,L30_G30,danits_lp,2,0.5943,0.0238,104.50,0,0.7768
dermmnist,0.10,L30_G30,fioretto_ldf,2,0.5876,0.0048,12.50,50,0.7791
dermmnist,0.10,L30_G30,heuristic,2,0.5943,0.0238,104.50,0,0.7768
dermmnist,0.10,L30_G30,hounie_rcl,2,0.5712,0.0149,42.00,100,0.7733
dermmnist,0.10,L30_G30,tralo,2,0.5909,0.0032,2.00,100,0.7801
dermmnist,0.10,L50_G50,danits_lp,2,0.6053,0.0147,63.50,0,0.7793
dermmnist,0.10,L50_G50,fioretto_ldf,2,0.6058,0.0059,17.00,50,0.7828
dermmnist,0.10,L50_G50,heuristic,2,0.6053,0.0149,66.50,0,0.7791
dermmnist,0.10,L50_G50,hounie_rcl,2,0.5981,0.0028,62.00,100,0.7778
dermmnist,0.10,L50_G50,tralo,2,0.6054,0.0056,11.00,100,0.7833
dermmnist,0.10,L70_G70,danits_lp,2,0.6073,0.0119,40.00,50,0.7778
dermmnist,0.10,L70_G70,fioretto_ldf,2,0.6140,0.0061,24.50,100,0.7835
dermmnist,0.10,L70_G70,heuristic,2,0.6120,0.0156,64.50,50,0.7781
dermmnist,0.10,L70_G70,hounie_rcl,2,0.6130,0.0067,49.50,100,0.7823
dermmnist,0.10,L70_G70,tralo,2,0.6178,0.0016,9.50,100,0.7833
dermmnist,0.20,L20_G20,danits_lp,2,0.4622,0.0202,86.00,0,0.7349
dermmnist,0.20,L20_G20,fioretto_ldf,2,0.4623,0.0052,15.00,100,0.7427
dermmnist,0.20,L20_G20,heuristic,2,0.4620,0.0200,86.00,0,0.7347
dermmnist,0.20,L20_G20,hounie_rcl,2,0.4397,0.0128,33.50,100,0.7376
dermmnist,0.20,L20_G20,tralo,2,0.4560,0.0018,3.00,100,0.7409
dermmnist,0.20,L30_G30,danits_lp,2,0.4738,0.0186,64.00,0,0.7399
dermmnist,0.20,L30_G30,fioretto_ldf,2,0.4717,0.0119,18.50,50,0.7451
dermmnist,0.20,L30_G30,heuristic,2,0.4727,0.0176,64.00,0,0.7389
dermmnist,0.20,L30_G30,hounie_rcl,2,0.4668,0.0033,42.00,100,0.7431
dermmnist,0.20,L30_G30,tralo,2,0.4755,0.0049,6.50,100,0.7454
dermmnist,0.20,L50_G50,danits_lp,2,0.4854,0.0204,28.00,0,0.7416
dermmnist,0.20,L50_G50,fioretto_ldf,2,0.4854,0.0112,22.50,100,0.7474
dermmnist,0.20,L50_G50,heuristic,2,0.4869,0.0219,36.00,0,0.7421
dermmnist,0.20,L50_G50,hounie_rcl,2,0.4878,0.0037,56.50,100,0.7484
dermmnist,0.20,L50_G50,tralo,2,0.4854,0.0116,6.50,100,0.7469
dermmnist,0.20,L70_G70,danits_lp,2,0.4898,0.0210,1.00,50,0.7421
dermmnist,0.20,L70_G70,fioretto_ldf,2,0.4965,0.0107,32.50,100,0.7479
dermmnist,0.20,L70_G70,heuristic,2,0.4935,0.0230,29.00,50,0.7431
dermmnist,0.20,L70_G70,hounie_rcl,2,0.4920,0.0097,47.50,100,0.7469
dermmnist,0.20,L70_G70,tralo,2,0.4979,0.0090,3.50,100,0.7481
dermmnist,0.30,L20_G20,danits_lp,2,0.4448,0.0012,176.00,0,0.7211
dermmnist,0.30,L20_G20,fioretto_ldf,2,0.4162,0.0044,11.00,50,0.7249
dermmnist,0.30,L20_G20,heuristic,2,0.4448,0.0012,176.00,0,0.7211
dermmnist,0.30,L20_G20,hounie_rcl,2,0.3970,0.0054,35.00,100,0.7234
dermmnist,0.30,L20_G20,tralo,2,0.4102,0.0015,1.00,100,0.7224
dermmnist,0.30,L30_G30,danits_lp,2,0.4533,0.0077,154.00,0,0.7227
dermmnist,0.30,L30_G30,fioretto_ldf,2,0.4525,0.0086,5.50,100,0.7329
dermmnist,0.30,L30_G30,heuristic,2,0.4533,0.0077,154.00,0,0.7227
dermmnist,0.30,L30_G30,hounie_rcl,2,0.4175,0.0007,48.00,100,0.7262
dermmnist,0.30,L30_G30,tralo,2,0.4431,0.0026,3.50,100,0.7297
dermmnist,0.30,L50_G50,danits_lp,2,0.4671,0.0003,110.00,0,0.7244
dermmnist,0.30,L50_G50,fioretto_ldf,2,0.4725,0.0089,22.00,100,0.7337
dermmnist,0.30,L50_G50,heuristic,2,0.4671,0.0003,110.00,0,0.7244
dermmnist,0.30,L50_G50,hounie_rcl,2,0.4449,0.0021,60.00,100,0.7299
dermmnist,0.30,L50_G50,tralo,2,0.4728,0.0152,0.50,100,0.7339
dermmnist,0.30,L70_G70,danits_lp,2,0.4773,0.0021,65.00,0,0.7257
dermmnist,0.30,L70_G70,fioretto_ldf,2,0.4896,0.0053,22.50,100,0.7329
dermmnist,0.30,L70_G70,heuristic,2,0.4764,0.0030,65.00,0,0.7257
dermmnist,0.30,L70_G70,hounie_rcl,2,0.4829,0.0042,48.00,100,0.7324
dermmnist,0.30,L70_G70,tralo,2,0.4886,0.0124,4.00,100,0.7339
tissuemnist,0.00,L20_G20,danits_lp,2,0.3518,0.0172,166.00,0,0.4805
tissuemnist,0.00,L20_G20,fioretto_ldf,2,0.3548,0.0039,6.50,50,0.5025
tissuemnist,0.00,L20_G20,heuristic,2,0.3518,0.0172,166.00,0,0.4805
tissuemnist,0.00,L20_G20,hounie_rcl,2,0.3537,0.0005,19.50,100,0.5030
tissuemnist,0.00,L20_G20,tralo,2,0.3581,0.0031,5.50,100,0.5012
tissuemnist,0.00,L30_G30,danits_lp,2,0.3595,0.0212,149.00,0,0.4825
tissuemnist,0.00,L30_G30,fioretto_ldf,2,0.3648,0.0049,7.50,100,0.5050
tissuemnist,0.00,L30_G30,heuristic,2,0.3600,0.0217,149.00,0,0.4828
tissuemnist,0.00,L30_G30,hounie_rcl,2,0.3629,0.0067,26.00,100,0.5056
tissuemnist,0.00,L30_G30,tralo,2,0.3686,0.0017,4.00,100,0.5075
