binding_gap,cls_cstr,d_conf_gap,d_f1_cstr,d_f1_uncstr,d_flips,d_macro_f1,d_pre_cstr,d_rec_cstr,data_dir,dataset,model,n_classes,ph_acc,ph_conf_gap,ph_f1_cstr,ph_f1_uncstr_mean,ph_macro_f1,ph_mean_entropy,ph_pre_cstr,ph_rec_cstr,ph_sup_cstr,pretrained,seed,sweep,tight,tight_pct
51.3,4,0.010599999999999998,0.013799999999999979,0.012671428571428611,-71.0,0.012799999999999978,0.016600000000000004,0.011699999999999988,data/tissuemnist/slice_1,tissuemnist,MobileNetV3,8,0.4821,0.0723,0.3436,0.39705714285714283,0.3904,0.1442,0.4167,0.2924,171.0,True,2,contamination_clean,L70_G70,70
119.7,4,-0.002700000000000008,0.027000000000000024,0.028871428571428548,-149.0,0.028600000000000014,0.05880000000000002,0.017499999999999988,data/tissuemnist/slice_1,tissuemnist,MobileNetV3,8,0.4842,0.0771,0.1982,0.35828571428571426,0.3383,0.1385,0.4314,0.1287,171.0,True,1,contamination_clean,L30_G30,30
119.7,4,0.014299999999999993,-0.008999999999999952,-0.010528571428571498,-141.0,-0.010399999999999965,-0.01959999999999995,-0.005899999999999989,data/tissuemnist/slice_1,tissuemnist,MobileNetV3,8,0.4808,0.0723,0.2613,0.3977428571428572,0.3807,0.1442,0.5686,0.1696,171.0,True,2,contamination_clean,L30_G30,30
85.5,4,0.0006999999999999923,0.038900000000000046,0.022071428571428575,-119.0,0.0242,0.05810000000000004,0.029200000000000004,data/tissuemnist/slice_1,tissuemnist,MobileNetV3,8,0.4871,0.0771,0.2724,0.3590857142857143,0.3482,0.1385,0.407,0.2047,171.0,True,1,contamination_clean,L50_G50,50
85.5,4,0.012999999999999998,-0.03109999999999996,-0.0032714285714285363,-105.0,-0.006700000000000039,-0.04650000000000004,-0.023399999999999976,data/tissuemnist/slice_1,tissuemnist,MobileNetV3,8,0.4846,0.0723,0.3424,0.3991142857142857,0.392,0.1442,0.5116,0.2573,171.0,True,2,contamination_clean,L50_G50,50
136.8,4,0.015300000000000001,0.06829999999999999,0.03169999999999995,-243.0,0.0363,0.20590000000000003,0.0409,data/tissuemnist_sigma20/slice_1,tissuemnist,MobileNetV3,8,0.4092,0.0378,0.0976,0.33455714285714283,0.3049,0.0977,0.2941,0.0585,171.0,True,1,contamination_tissuemnist,L20_G20,20
136.8,4,-0.0010000000000000009,-0.009800000000000003,0.0036571428571428033,-200.0,0.0020000000000000018,-0.02939999999999998,-0.0058,data/tissuemnist_sigma20/slice_1,tissuemnist,MobileNetV3,8,0.4467,0.0489,0.1659,0.37401428571428574,0.348,0.1001,0.5,0.0994,171.0,True,2,contamination_tissuemnist,L20_G20,20
51.3,4,0.0092,0.04810000000000003,0.026257142857142868,-156.0,0.029000000000000026,0.05830000000000002,0.04099999999999998,data/tissuemnist_sigma20/slice_1,tissuemnist,MobileNetV3,8,0.415,0.0378,0.2612,0.3322,0.3233,0.0977,0.3167,0.2222,171.0,True,1,contamination_tissuemnist,L70_G70,70
51.3,4,-0.008300000000000002,-0.020600000000000007,0.02322857142857132,-115.0,0.017699999999999994,-0.025000000000000022,-0.017500000000000016,data/tissuemnist_sigma20/slice_1,tissuemnist,MobileNetV3,8,0.4521,0.0489,0.3299,0.37617142857142866,0.3704,0.1001,0.4,0.2807,171.0,True,2,contamination_tissuemnist,L70_G70,70
119.7,4,0.008100000000000003,0.036000000000000004,0.03308571428571433,-221.0,0.03340000000000004,0.07850000000000001,0.023400000000000004,data/tissuemnist_sigma20/slice_1,tissuemnist,MobileNetV3,8,0.4113,0.0378,0.1712,0.33459999999999995,0.3142,0.0977,0.3725,0.1111,171.0,True,1,contamination_tissuemnist,L30_G30,30
