Metric,Value
Overall Accuracy,0.5724
""
Macro Averaged Metrics,
Precision (Macro),0.4858
Recall (Macro),0.4090
F1-Score (Macro),0.3558
""
Weighted Averaged Metrics,
Precision (Weighted),0.5632
Recall (Weighted),0.5724
F1-Score (Weighted),0.4679
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9143,0.2270,0.3636,141
Enrolled,0.0000,0.0000,0.0000,80
Graduate,0.5430,1.0000,0.7038,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,32,0,109
Enrolled,3,0,77
Graduate,0,0,221
