Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4,Group2_Hard_Class4,Group2_Soft_Class4,Group2_Limit_Class4
51,0.9994,0.002941,0.221684,0.638792,0.000000,0.05,0.00,0,0,inf,68,68.01,inf,97,99.47,inf,208,205.41,inf,24,23.64,67,182,185.85,inf,1398,1394.26,inf,26,26.36,82,84.47,29,74,73.93,26,26,27.45,12
55,1.0000,0.000000,0.253164,0.688405,0.000000,0.06,0.00,0,0,inf,82,79.79,inf,107,105.68,inf,205,204.90,inf,19,19.30,67,153,150.44,inf,1412,1417.03,inf,25,25.86,71,69.04,29,62,60.66,26,20,20.75,12
60,1.0000,0.000000,0.028152,0.089033,0.000000,0.07,0.00,0,0,inf,79,77.77,inf,101,102.65,inf,222,219.77,inf,18,19.03,67,80,79.36,inf,1478,1478.00,inf,25,26.42,37,36.73,29,32,31.96,26,11,10.67,12
62,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,74,74.53,inf,100,100.61,inf,228,224.09,inf,19,19.26,67,49,50.51,inf,1508,1507.66,inf,25,26.34,25,23.94,29,18,20.23,26,6,6.34,12
63,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,72,73.49,inf,100,99.86,inf,227,225.60,inf,19,19.18,67,43,42.67,inf,1517,1515.90,inf,25,26.30,19,19.74,29,18,17.61,26,6,5.31,12
65,1.0000,0.000000,0.036123,0.109417,0.000000,0.07,0.00,0,0,inf,78,77.81,inf,101,102.81,inf,226,222.36,inf,19,18.89,67,80,80.80,inf,1474,1473.54,inf,25,26.79,38,37.25,29,31,32.40,26,11,11.15,12
70,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,76,74.75,inf,101,101.54,inf,199,206.74,inf,20,19.80,67,61,59.14,inf,1521,1514.45,inf,25,26.58,29,27.33,29,22,22.68,26,10,9.13,12
71,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,74,74.08,inf,101,101.24,inf,196,203.84,inf,20,19.92,67,58,55.24,inf,1529,1522.15,inf,25,26.51,28,25.27,29,20,21.24,26,10,8.73,12
72,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,71,73.99,inf,101,101.32,inf,196,202.22,inf,20,20.05,67,58,54.58,inf,1532,1524.32,inf,25,26.53,28,24.72,29,20,20.95,26,10,8.91,12
73,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,73,74.33,inf,101,101.71,inf,197,201.57,inf,20,20.19,67,58,56.25,inf,1529,1522.34,inf,25,26.60,28,25.39,29,20,21.38,26,10,9.48,12
