Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Hard_Dropout,Soft_Dropout,Limit_Enrolled,Hard_Enrolled,Soft_Enrolled,Limit_Graduate,Hard_Graduate,Soft_Graduate
1,0.6892,0.840882,0.000000,0.445975,0.30,0.30,1,0,113,96,93.97,63,0,25.37,inf,346,322.66
3,0.7461,0.727861,0.000000,0.515136,0.30,0.30,1,0,113,105,104.32,63,27,51.89,inf,310,285.78
6,0.7509,0.671846,0.000000,0.541181,0.30,0.30,1,0,113,108,104.85,63,20,54.68,inf,314,282.48
9,0.7594,0.690848,0.024470,0.548441,0.30,0.30,0,0,113,119,114.35,63,28,58.16,inf,295,269.49
12,0.7431,0.699935,0.000000,0.524717,0.30,0.30,1,0,113,108,102.78,63,15,54.91,inf,319,284.31
15,0.7433,0.657996,0.000000,0.546555,0.30,0.30,1,0,113,105,103.96,63,24,60.72,inf,313,277.31
18,0.7511,0.696299,0.000000,0.557669,0.30,0.30,0,0,113,116,110.96,63,18,56.09,inf,308,274.95
21,0.7534,0.662297,0.000000,0.574721,0.30,0.30,1,0,113,112,110.20,63,24,57.43,inf,306,274.37
24,0.7395,0.687737,0.000000,0.521509,0.30,0.30,1,0,113,102,100.38,63,21,61.58,inf,319,280.03
27,0.7567,0.685507,0.047796,0.588369,0.30,0.30,0,0,113,114,118.06,63,22,56.01,inf,306,267.93
30,0.7416,0.710026,0.000000,0.547310,0.30,0.30,1,0,113,109,109.85,63,11,55.16,inf,322,276.99
33,0.7426,0.663954,0.000000,0.559552,0.30,0.30,1,0,113,102,105.96,63,21,62.03,inf,319,274.01
36,0.7383,0.687250,0.000000,0.504854,0.30,0.30,1,0,113,102,102.78,63,17,50.95,inf,323,288.27
39,0.7587,0.673863,0.034004,0.570411,0.30,0.30,1,0,113,111,115.80,63,25,59.11,inf,306,267.09
42,0.7617,0.667751,0.072683,0.595545,0.30,0.30,0,0,113,115,117.15,63,36,69.73,inf,291,255.11
45,0.7597,0.719383,0.009582,0.587308,0.30,0.30,1,0,113,110,112.42,63,27,61.35,inf,305,268.23
48,0.7501,0.689771,0.073638,0.561019,0.30,0.30,1,0,113,103,106.60,63,35,67.50,inf,304,267.90
51,0.7559,0.686920,0.004483,0.565181,0.30,0.30,0,0,113,113,113.10,63,24,59.12,inf,305,269.78
54,0.7348,0.660253,0.061788,0.543379,0.30,0.30,1,0,113,95,95.13,63,20,66.73,inf,327,280.13
57,0.7562,0.694699,0.000000,0.544272,0.30,0.30,1,0,113,108,110.79,63,22,59.31,inf,312,271.90
60,0.7332,0.662945,0.000000,0.534562,0.30,0.30,1,0,113,94,99.66,63,18,62.11,inf,330,280.23
63,0.7615,0.704581,0.093772,0.584438,0.30,0.30,1,0,113,113,122.57,63,31,59.97,inf,298,259.46
66,0.7383,0.663284,0.000000,0.556536,0.30,0.30,1,0,113,100,105.91,63,22,62.05,inf,320,274.04
69,0.7481,0.725894,0.025729,0.547750,0.30,0.30,1,0,113,108,115.23,63,17,57.36,inf,317,269.41
72,0.7065,0.675493,0.000000,0.475674,0.30,0.30,1,0,113,89,91.95,63,8,49.54,inf,345,300.52
75,0.7408,0.684632,0.000000,0.540530,0.30,0.30,1,0,113,100,104.89,63,18,60.36,inf,324,276.75
78,0.7602,0.679216,0.053330,0.565566,0.30,0.30,0,0,113,114,118.29,63,25,60.49,inf,303,263.22
81,0.7514,0.700403,0.030351,0.578697,0.30,0.30,1,0,113,110,115.89,63,20,56.24,inf,312,269.86
84,0.7343,0.706086,0.000000,0.523884,0.30,0.30,1,0,113,95,105.33,63,14,55.05,inf,333,281.62
87,0.7388,0.700565,0.000000,0.517834,0.30,0.30,1,0,113,95,105.16,63,19,54.98,inf,328,281.86
90,0.7312,0.686719,0.000000,0.539353,0.30,0.30,1,0,113,93,105.92,63,15,60.83,inf,334,275.25
93,0.7547,0.689591,0.016496,0.551396,0.30,0.30,1,0,113,112,113.95,63,20,59.07,inf,310,268.98
96,0.7239,0.682415,0.000000,0.525538,0.30,0.30,1,0,113,94,100.04,63,11,56.80,inf,337,285.16
99,0.7330,0.683958,0.000000,0.534445,0.30,0.30,1,0,113,93,103.09,63,17,61.44,inf,332,277.47
102,0.7161,0.666399,0.000000,0.514687,0.30,0.30,1,0,113,90,97.07,63,14,59.47,inf,338,285.46
105,0.7370,0.667581,0.000000,0.529573,0.30,0.30,1,0,113,99,104.75,63,17,55.99,inf,326,281.26
108,0.7476,0.710928,0.011705,0.561409,0.30,0.30,1,0,113,104,113.38,63,20,53.83,inf,318,274.79
111,0.7509,0.675447,0.025154,0.569444,0.30,0.30,1,0,113,107,115.23,63,19,59.13,inf,316,267.64
114,0.7093,0.687398,0.000000,0.530218,0.30,0.30,1,0,113,91,96.73,63,10,60.31,inf,341,284.97
117,0.7108,0.669394,0.000000,0.508945,0.30,0.30,1,0,113,92,101.98,63,9,53.43,inf,341,286.59
120,0.7524,0.682889,0.006112,0.571603,0.30,0.30,1,0,113,106,112.10,63,29,62.33,inf,307,267.57
123,0.7219,0.661495,0.000000,0.538485,0.30,0.30,1,0,113,97,105.63,63,5,54.42,inf,340,281.95
126,0.7549,0.670814,0.000000,0.559930,0.30,0.30,1,0,113,104,111.65,63,24,59.49,inf,314,270.86
129,0.7605,0.671947,0.019211,0.582857,0.30,0.30,1,0,113,110,115.70,63,30,62.98,inf,302,263.32
132,0.7602,0.669499,0.033593,0.582994,0.30,0.30,1,0,113,111,116.17,63,24,58.01,inf,307,267.82
135,0.7176,0.678499,0.000000,0.529512,0.30,0.30,1,0,113,93,100.46,63,11,57.63,inf,338,283.91
138,0.7458,0.666404,0.000000,0.538590,0.30,0.30,1,0,113,101,111.89,63,17,53.96,inf,324,276.15
141,0.7378,0.675033,0.000000,0.546178,0.30,0.30,1,0,113,101,109.91,63,13,55.10,inf,328,276.99
144,0.7572,0.669977,0.029588,0.577964,0.30,0.30,1,0,113,110,115.70,63,22,59.73,inf,310,266.57
147,0.7426,0.686424,0.005962,0.585390,0.30,0.30,1,0,113,102,113.53,63,15,62.45,inf,325,266.02
150,0.7395,0.685527,0.084361,0.566222,0.30,0.30,1,0,113,95,100.02,63,25,69.48,inf,322,272.50
153,0.7353,0.662145,0.000000,0.565381,0.30,0.30,1,0,113,99,106.48,63,15,61.31,inf,328,274.22
156,0.7390,0.676868,0.041516,0.555441,0.30,0.30,1,0,113,105,117.72,63,7,53.19,inf,330,271.08
159,0.7343,0.681348,0.000000,0.573816,0.30,0.30,1,0,113,102,111.97,63,8,60.11,inf,332,269.92
162,0.7534,0.677046,0.012734,0.574048,0.30,0.30,1,0,113,109,113.49,63,19,60.84,inf,314,267.67
165,0.7280,0.670558,0.000000,0.560042,0.30,0.30,1,0,113,95,101.96,63,9,63.01,inf,338,277.03
168,0.7456,0.679748,0.002244,0.554261,0.30,0.30,1,0,113,108,112.85,63,13,55.09,inf,321,274.05
171,0.7300,0.697829,0.000000,0.537595,0.30,0.30,1,0,113,96,106.81,63,13,55.63,inf,333,279.56
174,0.7542,0.679640,0.040049,0.583718,0.30,0.30,1,0,113,110,116.76,63,21,60.70,inf,311,264.54
177,0.7358,0.687225,0.000000,0.532497,0.30,0.30,1,0,113,100,108.30,63,11,53.88,inf,331,279.82
180,0.7506,0.674461,0.057200,0.578875,0.30,0.30,1,0,113,108,119.23,63,12,57.26,inf,322,265.51
183,0.7617,0.679803,0.039397,0.598570,0.30,0.30,1,0,113,111,119.17,63,24,64.56,inf,307,258.27
186,0.7471,0.681116,0.000000,0.565237,0.30,0.30,1,0,113,104,112.08,63,14,58.21,inf,324,271.70
189,0.7501,0.702288,0.037264,0.555648,0.30,0.30,1,0,113,106,116.82,63,14,53.90,inf,322,271.28
192,0.7136,0.696164,0.034713,0.562019,0.30,0.30,1,0,113,90,95.15,63,12,65.12,inf,340,281.72
195,0.7582,0.673617,0.036879,0.597141,0.30,0.30,1,0,113,110,116.80,63,23,64.63,inf,309,260.57
198,0.7612,0.677487,0.046128,0.604850,0.30,0.30,1,0,113,111,119.99,63,24,64.72,inf,307,257.29
201,0.7350,0.691337,0.000000,0.566811,0.30,0.30,1,0,113,101,110.62,63,13,60.42,inf,328,270.96
204,0.7249,0.694969,0.000000,0.538537,0.30,0.30,1,0,113,97,104.13,63,11,57.21,inf,334,280.66
207,0.7330,0.690075,0.000000,0.509705,0.30,0.30,1,0,113,95,104.33,63,15,51.15,inf,332,286.53
210,0.7390,0.669044,0.005679,0.555790,0.30,0.30,1,0,113,104,113.56,63,8,55.66,inf,330,272.77
213,0.7118,0.690435,0.000000,0.539203,0.30,0.30,1,0,113,93,100.28,63,6,59.85,inf,343,281.87
216,0.7023,0.660386,0.000000,0.556721,0.30,0.30,1,0,113,86,95.15,63,8,62.19,inf,348,284.66
219,0.7539,0.712088,0.084938,0.593431,0.30,0.30,1,0,113,113,123.10,63,15,60.12,inf,314,258.78
222,0.7325,0.663713,0.000000,0.550213,0.30,0.30,1,0,113,94,104.50,63,15,58.91,inf,333,278.59
