root,dataset,model,method,constraint_tag,seed,cc_f1,f1_macro,acc,flips,sat
b3_full,dermmnist,ViTB16,fioretto_alm,L50_G50,1,0.497,0.6766,0.8263,,
b3_full,dermmnist,ViTB16,fioretto_alm,L80_G80,1,0.5885,0.7055,0.8357,,
b3_full,dermmnist,ViTB16,fioretto_alm,L10_G10,1,0.1714,0.6032,0.8003,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L20_G20,1,0.2439,0.4614,0.5842,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L70_G70,1,0.4948,0.4981,0.595,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L30_G30,1,0.2883,0.4692,0.5867,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L40_G40,1,0.3036,0.4715,0.5871,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L60_G60,1,0.4689,0.4931,0.5933,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L90_G90,1,0.5108,0.4944,0.5925,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L50_G50,1,0.428,0.4912,0.5942,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L80_G80,1,0.4935,0.4934,0.5913,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L10_G10,1,0.1383,0.4483,0.5808,,
b3_full,octmnist,ViTB16,fioretto_alm,L20_G20,1,0.3267,0.6817,0.721,,
b3_full,octmnist,ViTB16,fioretto_alm,L70_G70,1,0.6557,0.7919,0.798,,
b3_full,octmnist,ViTB16,fioretto_alm,L60_G60,1,0.6266,0.7829,0.792,,
b3_full,octmnist,ViTB16,fioretto_alm,L90_G90,1,0.7032,0.8056,0.808,,
b3_full,octmnist,ViTB16,fioretto_alm,L50_G50,1,0.5813,0.7661,0.779,,
b3_full,octmnist,ViTB16,fioretto_alm,L80_G80,1,0.7022,0.8087,0.812,,
b3_full,octmnist,ViTB16,fioretto_alm,L10_G10,1,0.1818,0.6339,0.691,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L20_G20,1,0.3209,0.699,0.8308,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L70_G70,1,0.6596,0.7694,0.8662,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L30_G30,1,0.4414,0.7211,0.8452,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L40_G40,1,0.5449,0.7345,0.8557,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L60_G60,1,0.6162,0.7563,0.8612,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L90_G90,1,0.6809,0.77,0.8657,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L50_G50,1,0.5928,0.7527,0.8602,,
