root,dataset,model,method,constraint_tag,seed,cc_f1,f1_macro,acc,flips,sat
b3_full,octmnist,MobileNetV3,fioretto_alm,L80_G80,4,0.6933,0.8165,0.82,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L10_G10,4,0.1818,0.6492,0.715,,
b3_full,dermmnist,ViTB16,fioretto_alm,L20_G20,4,0.306,0.6718,0.8178,,
b3_full,dermmnist,ViTB16,fioretto_alm,L70_G70,4,0.5858,0.7206,0.8372,,
b3_full,dermmnist,ViTB16,fioretto_alm,L30_G30,4,0.3931,0.689,0.8243,,
b3_full,dermmnist,ViTB16,fioretto_alm,L40_G40,4,0.4679,0.7036,0.8298,,
b3_full,dermmnist,ViTB16,fioretto_alm,L60_G60,4,0.5658,0.7174,0.8377,,
b3_full,dermmnist,ViTB16,fioretto_alm,L90_G90,4,0.6194,0.7317,0.8392,,
b3_full,dermmnist,ViTB16,fioretto_alm,L50_G50,4,0.515,0.7112,0.8328,,
b3_full,dermmnist,ViTB16,fioretto_alm,L80_G80,4,0.6035,0.7245,0.8367,,
b3_full,dermmnist,ViTB16,fioretto_alm,L10_G10,4,0.1796,0.6358,0.8083,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L20_G20,4,0.2244,0.4431,0.5708,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L70_G70,4,0.4674,0.4838,0.5837,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L30_G30,4,0.2793,0.45,0.5725,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L40_G40,4,0.3262,0.4599,0.5746,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L60_G60,4,0.4322,0.4784,0.5817,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L90_G90,4,0.48,0.4816,0.5821,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L50_G50,4,0.3969,0.4723,0.58,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L80_G80,4,0.4675,0.4809,0.5829,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L10_G10,4,0.117,0.4276,0.5675,,
b3_full,octmnist,ViTB16,fioretto_alm,L20_G20,4,0.32,0.6833,0.726,,
b3_full,octmnist,ViTB16,fioretto_alm,L70_G70,4,0.6698,0.7961,0.802,,
b3_full,octmnist,ViTB16,fioretto_alm,L60_G60,4,0.6416,0.791,0.8,,
b3_full,octmnist,ViTB16,fioretto_alm,L90_G90,4,0.6905,0.7971,0.8,,
b3_full,octmnist,ViTB16,fioretto_alm,L50_G50,4,0.576,0.7667,0.781,,
b3_full,octmnist,ViTB16,fioretto_alm,L80_G80,4,0.6844,0.7989,0.803,,
b3_full,octmnist,ViTB16,fioretto_alm,L10_G10,4,0.1818,0.6397,0.701,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L20_G20,4,0.306,0.7096,0.8313,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L70_G70,4,0.5963,0.7649,0.8577,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L30_G30,4,0.3793,0.7308,0.8402,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L40_G40,4,0.4615,0.7443,0.8477,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L60_G60,4,0.5602,0.7597,0.8552,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L90_G90,4,0.6336,0.7652,0.8582,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L50_G50,4,0.503,0.7518,0.8502,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L80_G80,4,0.6234,0.7669,0.8592,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L10_G10,4,0.1714,0.6569,0.8143,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L20_G20,4,0.2439,0.4189,0.5637,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L70_G70,4,0.3849,0.4511,0.5658,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L30_G30,4,0.2793,0.4318,0.565,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L40_G40,4,0.339,0.4436,0.5679,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L60_G60,4,0.3663,0.4469,0.5671,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L90_G90,4,0.4123,0.4519,0.565,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L50_G50,4,0.358,0.4462,0.5667,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L80_G80,4,0.3831,0.4467,0.5633,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L10_G10,4,0.1383,0.393,0.5563,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L20_G20,4,0.32,0.6861,0.731,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L70_G70,4,0.6368,0.7771,0.784,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L60_G60,4,0.5965,0.7654,0.776,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L90_G90,4,0.6947,0.7943,0.797,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L50_G50,4,0.5333,0.7457,0.762,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L80_G80,4,0.6711,0.7866,0.791,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L10_G10,4,0.1745,0.6384,0.702,,
b3_mnv2,dermmnist,MobileNetV2,fioretto_alm,L20_G20,1,0.3209,0.6544,0.8248,,
b3_mnv2,dermmnist,MobileNetV2,fioretto_alm,L70_G70,1,0.6069,0.7123,0.8532,,
b3_mnv2,dermmnist,MobileNetV2,fioretto_alm,L30_G30,1,0.4207,0.6778,0.8347,,
b3_mnv2,dermmnist,MobileNetV2,fioretto_alm,L40_G40,1,0.4872,0.6877,0.8402,,
b3_mnv2,dermmnist,MobileNetV2,fioretto_alm,L60_G60,1,0.577,0.7016,0.8537,,
b3_mnv2,dermmnist,MobileNetV2,fioretto_alm,L50_G50,1,0.5389,0.7001,0.8487,,
b3_mnv2,dermmnist,MobileNetV2,fioretto_alm,L80_G80,1,0.6234,0.7084,0.8562,,
b3_mnv2,tissuemnist,MobileNetV2,fioretto_alm,L20_G20,1,0.2049,0.3439,0.5062,,
b3_mnv2,tissuemnist,MobileNetV2,fioretto_alm,L70_G70,1,0.4055,0.3971,0.5238,,
b3_mnv2,tissuemnist,MobileNetV2,fioretto_alm,L30_G30,1,0.2793,0.3725,0.5167,,
b3_mnv2,tissuemnist,MobileNetV2,fioretto_alm,L40_G40,1,0.3207,0.3844,0.5246,,
b3_mnv2,tissuemnist,MobileNetV2,fioretto_alm,L60_G60,1,0.3883,0.4089,0.5363,,
b3_mnv2,tissuemnist,MobileNetV2,fioretto_alm,L50_G50,1,0.358,0.4015,0.5325,,
b3_mnv2,tissuemnist,MobileNetV2,fioretto_alm,L80_G80,1,0.4026,0.4206,0.5454,,
b3_mnv2,octmnist,MobileNetV2,fioretto_alm,L20_G20,1,0.32,0.6511,0.691,,
b3_mnv2,octmnist,MobileNetV2,fioretto_alm,L70_G70,1,0.6274,0.7541,0.76,,
b3_mnv2,octmnist,MobileNetV2,fioretto_alm,L30_G30,1,0.3849,0.67,0.702,,
b3_mnv2,octmnist,MobileNetV2,fioretto_alm,L40_G40,1,0.4255,0.6848,0.712,,
b3_mnv2,octmnist,MobileNetV2,fioretto_alm,L60_G60,1,0.5764,0.7384,0.748,,
b3_mnv2,octmnist,MobileNetV2,fioretto_alm,L50_G50,1,0.528,0.7205,0.735,,
b3_mnv2,octmnist,MobileNetV2,fioretto_alm,L80_G80,1,0.6533,0.7619,0.765,,
b3_mnv2,dermmnist,MobileNetV2,fioretto_alm,L20_G20,2,0.2985,0.6697,0.8263,,
b3_mnv2,dermmnist,MobileNetV2,fioretto_alm,L70_G70,2,0.6016,0.7308,0.8512,,
b3_mnv2,dermmnist,MobileNetV2,fioretto_alm,L30_G30,2,0.3931,0.6879,0.8323,,
b3_mnv2,dermmnist,MobileNetV2,fioretto_alm,L40_G40,2,0.4551,0.7041,0.8387,,
b3_mnv2,dermmnist,MobileNetV2,fioretto_alm,L60_G60,2,0.5714,0.7187,0.8492,,
b3_mnv2,dermmnist,MobileNetV2,fioretto_alm,L50_G50,2,0.521,0.7187,0.8447,,
b3_mnv2,dermmnist,MobileNetV2,fioretto_alm,L80_G80,2,0.6035,0.736,0.8522,,
b3_mnv2,tissuemnist,MobileNetV2,fioretto_alm,L20_G20,2,0.2244,0.3623,0.525,,
b3_mnv2,tissuemnist,MobileNetV2,fioretto_alm,L70_G70,2,0.378,0.4199,0.5508,,
b3_mnv2,tissuemnist,MobileNetV2,fioretto_alm,L30_G30,2,0.2613,0.3812,0.5333,,
b3_mnv2,tissuemnist,MobileNetV2,fioretto_alm,L40_G40,2,0.2906,0.3952,0.5413,,
b3_mnv2,tissuemnist,MobileNetV2,fioretto_alm,L60_G60,2,0.3516,0.4098,0.5429,,
b3_mnv2,tissuemnist,MobileNetV2,fioretto_alm,L50_G50,2,0.3191,0.4031,0.54,,
b3_mnv2,tissuemnist,MobileNetV2,fioretto_alm,L80_G80,2,0.3961,0.4218,0.55,,
b3_mnv2,octmnist,MobileNetV2,fioretto_alm,L20_G20,2,0.3067,0.6639,0.711,,
b3_mnv2,octmnist,MobileNetV2,fioretto_alm,L70_G70,2,0.6226,0.7719,0.779,,
b3_mnv2,octmnist,MobileNetV2,fioretto_alm,L30_G30,2,0.3442,0.6776,0.719,,
b3_mnv2,octmnist,MobileNetV2,fioretto_alm,L40_G40,2,0.4524,0.7166,0.744,,
b3_mnv2,octmnist,MobileNetV2,fioretto_alm,L60_G60,2,0.5815,0.759,0.77,,
b3_mnv2,octmnist,MobileNetV2,fioretto_alm,L50_G50,2,0.544,0.7482,0.764,,
b3_mnv2,octmnist,MobileNetV2,fioretto_alm,L80_G80,2,0.6311,0.7755,0.78,,
b3_mnv2,dermmnist,MobileNetV2,fioretto_alm,L70_G70,3,0.5963,0.7311,0.8632,,
b3_mnv2,dermmnist,MobileNetV2,fioretto_alm,L40_G40,3,0.4936,0.7131,0.8522,,
