dataset,model,cap,method,seed,warmup_epochs,satisfied,sat_epoch,cep
tissuemnist,RegNetY400MF,30,hounie_rcl,4,50,True,81.0,81.0
tissuemnist,RegNetY400MF,30,tralo,1,50,True,120.0,70.0
tissuemnist,RegNetY400MF,30,tralo,2,50,True,142.0,92.0
tissuemnist,RegNetY400MF,30,tralo,3,50,True,115.0,65.0
tissuemnist,RegNetY400MF,30,tralo,4,50,True,125.0,75.0
tissuemnist,RegNetY400MF,70,fioretto_ldf,1,50,True,50.0,50.0
tissuemnist,RegNetY400MF,70,fioretto_ldf,2,50,True,66.0,66.0
tissuemnist,RegNetY400MF,70,fioretto_ldf,3,50,True,46.0,46.0
tissuemnist,RegNetY400MF,70,fioretto_ldf,4,50,False,,
tissuemnist,RegNetY400MF,70,hounie_rcl,1,50,True,66.0,66.0
tissuemnist,RegNetY400MF,70,hounie_rcl,2,50,True,62.0,62.0
tissuemnist,RegNetY400MF,70,hounie_rcl,3,50,True,56.0,56.0
tissuemnist,RegNetY400MF,70,hounie_rcl,4,50,True,57.0,57.0
tissuemnist,RegNetY400MF,70,tralo,1,50,True,98.0,48.0
tissuemnist,RegNetY400MF,70,tralo,2,50,True,109.0,59.0
tissuemnist,RegNetY400MF,70,tralo,3,50,True,96.0,46.0
tissuemnist,RegNetY400MF,70,tralo,4,50,True,97.0,47.0
tissuemnist,RegNetY400MF,80,fioretto_ldf,1,50,True,47.0,47.0
tissuemnist,RegNetY400MF,80,fioretto_ldf,2,50,True,60.0,60.0
tissuemnist,RegNetY400MF,80,fioretto_ldf,3,50,True,40.0,40.0
tissuemnist,RegNetY400MF,80,fioretto_ldf,4,50,True,45.0,45.0
tissuemnist,RegNetY400MF,80,hounie_rcl,1,50,True,63.0,63.0
tissuemnist,RegNetY400MF,80,hounie_rcl,2,50,True,57.0,57.0
tissuemnist,RegNetY400MF,80,hounie_rcl,3,50,True,51.0,51.0
tissuemnist,RegNetY400MF,80,hounie_rcl,4,50,True,57.0,57.0
tissuemnist,RegNetY400MF,80,tralo,1,50,True,93.0,43.0
tissuemnist,RegNetY400MF,80,tralo,2,50,True,106.0,56.0
tissuemnist,RegNetY400MF,80,tralo,3,50,True,89.0,39.0
tissuemnist,RegNetY400MF,80,tralo,4,50,True,94.0,44.0
