Metric,Value
Overall Accuracy,0.6063
""
Macro Averaged Metrics,
Precision (Macro),0.6415
Recall (Macro),0.4651
F1-Score (Macro),0.4510
""
Weighted Averaged Metrics,
Precision (Weighted),0.6565
Recall (Weighted),0.6063
F1-Score (Weighted),0.5358
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8810,0.2624,0.4044,141
Enrolled,0.4583,0.1375,0.2115,80
Graduate,0.5851,0.9955,0.7370,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,37,12,92
Enrolled,5,11,64
Graduate,0,1,220
