Metric,Value
Overall Accuracy,0.7172
""
Macro Averaged Metrics,
Precision (Macro),0.6491
Recall (Macro),0.5968
F1-Score (Macro),0.6025
""
Weighted Averaged Metrics,
Precision (Weighted),0.6987
Recall (Weighted),0.7172
F1-Score (Weighted),0.6892
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8476,0.6312,0.7236,141
Enrolled,0.3810,0.2000,0.2623,80
Graduate,0.7186,0.9593,0.8217,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,89,18,34
Enrolled,15,16,49
Graduate,1,8,212
