Metric,Value
Overall Accuracy,0.6742
""
Macro Averaged Metrics,
Precision (Macro),0.6607
Recall (Macro),0.5494
F1-Score (Macro),0.5578
""
Weighted Averaged Metrics,
Precision (Weighted),0.6923
Recall (Weighted),0.6742
F1-Score (Weighted),0.6370
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9014,0.4539,0.6038,141
Enrolled,0.4250,0.2125,0.2833,80
Graduate,0.6556,0.9819,0.7862,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,64,19,58
Enrolled,7,17,56
Graduate,0,4,217
