epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lam_g,max_u_g,h_u
0,0.008057,0.0,170,0,0.000434,4e-06,0.0
1,0.002383,0.000183,232,0,0.001029,1.4e-05,0.0
2,nan,0.000436,230,0,0.001623,2.7e-05,0.0
3,nan,0.000686,228,0,0.002215,4.4e-05,0.0
4,nan,0.000933,228,0,0.002805,6.3e-05,0.0
5,nan,0.001177,226,0,0.003391,8.4e-05,0.0
6,nan,0.001414,226,0,0.003971,0.000107,1e-06
7,nan,0.001641,224,0,0.004544,0.000131,1e-06
8,nan,0.001857,224,0,0.005108,0.000156,1e-06
9,nan,0.002057,218,0,0.005661,0.000181,1e-06
10,nan,0.00224,214,0,0.0062,0.000207,2e-06
11,nan,0.002405,212,0,0.006725,0.000233,2e-06
12,nan,0.00255,208,0,0.007232,0.000259,3e-06
13,nan,0.002673,192,0,0.007721,0.000284,4e-06
14,nan,0.002775,176,0,0.008189,0.000309,4e-06
15,nan,0.002858,166,0,0.008637,0.000334,5e-06
16,nan,0.002915,158,0,0.009063,0.000358,6e-06
17,nan,0.002955,150,0,0.009466,0.000381,6e-06
18,nan,0.002978,148,0,0.009845,0.000403,7e-06
19,nan,0.00298,140,0,0.010202,0.000424,8e-06
20,nan,0.002967,134,0,0.010534,0.000445,9e-06
21,nan,0.002933,128,0,0.01084,0.000464,9e-06
22,nan,0.002881,118,0,0.011122,0.000483,1e-05
23,nan,0.002811,102,0,0.011376,0.0005,1.1e-05
24,nan,0.002727,94,0,0.011604,0.000516,1.1e-05
25,nan,0.002631,84,0,0.011803,0.000531,1.2e-05
26,nan,0.002524,76,0,0.011975,0.000544,1.3e-05
27,nan,0.002408,63,0,0.012119,0.000557,1.3e-05
28,nan,0.002284,50,0,0.012236,0.000568,1.4e-05
29,nan,0.002156,45,0,0.012326,0.000577,1.4e-05
30,nan,0.00203,29,0,0.012391,0.000586,1.4e-05
31,nan,0.001912,18,0,0.012431,0.000593,1.5e-05
32,nan,0.001793,7,0,0.01245,0.000599,1.5e-05
33,nan,0.00169,3,0,0.01245,0.000604,1.5e-05
34,nan,0.001594,2,0,0.012432,0.000607,1.5e-05
35,nan,0.001508,1,0,0.012399,0.00061,1.5e-05
36,nan,0.001432,1,0,0.012353,0.000611,1.5e-05
37,nan,0.00136,0,1,0.012294,0.000612,1.5e-05
38,nan,0.001295,0,1,0.012224,0.000612,1.5e-05
39,nan,0.001231,0,1,0.012144,0.000611,1.5e-05
40,nan,0.001172,0,1,0.012053,0.000609,1.5e-05
41,nan,0.001115,0,1,0.011953,0.000607,1.5e-05
